"병원","분류","명칭","코드","구분","비용","최저비용","최고비용","치료재료대 포함여부","약제비 포함여부","특이사항"
"대구","교육상담료","만성신부전증환자교육","AZ006","교육및상담료 [투석교육]","100000","","","","","최초 실시 1회"
"대구","상급병실료 차액","특실","A2Z00101","1인실","100000","","","","","-"
"대구","상급병실료 차액","1인실","A2Z00201","1인실","50000","","","","","-"
"대구","상급병실료 차액","2인실","A2Z00202","2인실","30000","","","","","-"
"대구","혈장단백검사","프로칼시토닌 정량검사","CZ115","-","22920","","","","","-"
"대구","지질, 영양 관련검사","호모시스테인검사","CZ133","-","9932","","","","","-"
"대구","감염증 기타 검사","인플루엔자 A·B 바이러스항원검사 [현장검사]","CZ394","-","25000","","","","","-"
"대구","감염증 기타 검사","폐렴 연쇄상구균 소변항원(간이검사)","CZ398","-","25000","","","","","-"
"대구","내분비검사","체성분 분석검사 [정밀]","SZ05300","-","10000","","","","","-"
"대구","분자병리검사","기타검사-실시간역전사중합효소연쇄반응법-인플루엔자바이러스 A","C6095","-","53467","","","","","-"
"대구","분자병리검사","중합효소연쇄반응-HPV(인유두종바이러스)","C5956","-","30000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대구","분자병리검사","인유두종바이러스 유전자형 검사[DNA Microarray 법]","C5959","-","50400","","","","","급여 인정기준 외 실시한 경우 비급여"
"대구","신경계기능검사","신경인지기능검사-각성도 및 주의력검사-무시증후군검사","FZ023","-","25000","","","","","-"
"대구","신경계기능검사","신경인지기능검사-각성도 및 주의력검사-기호잇기검사","FZ024","신경인지기능검사-각성도 및 주의력검사-CNT-선로잇기검사(Trail Making)","15000","","","","","(별표)신경인지 기능검사 반영"
"대구","신경계기능검사","신경인지기능검사-각성도 및 주의력검사-숫자-기호바꾸기검사","FZ025","-","15000","","","","","-"
"대구","신경계기능검사","신경인지기능검사-기억력검사-단기기억력검사[청각]","FZ032","신경인지기능검사-기억력검사-숫자대기검사 [청각]","25000","","","","","(별표)신경인지 기능검사 반영"
"대구","신경계기능검사","신경인지기능검사-기억력검사-단기기억력검사[청각]","FZ032","신경인지기능검사-기억력검사-Sentence Repetiotion [청각]","25000","","","","","(별표)신경인지 기능검사 반영"
"대구","신경계기능검사","신경인지기능검사-기억력검사-단기기억력검사[청각]","FZ032","신경인지기능검사-기억력검사-언어기억력검사(Verbal Memory Test) [청각]","25000","","","","","(별표)신경인지 기능검사 반영"
"대구","신경계기능검사","신경인지기능검사-기억력검사-단기기억력검사[청각]","FZ032","신경인지기능검사-기억력검사-논리기억력검사(Logical Memory Test) [청각]","25000","","","","","(별표)신경인지 기능검사 반영"
"대구","신경계기능검사","신경인지기능검사-기억력검사-단기기억력검사[청각]","FZ032","신경인지기능검사-기억력검사-비엔나 system-논리적기억력검사 [청각]","25000","","","","","(별표)신경인지 기능검사 반영"
"대구","신경계기능검사","신경인지기능검사-기억력검사-단기기억력검사[청각]","FZ032","신경인지기능검사-기억력검사-CNT-숫자따라말하기검사(Digit Span) [청각]","25000","","","","","(별표)신경인지 기능검사 반영"
"대구","신경계기능검사","신경인지기능검사-기억력검사-단기기억력검사[청각]","FZ032","신경인지기능검사-기억력검사-CNT-언어기억검사 [청각]","25000","","","","","(별표)신경인지 기능검사 반영"
"대구","신경계기능검사","신경인지기능검사-기억력검사-캘리포니아 언어학습검사","FZ033","신경인지기능검사-기억력검사-Ray(Auditory) Verbal Learning Test","25000","","","","","(별표)신경인지 기능검사 반영"
"대구","신경계기능검사","신경인지기능검사-기억력검사-캘리포니아 언어학습검사","FZ033","신경인지기능검사-기억력검사-단어항목학습(List Learning)","25000","","","","","(별표)신경인지 기능검사 반영"
"대구","신경계기능검사","신경인지기능검사-기억력검사-캘리포니아 언어학습검사","FZ033","신경인지기능검사-기억력검사-단어항목회상(List Recall)","25000","","","","","(별표)신경인지 기능검사 반영"
