대분류,중분류,소분류,EDI코드,EDI명칭,수가코드,수가명칭,구분,비용,최저비용,최고비용,치료재료대 포함여부,약제비포함여부,특이사항
행위료,주사료,예방접종,,,MSIVM,신종인플루엔자접종비(백신비 제외),,19010,,,N,N,
치료재료대,경막외강 신경박리술 및 감압 신경성형술용,,BJ4801GV,EDEN EPIDURAL CATHETER,4011500094,EDEN EPIDURAL CATHETER,,419990,,,N,N,
행위료,검사료,시기능검사,E7800,눈의 계측검사[편측]-초음파 이용,SE7800,눈의 계측검사[편측]-초음파 이용,,50000,,,N,N,
행위료,검사료,시기능검사,E7801,눈의 계측검사[편측]-레이저 간섭계 이용,SE7801,눈의 계측검사[편측]-레이저 간섭계 이용,,50000,,,N,N,
치료재료대,,,,,QA32028,척추보조기(나이트형보조기)-기성품,,104000,,,,,
치료재료대,,,,,QA32029,척추보조기(테일러형보조기)-기성품,,120000,,,,,
치료재료대,,,,,QA32033,바디쟈켓(단순형/TLSO형)-기성품,,76000,,,,,
치료재료대,,,,,QA32034,바디쟈켓(복잡형/TLSO형)-기성품,,87000,,,,,
행위료,주사료,주사료,,,MALP20,카버젝트주사20mcg(국비1급1항및2항 지원대상자용),,14269,,,N,N,
행위료,주사료,주사료,,,MCVJ2,카버젝트(업죤),,14269,,,N,N,
행위료,주사료,예방접종,,,MGDS9,가다실 9주,,140000,,,N,N,
치료재료대,배액관 고정용판,,BJ1005BY,메가픽스(MEGAFIX),3012300198,메가픽스(MEGAFIX),,500,,,N,N,
행위료,상급병실료(차액),상급병실료(차액),,,"A2Z00102,A2Z0010201",입원료(1인실:병실차액)-일반과 입원료,,151380,,,N,N,
행위료,상급병실료(차액),상급병실료(차액),,,"A2Z00102,A2Z0010202",입원료(1인실:병실차액)-내소정 입원료,,165870,,,N,N,
치료재료대,자착성(탄력)붕대,,BK7111DQ,PEHAHAFT LATEX FREE,3011000012,PEHAHAFT LATEX 4*20,,12000,,,N,N,
치료재료대,자착성(탄력)붕대,,BK7111DQ,PEHAHAFT LATEX FREE,3011000013,PEHAHAFT LATEX FREE,,18000,,,N,N,
치료재료대,,,,,QA13030,표준위팔의지(독-골격/국-실리콘미용수/실리콘),,3101000,,,N,N,
치료재료대,,,,,QA13031,표준위팔의지(독-재래/국-실리콘미용수/실리콘),,3010000,,,N,N,
치료재료대,,,,,QA13032,표준위팔의지(독-재래/독-기능수/미-작업수/실리콘),,3309000,,,N,N,
치료재료대,,,,,QA13033,표준위팔의지(국-재래/국-실리콘미용수/실리콘),,2649000,,,N,N,
치료재료대,,,,,QA13034,표준위팔의지(국-재래/독-기능수/미-작업수/실리콘),,2985000,,,N,N,
치료재료대,,,,,QA15027,(짧은)표준아래팔의지(국-재래/국-실리콘미용수/실리콘),,2395000,,,N,N,
치료재료대,,,,,QA15028,손목관절의지,,1139000,,,N,N,
치료재료대,,,,,QA46012,인솔(중증),,138000,,,N,N,
치료재료대,,,,,QA16013,손의지(채움형),,1308000,,,N,N,
치료재료대,,,,,QA23068,넓적다리의지(골격/회전/기계/표준/고급형실리콘),,6592000,,,N,N,
치료재료대,,,,,QA23069,넓적다리의지(골격/회전/기계/표준/씰인형실리콘),,6640000,,,N,N,
치료재료대,,,,,QA23070,넓적다리의지(골격/회전/기압1/표준/고급형실리콘),,6578000,,,N,N,
치료재료대,,,,,QA23071,넓적다리의지(골격/회전/기압1/표준/씰인형실리콘),,6626000,,,N,N,
치료재료대,,,,,QA23072,넓적다리의지(골격/회전/기압2/기능1/고급형실리콘),,7758000,,,N,N,
치료재료대,,,,,QA23073,넓적다리의지(골격/회전/기압2/기능1/씰인형실리콘),,7805000,,,N,N,
치료재료대,,,,,QA23074,넓적다리의지(골격/회전/기압2/기능2/고급형실리콘),,8205000,,,N,N,
치료재료대,,,,,QA23075,넓적다리의지(골격/회전/기압2/기능2/씰인형실리콘),,8252000,,,N,N,
치료재료대,,,,,QA23076,넓적다리의지(골격/회전/유압1/기능1/고급형실리콘),,9129000,,,N,N,
치료재료대,,,,,QA23077,넓적다리의지(골격/회전/유압1/기능2/고급형실리콘),,9576000,,,N,N,
치료재료대,,,,,QA23078,넓적다리의지(골격/회전/유압1/기능3/고급형실리콘),,10501000,,,N,N,
치료재료대,,,,,QA23079,넓적다리의지(골격/회전/유압1/기능4/고급형실리콘),,11067000,,,N,N,
치료재료대,,,,,QA23080,넓적다리의지(골격/회전/유압1/기능1/씰인형실리콘),,9177000,,,N,N,
치료재료대,,,,,QA23081,넓적다리의지(골격/회전/유압1/기능2/씰인형실리콘),,9624000,,,N,N,
치료재료대,,,,,QA23082,넓적다리의지(골격/회전/유압1/기능3/씰인형실리콘),,10369000,,,N,N,
치료재료대,,,,,QA23083,넓적다리의지(골격/회전/유압1/기능4/씰인형실리콘),,11115000,,,N,N,
치료재료대,,,,,QA23084,넓적다리의지(골격/회전/유압2/기능1/고급형실리콘),,9813000,,,N,N,
치료재료대,,,,,QA23085,넓적다리의지(골격/회전/유압2/기능2/고급형실리콘),,10260000,,,N,N,
치료재료대,,,,,QA23086,넓적다리의지(골격/회전/유압2/기능3/고급형실리콘),,11184000,,,N,N,
치료재료대,,,,,QA23087,넓적다리의지(골격/회전/유압2/기능4/고급형실리콘),,1175000,,,N,N,
치료재료대,,,,,QA23088,넓적다리의지(골격/회전/유압2/기능1/씰인형실리콘),,9860000,,,N,N,
치료재료대,,,,,QA23089,넓적다리의지(골격/회전/유압2/기능2/씰인형실리콘),,10307000,,,N,N,
치료재료대,,,,,QA23090,넓적다리의지(골격/회전/유압2/기능3/씰인형실리콘),,11232000,,,N,N,
치료재료대,,,,,QA23091,넓적다리의지(골격/회전/유압2/기능4/씰인형실리콘),,11798000,,,N,N,
치료재료대,,,,,QA24033,무릎관절의지(골격/기능3/유압1/씰인형실리콘),,8401000,,,N,N,
치료재료대,,,,,QA24034,무릎관절의지(골격/기능3/유압1/프로씰형실리콘 ,,8768000,,,N,N,
치료재료대,,,,,QA25023,짧은종아리의지(골격/표준/기능1/장식),,3138000,,,N,N,
치료재료대,,,,,QA25024,짧은종아리의지(실리콘고급/장식),,3138000,,,N,N,
치료재료대,,,,,QA25091,종아리의지(골격/표준/씰인형실리콘),,3405000,,,N,N,
치료재료대,,,,,QA25092,종아리의지(골격/기능1/씰인형실리콘),,3537000,,,N,N,
치료재료대,,,,,QA25093,종아리의지(골격/기능2/씰인형실리콘),,4010000,,,N,N,
치료재료대,,,,,QA25094,종아리의지(골격/기능3/씰인형실리콘),,4935000,,,N,N,
치료재료대,,,,,QA25095,종아리의지(골격/기능4/씰인형실리콘),,5501000,,,N,N,
치료재료대,,,,,QA25096,종아리의지(골격/기능1/맞춤형실리콘),,4210000,,,N,N,
치료재료대,,,,,QA25097,종아리의지(골격/기능2/맞춤형실리콘),,4653000,,,N,N,
치료재료대,,,,,QA25098,종아리의지(골격/기능3/맞춤형실리콘),,5590000,,,N,N,
치료재료대,,,,,QA25099,종아리의지(골격/기능4/맞춤형실리콘),,6156000,,,N,N,
치료재료대,,,,,QA25084,"싸임식발목관절의지(골격/일반형)(단축,4R41)",,2746000,,,N,N,
행위료,주사료,주사료,,,MHLASE-L,하이랙스주(히알루로니다제),,15598,,,N,N,
행위료,주사료,주사료,,,MTESTOE,예나스테론주250mg 비급여,,6291,,,N,N,
행위료,주사료,주사료,,,MBRID2,브리디온주 2ml,,106713,,,N,N,
치료재료대,,,,,QA33079,"짧은다리플라스틱보조기(일체형,워크부츠)-기성품",,76000,,,,,
치료재료대,,,,,QA32045,"콜셋(허리,엉치뼈형,건보용)-기성품",,21500,,,,,
치료재료대,,,,,QA32020,목뼈보조기(토마스소프트칼라)-기성품,,6400,,,N,N,
행위료,검사료,약물·중독검사,,,LWCY344,SLX,,72820,,,N,N,
행위료,검사료,약물·중독검사,,,LW9185,니코틴 정량-nicotine metabolite,,22946,,,N,N,
행위료,상급병실료(차액),상급병실료(차액),,,A2Z0010207,입원료(1인실:병실차액)-기본외박관리료(병원관리료),,86920,,,N,N,
행위료,상급병실료(차액),상급병실료(차액),,,A2Z0010108,입원료(1인실:병실차액)-간호간병/기본외박관리료(병원관리료),,99160,,,N,N,
행위료,자기공명영상진단료(MRI),뇌,,,HI101/HJ101,MRI 뇌   Brain  일반,,,367190,388960,N,N,장비별(테슬라)금액상이 PACS영상저장및 전송비용(3280원) 포함
행위료,자기공명영상진단료(MRI),뇌,,,HI201/HJ201,MRI 뇌   Brain 조영제 사용,,,487000,515940,N,N,장비별(테슬라)금액상이 PACS영상저장및 전송비용(3281원) 포함
행위료,자기공명영상진단료(MRI),두경부,,,HI103/HJ103,MRI 안면 Face  일반,,,398740,422400,N,N,장비별(테슬라)금액상이 PACS영상저장및 전송비용(3282원) 포함
행위료,자기공명영상진단료(MRI),두경부,,,HI104/HJ104,MRI 부비동 PNS  일반,,,398740,422400,N,N,장비별(테슬라)금액상이 PACS영상저장및 전송비용(3283원) 포함
행위료,자기공명영상진단료(MRI),두경부,,,HI105/HJ105,MRI 안와 Orbit 일반,,,398740,422400,N,N,장비별(테슬라)금액상이 PACS영상저장및 전송비용(3284원) 포함
행위료,자기공명영상진단료(MRI),두경부,,,HI106/HJ106,MRI 측두골 Temporal Bone 일반,,,398740,422400,N,N,장비별(테슬라)금액상이 PACS영상저장및 전송비용(3285원) 포함
행위료,자기공명영상진단료(MRI),두경부,,,HI107/HJ107,MRI 측두하악관절 TM-Joint 일반,,,398740,422400,N,N,장비별(테슬라)금액상이 PACS영상저장및 전송비용(3286원) 포함
행위료,자기공명영상진단료(MRI),두경부,,,HI108/HJ108,MRI 경부 Neck  일반,,,398740,422400,N,N,장비별(테슬라)금액상이 PACS영상저장및 전송비용(3287원) 포함
