"병원","분류","명칭","코드","구분","비용","최저비용","최고비용","치료재료대 포함여부","약제비 포함여부","특이사항"
"대전","상급병실료 차액","특실","A2Z00101","특실","100000","","","","","-"
"대전","상급병실료 차액","1인실","A2Z00201","1인실","50000","","","","","-"
"대전","상급병실료 차액","2인실","A2Z00202","2인실","25000","","","","","-"
"대전","혈장단백검사","프로칼시토닌 정량검사","CZ115","-","38597","","","","","-"
"대전","지질, 영양 관련검사","호모시스테인검사","CZ133","-","24000","","","","","-"
"대전","내분비검사","프로인슐린","CZ206","-","13486","","","","","-"
"대전","내분비검사","PAPP-A 검사","CZ212","-","11227","","","","","-"
"대전","내분비검사","항뮬러관호르몬[불임,폐경]","CZ214","-","21136","","","","","-"
"대전","내분비검사","(정밀)체성분 분석검사","SZ05300","-","15000","","","","","-"
"대전","유전성대사질환검사","Tandem mass를 이용한 선천성 대사이상 선별검사","CZ338","-","28900","","","","","-"
"대전","유전성대사질환검사","메틸말론산검사","CZ340","메틸말론산검사  정성","10596","","","","","-"
"대전","유전성대사질환검사","메틸말론산검사","CZ340","메틸말론산 정량(24시간 소변)","21193","","","","","-"
"대전","감염증 기타 검사","인플루엔자 A·B 바이러스항원검사 [현장검사]","CZ394","-","25000","","","","","-"
"대전","자가면역질환검사","항GD1b항체 [IgM]","CZ425","-","19791","","","","","-"
"대전","자가면역질환검사","항MAG항체","CZ427","-","22449","","","","","-"
"대전","자가면역질환검사","항CCP항체[IgG]","CZ432","-","25300","","","","","-"
"대전","자가면역질환검사","항GM1항체 [IgG]","CZ261","-","19251","","","","","-"
"대전","자가면역질환검사","항GM1항체 [IgM]","CZ262","-","19251","","","","","-"
"대전","분자병리검사","유전자 돌연변이검사[기타 검사]-유전자명별-JAK2 유전자, V617F 돌연변이[대립유전자특이중합효소연쇄반응법]","CZ818","-","19984","","","","","-"
"대전","분자병리검사","기타검사-실시간역전사중합효소연쇄반응법-인플루엔자바이러스 A","C6095","-","53242","","","","","-"
"대전","분자병리검사","기타검사-다중역전사중합효소연쇄반응법-인플루엔자A(H1N1)포함","C6096","-","54875","","","","","-"
"대전","분자병리검사","중합효소연쇄반응-HPV(인유두종바이러스)","C5956","-","30000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","분자병리검사","인유두종바이러스 유전자형 검사[DNA Microarray 법]","C5959","-","50400","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","신경계기능검사","신경인지기능검사-각성도 및 주의력검사-연속수행력검사 [시각]","FZ011","신경인지기능검사-각성도 및 주의력검사-연속수행과제검사 [시각]","30000","","","","","(별표)신경인지 기능검사 반영"
"대전","신경계기능검사","신경인지기능검사-각성도 및 주의력검사-연속수행력검사 [청각]","FZ012","신경인지기능검사-각성도 및 주의력검사-TOVA [청각]","30000","","","","","(별표)신경인지 기능검사 반영"
"대전","신경계기능검사","신경인지기능검사-각성도 및 주의력검사-경계력검사 [시각]","FZ021","신경인지기능검사-각성도 및 주의력검사-비엔나 system-경계심검사(VIGIL) [시각]","25000","","","","","(별표)신경인지 기능검사 반영"
"대전","신경계기능검사","신경인지기능검사-각성도 및 주의력검사-경계력검사[청각]","FZ022","신경인지기능검사-각성도 및 주의력검사-글자듣기에 의한 주의력검사 등 [청각]","25000","","","","","(별표)신경인지 기능검사 반영"
"대전","신경계기능검사","신경인지기능검사-각성도 및 주의력검사-무시증후군검사","FZ023","-","25000","","","","","-"
"대전","신경계기능검사","신경인지기능검사-각성도 및 주의력검사-기호잇기검사","FZ024","신경인지기능검사-각성도 및 주의력검사-CNT-선로잇기검사(Trail Making)","15000","","","","","(별표)신경인지 기능검사 반영"
"대전","신경계기능검사","신경인지기능검사-각성도 및 주의력검사-숫자-기호바꾸기검사","FZ025","-","15000","","","","","-"
"대전","신경계기능검사","신경인지기능검사-기억력검사-단기기억력검사[시각]","FZ031","신경인지기능검사-기억력검사-공간기억력검사(Visual Retention test) [시각]","25000","","","","","(별표)신경인지 기능검사 반영"
"대전","신경계기능검사","신경인지기능검사-기억력검사-단기기억력검사[청각]","FZ032","신경인지기능검사-기억력검사-숫자대기검사 [청각]","25000","","","","","(별표)신경인지 기능검사 반영"
"대전","신경계기능검사","신경인지기능검사-기억력검사-단기기억력검사[청각]","FZ032","신경인지기능검사-기억력검사-Sentence Repetiotion [청각]","25000","","","","","(별표)신경인지 기능검사 반영"
"대전","신경계기능검사","신경인지기능검사-기억력검사-단기기억력검사[청각]","FZ032","신경인지기능검사-기억력검사-언어기억력검사(Verbal Memory Test) [청각]","25000","","","","","(별표)신경인지 기능검사 반영"
"대전","신경계기능검사","신경인지기능검사-기억력검사-단기기억력검사[청각]","FZ032","신경인지기능검사-기억력검사-CNT-숫자따라말하기검사(Digit Span) [청각]","25000","","","","","(별표)신경인지 기능검사 반영"
"대전","신경계기능검사","신경인지기능검사-기억력검사-캘리포니아 언어학습검사","FZ033","신경인지기능검사-기억력검사-Ray(Auditory) Verbal Learning Test","25000","","","","","(별표)신경인지 기능검사 반영"
"대전","신경계기능검사","신경인지기능검사-기억력검사-캘리포니아 언어학습검사","FZ033","신경인지기능검사-기억력검사-단어항목학습(List Learning)","25000","","","","","(별표)신경인지 기능검사 반영"
"대전","신경계기능검사","신경인지기능검사-기억력검사-캘리포니아 언어학습검사","FZ033","신경인지기능검사-기억력검사-단어항목회상(List Recall)","25000","","","","","(별표)신경인지 기능검사 반영"
"대전","신경계기능검사","신경인지기능검사-기억력검사-캘리포니아 언어학습검사","FZ033","신경인지기능검사-기억력검사-CNT-언어기억검사(Verbal Learning)","25000","","","","","(별표)신경인지 기능검사 반영"
"대전","신경계기능검사","신경인지기능검사-기억력검사-홉킨스 언어학습검사","FZ034","-","35000","","","","","-"
"대전","신경계기능검사","신경인지기능검사-기억력검사-자서전적 기억평가면접","FZ036","-","30000","","","","","-"
"대전","신경계기능검사","신경인지기능검사-기억력검사-웩슬러 기억 평정척도","FZ037","신경인지기능검사-기억력검사-웩슬러 기억 평정척도-MAS","45363","","","","","(별표)신경인지 기능검사 반영"
"대전","신경계기능검사","신경인지기능검사-언어능력검사-성인 진단적 이해력검사","FZ039","신경인지기능검사-언어능력검사-Listening & Reading Comprehension","20000","","","","","(별표)신경인지 기능검사 반영"
"대전","신경계기능검사","신경인지기능검사-언어능력검사-단어 유창성검사","FZ040","신경인지기능검사-언어능력검사-어휘력 검사","15000","","","","","(별표)신경인지 기능검사 반영"
"대전","신경계기능검사","신경인지기능검사-언어능력검사-보스톤 사물이름대기검사","FZ041","신경인지기능검사-언어능력검사-Peabody 어휘선별검사","30000","","","","","(별표)신경인지 기능검사 반영"
"대전","신경계기능검사","신경인지기능검사-지각 및 시공간능력검사-인식력검사[시각]","FZ051","신경인지기능검사-지각 및 시공간능력검사보고그리기검사[시각]","22750","","","","","(별표)신경인지 기능검사 반영"
"대전","신경계기능검사","신경인지기능검사-지각 및 시공간능력검사-레이 복합도형검사","FZ044","-","30000","","","","","-"
"대전","신경계기능검사","신경인지기능검사-지각 및 시공간능력검사-좌-우 구분검사","FZ045","신경인지기능검사-지각 및 시공간능력검사-손가락이름대기검사(Finger Naming Test)","20000","","","","","(별표)신경인지 기능검사 반영"
"대전","신경계기능검사","신경인지기능검사-지각 및 시공간능력검사-좌-우 구분검사","FZ045","신경인지기능검사-지각 및 시공간능력검사-신체부위가리키기검사","20000","","","","","(별표)신경인지 기능검사 반영"
