"병원","분류","명칭","코드","구분","비용","최저비용","최고비용","치료재료대포함여부","약제비포함여부","특이사항"
"대전","상급병실료 차액","특실","A2Z00101","특실","150000","","","","","-"
"대전","상급병실료 차액","2인실","A2Z00202","2인실","40000","","","","","-"
"대전","상급병실료 차액","1인실","A2Z00201","1인실","70000","","","","","-"
"대전","지질, 영양 관련검사","호모시스테인검사","CZ133","-","24000","","","","","-"
"대전","내분비검사","프로인슐린","CZ206","-","13790","","","","","-"
"대전","내분비검사","PAPP-A 검사","CZ212","-","12950","","","","","-"
"대전","내분비검사","항뮬러관호르몬[불임,폐경]","CZ214","-","21136","","","","","-"
"대전","내분비검사","(정밀)체성분 분석검사","SZ05300","-","15000","","","","","-"
"대전","유전성대사질환검사","Tandem mass를 이용한 선천성 대사이상 선별검사","CZ338","-","27160","","","","","-"
"대전","유전성대사질환검사","메틸말론산검사","CZ340","메틸말론산검사　정성","21193","","","","","-"
"대전","유전성대사질환검사","메틸말론산검사","CZ340","메틸말론산 정량(24시간 소변)","21193","","","","","-"
"대전","감염증 기타 검사","인플루엔자 A·B 바이러스항원검사 [현장검사]","CZ394","-","25000","","","","","-"
"대전","자가면역질환검사","항GD1b항체 [IgM]","CZ425","-","12530","","","","","-"
"대전","자가면역질환검사","항MAG항체","CZ427","-","22449","","","","","-"
"대전","자가면역질환검사","항CCP항체[IgG]","CZ432","-","25300","","","","","-"
"대전","자가면역질환검사","항GM1항체 [IgG]","CZ261","-","19170","","","","","-"
"대전","자가면역질환검사","항GM1항체 [IgM]","CZ262","-","19170","","","","","-"
"대전","분자병리검사","유전자 돌연변이검사[기타 검사]-유전자명별-JAK2 유전자, V617F 돌연변이[대립유전자특이중합효소연쇄반응법]","CZ818","-","19984","","","","","-"
"대전","분자병리검사","기타검사-실시간역전사중합효소연쇄반응법-인플루엔자바이러스 A","C6095","-","53242","","","","","-"
"대전","분자병리검사","기타검사-다중역전사중합효소연쇄반응법-인플루엔자A(H1N1)포함","C6096","-","54875","","","","","-"
"대전","분자병리검사","중합효소연쇄반응-HPV(인유두종바이러스)","C5956","-","31830","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","분자병리검사","인유두종바이러스 유전자형 검사[DNA Microarray 법]","C5959","-","53480","","","","","급여 인정기준 외 실시한 경우 비급여"
