"병원","분류","명칭","코드","구분","비용","최저비용","최고비용","치료재료대포함여부","약제비포함여부","특이사항"
"부산","상급병실료(차액)","종합병원1인실입원료","A2Z00102","","","153720","168650","N","N","일반과/내소정 구분"
"부산","상급병실료(차액)","1인실 병실차액","A2Z00102-1","","70000","","","N","N","호스피스,산재,자보"
"부산","검사료","구취측정","JM0050T","","30000","","","N","N",""
"부산","검사료","항GM1항체 [IgG]","LWCZ261","","23502","","","N","N","위탁검사"
"부산","검사료","항GM1항체 [IgM]","LWCZ262","","23502","","","N","N","위탁검사"
"부산","검사료","항신경핵항체 1형(Anti Hu)","LWCZ422","","15630","","","N","N","위탁검사"
"부산","검사료","항신경핵항체 2형(Anti Ri)","LWCZ423","","15630","","","N","N","위탁검사"
"부산","검사료","항퍼킨제세포세포질항체(Anti Yo)","LWCZ424","","15630","","","N","N","위탁검사"
"부산","검사료","인플루엔자바이러스 A&B PCR","LWCZ996","","59652","","","N","N","비급여코드삭제"
"부산","검사료","항뮬러관호르몬 [정밀면역검사]","LWD3730","","52779","","","N","N",""
"부산","검사료","PAPP-A [정밀면역검사](정량)","LWZ02301","","31000","","","N","N","위탁검사"
"부산","검사료","인플루엔자 A·B 바이러스항원검사 [현장검사]","LZ00900","","25000","","","N","N",""
"부산","검사료","(비급여-당일입원시)SARS-CoV-2 항원검사[일반면역검사]-간이검사","LZ01000","","25000","","","N","N",""
"부산","검사료","BRAF 유전자, 돌연변이[실시간 중합효소연쇄반응][BRAF Gene]-thyroid","PWC5831176","","56562","","","N","N",""
"부산","검사료","눈의 계측검사 [편측] - 초음파 이용 ","SE7800","","50000","","","N","N",""
"부산","검사료","눈의 계측검사 [편측] - 레이저 간섭계 이용","SE7801","","50000","","","N","N",""
"부산","검사료","진정내시경환자관리료-Ⅰ","SEA001","","56300","","","N","N",""
"부산","검사료","진정내시경환자관리료-Ⅱ","SEA002","","81700","","","N","N",""
"부산","검사료","진정내시경환자관리료-Ⅲ","SEA003","","125220","","","N","N",""
"부산","검사료","진정내시경환자관리료-Ⅳ","SEA004","","173170","","","N","N",""
"부산","검사료","안구광학단층촬영OCT(편측)","SEZ796","","50000","","","N","N",""
"부산","검사료","비디오전기안진검사","SF6331-9","","","30710","57950","N","N","검사방법에 따라"
"부산","검사료","적외선체역진단","SZ05101-10","","","50000","100000","N","N","부위별/전신"
"부산","검사료","체성분 분석검사","SZ05300","","15000","","","N","N",""
"부산","검사료","동맥경화도검사","SZ07201-2","","","30000","50000","N","N","1부위/2부위"
"부산","검사료","호기 산화질소 측정","SZ09701","","50000","","","N","N",""
"부산","검사료","발음 및 발성검사","SZ10802","","50000","","","N","N",""
"부산","검사료","한국판 성격평가척도","SZ11303","","30000","","","N","N",""
"부산","검사료","언어전반진단검사","SZ11500","","25000","","","N","N",""
"부산","이학요법료","도수치료","FZ00400","","40000","","","N","N",""
"부산","이학요법료","증식치료 사지관절부위","FZ01301","","20000","","","N","N",""
"부산","이학요법료","증식치료 척추부위","FZ01302","","30000","","","N","N",""
"부산","이학요법료","전산화 인지재활치료[주의·기억]","FZ01600","","35000","","","N","N",""
"부산","이학요법료","신장분사치료(1일당)","FZ02100","","18000","","","N","N",""
"부산","이학요법료","체외자기장 요실금치료 [1일당]","HZUR01601-3","","","20000","30000","N","N","질환별"
"부산","이학요법료","언어장애치료[기본30분까지]","SZ03401","","35000","","","N","N",""
"부산","이학요법료","언어장애치료 [기본 30분 초과10분당]","SZ03402","","10000","","","N","N",""
"부산","이학요법료","언어장애치료 (인지장애동반시)","SZ03403","","10000","","","N","N",""
"부산","입원환자 식대","보호자 식대(한상)","WZ00100","","6000","","","N","N","부가세별도"
"부산","입원환자 식대","보호자 식대(공기밥)","WZ00200","","1000","","","N","N","부가세별도"
"부산","자기공명영상진단료(MRI)","MRI 경추 판독료","HJ109","","131650","","","N","N",""
"부산","자기공명영상진단료(MRI)","MRI Lumbosacral spine(흉추와 동시촬영시)","M703N","","705000","","","N","N","RMHE110,RMHE113 합한 금액"
