"병원","분류","명칭","코드","구분","비용","최저비용","최고비용","치료재료대포함","약제비포함여부","특이사항"
"서울","상급병실료 차액","특실","-","입원료(특별병실:병실차액)","200000","","","","","-"
"서울","상급병실료 차액","1인실","-","입원료(1인실:병실차액)","100000","","","","","-"
"서울","상급병실료 차액","2인실","-","입원료(2인실:병실차액)-","50000","","","","","-"
"서울","체액및 천자액 검사","인산화타우단백 [효소측정법]","BZ012","인산화타우단백 [효소면역측정법]","307512","","","","","위탁검사"
"서울","출혈, 혈전 검사","혈소판 약물 반응검사 (아스피린) [현장검사]","BZ071","혈소판 약물반응검사(아스피린)","80000","","","","","-"
"서울","출혈, 혈전 검사","혈소판 약물 반응검사 (P2Y12) [현장검사]","BZ072","혈소판 약물반응검사(P2Y12)","120000","","","","","-"
"서울","지질, 영양 관련검사","호모시스테인검사","CZ133","Homocysteine","24000","","","","","-"
"서울","내분비검사","항뮬러관호르몬[불임,폐경]","CZ214","Anti-Mullerian Hormone, AMH","22423","","","","","위탁검사"
"서울","약물 및 독물검사","약물동력학적 해석 및 보고","CZ371","약물 동력학적해석및보고Therapeutic Drug Monitoring TDM","20000","","","","","-"
"서울","감염증 기타 검사","인플루엔자 A·B 바이러스항원검사 [현장검사]","CZ394","인플루엔자 A·B 바이러스항원검사 [현장검사]","25000","","","","","-"
"서울","자가면역질환검사","항GD1b항체 [IgM]","CZ425","Anti GD1b Ab IgM","19708","","","","","위탁검사"
"서울","자가면역질환검사","항GD1b항체 [IgG]","CZ425","Anti GD1b Ab IgG","14134","","","","","위탁검사"
"서울","자가면역질환검사","항MAG항체","CZ427","Anti MAG Ab","24182","","","","","-"
"서울","자가면역질환검사","항CCP항체[IgG]","CZ432","항CCP항체[IgG]","25300","","","","","-"
"서울","자가면역질환검사","항CCP항체[IgG]","CZ432","항CCP항체[IgG]","14147","","","","","위탁검사"
"서울","자가면역질환검사","항GM1항체 [IgG]","CZ261","Anti GM1 Ab IgG","19170","","","","","위탁검사"
"서울","자가면역질환검사","항GM1항체 [IgM]","CZ262","Anti GM1 Ab IgM","19170","","","","","위탁검사"
"서울","분자병리검사","유전자 돌연변이검사 [유전자 염기서열검사]-PKD2 유전자","CZ659","[유전자 염기서열검사]-PKD2 유전자","188937","","","","","위탁검사"
"서울","분자병리검사","유전자 돌연변이검사 [유전자 염기서열검사]-AR 유전자","CZ663","[유전자 염기서열검사]-AR 유전자","164260","","","","","위탁검사"
"서울","분자병리검사","유전자 돌연변이검사 [유전자 염기서열검사]-BRAF 유전자","CZ684","BRAF 유전자돌연변이검사","46604","","","","","위탁검사"
"서울","분자병리검사","유전자 돌연변이검사[기타 검사]-유전자명별-MGMT 유전자 [메틸화특이중합효소연쇄반응]","CZ815","MGMT 유전자[메틸화특이중합효소연쇄반응]","176844","","","","","위탁검사"
"서울","분자병리검사","유전자 돌연변이검사[기타 검사]-유전자명별-PMP22 유전자,엑손결실/중복[MLPA법]","CZ827","PMP22 유전자,엑손결실/중복[MLPA법]","95500","","","","","위탁검사"
"서울","분자병리검사","기타 검사-아데노바이러스 [다중역전사중합효소연쇄반응법]","CZ981","호흡기바이러스 PCR 14종","63030","","","","","위탁검사"
"서울","분자병리검사","기타 검사-아데노바이러스 [다중역전사중합효소연쇄반응법]","CZ981","호흡기바이러스 PCR 9종","55008","","","","","위탁검사"
"서울","분자병리검사","기타검사-실시간역전사중합효소연쇄반응법-인플루엔자바이러스 A","C6095","Real-Time RT-PCR [Influenza Virus A]","134225","","","","","-"
