"순번","행위구분","분류","명칭","코드","표준코드","비용","최저비용","최고비용","치료재료대 포함여부","약제비 포함여부","특이사항","최종변경일"
"1","[행위]검사료","신경계기능검사","주의력 검사(청각)","FZ690","SFZ69001","60000","","","X","X","","2022-11-30"
"2","[행위]검사료","신경계기능검사","주의력검사(시각)","FZ690","SFZ690","60000","","","X","X","","2022-11-30"
"3","[행위]이학요법료(물리치료료)","이학요법료","이명 재훈련 치료 / Tinnitus Retraining Therapy","MZ004","FMZ004","50000","","","X","X","","2022-10-17"
"4","[행위]처치 및 수술료 등","처치 및 수술료","시아노아크릴레이트를 이용한 복재정맥 폐색술(유도료 포함) [편측]","OZ303","HZOZ00303","1000000","","","X","X","","2023-06-15"
"5","[행위]처치 및 수술료 등","처치 및 수술료","자가 혈소판 풍부 혈장 치료술(Autologous Platelet Rich Plasma Application)","신의료기술","HZOS00400","200000","","","X","X","","2022-06-08"
"6","[행위]영상진단 및 방사선치료료","방사선치료료","치료 보조기구 -고정기구","HD033","ROHD033(A~F)","136713","","","X","X","미용성형 목적 시 비급여대상(감면제외항목)(부가가치세별도)","2023-01-01"
"7","[행위]영상진단 및 방사선치료료","방사선치료료","치료 보조기구 -고정기구","HD033","ROHD033(A~F)","136713","","","X","X","미용성형 목적 시 비급여대상(감면제외항목)(부가가치세별도)","2023-01-01"
"8","[행위]영상진단 및 방사선치료료","방사선치료료","치료 보조기구 -보상체","HD032","ROHD032","296488","","","X","X","미용성형 목적 시 비급여대상(감면제외항목)(부가가치세별도)","2023-01-01"
"9","[행위]영상진단 및 방사선치료료","방사선치료료","치료 보조기구 -다엽콜리메이트","HD031","ROHD03101","84363","","","X","X","미용성형 목적 시 비급여대상(감면제외항목)(부가가치세별도)","2023-01-01"
"10","[행위]영상진단 및 방사선치료료","방사선치료료","치료 보조기구 -차폐물","HD031","ROHD031","84363","","","","X","미용성형 목적 시 비급여대상(감면제외항목)(부가가치세별도)","2023-01-01"
"11","[행위]영상진단 및 방사선치료료","방사선치료료","1문조사 전산화치료계획(2회-3회) [1회당]","HD413","ROHD413","57200","","","X","X","미용성형 목적 시 비급여대상(감면제외항목)(부가가치세별도)","2023-01-01"
"12","[행위]영상진단 및 방사선치료료","방사선치료료","1문조사 전산화치료계획(1회)","HD013","ROHD013","83950","","","X","X","미용성형 목적 시 비급여대상(감면제외항목)(부가가치세별도)","2023-01-01"
"13","[행위]영상진단 및 방사선치료료","방사선치료료","1문조사기본치료계획(2회-3회) [1회당]","HD410","ROHD410","32475","","","X","X","미용성형 목적 시 비급여대상(감면제외항목)(부가가치세별도)","2023-01-01"
"14","[행위]영상진단 및 방사선치료료","방사선치료료","1문조사기본치료계획(1회)","HD010","ROHD010","50763","","","X","X","미용성형 목적 시 비급여대상(감면제외항목)(부가가치세별도)","2023-01-01"
"15","[행위]영상진단 및 방사선치료료","방사선치료료","전자선-Electron 4ports","HD053+HD056*3","ROHD053+ROHD056+ROHD056+ROHD056","169314","","","X","X","미용성형 목적 시 비급여대상(감면제외항목)(부가가치세별도)","2023-01-01"
"16","[행위]영상진단 및 방사선치료료","방사선치료료","전자선-Electron 3ports","HD053+HD056+HD056","ROHD053+ROHD056+ROHD056","134800","","","X","X","미용성형 목적 시 비급여대상(감면제외항목)(부가가치세별도)","2023-01-01"
"17","[행위]영상진단 및 방사선치료료","방사선치료료","전자선-Electron 2ports","HD053+HD056","ROHD053+ROHD056","100288","","","X","X","미용성형 목적 시 비급여대상(감면제외항목)(부가가치세별도)","2023-01-01"
"18","[행위]영상진단 및 방사선치료료","방사선치료료","전자선-Electron 1port","HD053","ROHD05604","65775","","","X","X","미용성형 목적 시 비급여대상(감면제외항목)(부가가치세별도)","2023-01-01"
