진료년도,진료과목,주상병코드,환자수,명세서청구건수,입내원일수,보험자부담금(선별포함),요양급여비용총액(선별포함)
2023,일반의,A08,5 ,5 ,10 ,1143070 ,1278790 
2023,일반의,A09,95 ,105 ,105 ,2130790 ,3424080 
2023,일반의,A41,23 ,34 ,277 ,33822150 ,41564200 
2023,일반의,A49,1 ,1 ,1 ,115130 ,191830 
2023,일반의,A59,1 ,1 ,1 ,8710 ,14410 
2023,일반의,A60,5 ,5 ,5 ,113670 ,189070 
2023,일반의,A64,1 ,1 ,1 ,70630 ,117630 
2023,일반의,B00,6 ,6 ,6 ,98440 ,162540 
2023,일반의,B02,5 ,7 ,7 ,66090 ,103890 
2023,일반의,B04,3 ,3 ,4 ,1355700 ,1573140 
2023,일반의,B07,1 ,2 ,2 ,44610 ,89210 
2023,일반의,B08,1 ,1 ,1 ,9110 ,12610 
2023,일반의,B17,1 ,3 ,3 ,65690 ,109190 
2023,일반의,B18,3 ,4 ,4 ,176580 ,288780 
2023,일반의,B26,1 ,1 ,1 ,10050 ,16650 
2023,일반의,B30,1 ,1 ,1 ,19340 ,29740 
2023,일반의,B34,22 ,22 ,22 ,416110 ,593910 
2023,일반의,B35,7 ,11 ,10 ,136390 ,217000 
2023,일반의,B37,20 ,22 ,22 ,394300 ,676410 
2023,일반의,B98,1 ,1 ,1 ,30090 ,50090 
2023,일반의,C02,2 ,39 ,39 ,4451640 ,5066140 
2023,일반의,C03,1 ,104 ,104 ,3087900 ,3249600 
2023,일반의,C06,2 ,5 ,16 ,2433840 ,2646710 
2023,일반의,C08,1 ,2 ,5 ,225070 ,255840 
2023,일반의,C09,3 ,40 ,67 ,5241830 ,6381860 
2023,일반의,C10,1 ,4 ,4 ,677240 ,722570 
2023,일반의,C11,1 ,38 ,55 ,5375940 ,5863140 
2023,일반의,C12,2 ,2 ,6 ,1157000 ,1245990 
2023,일반의,C15,9 ,43 ,60 ,5871560 ,6309040 
2023,일반의,C16,74 ,657 ,1548 ,155382550 ,174827570 
2023,일반의,C17,1 ,8 ,15 ,1991720 ,2428850 
2023,일반의,C18,45 ,427 ,1181 ,88669730 ,100233200 
2023,일반의,C19,2 ,91 ,134 ,3739500 ,4170720 
2023,일반의,C20,23 ,117 ,247 ,19838440 ,22284250 
2023,일반의,C22,26 ,320 ,647 ,40195530 ,44870670 
2023,일반의,C23,4 ,83 ,165 ,9738990 ,10674930 
2023,일반의,C24,17 ,104 ,254 ,24658120 ,28114330 
2023,일반의,C25,27 ,388 ,600 ,40170870 ,44766960 
2023,일반의,C30,1 ,3 ,26 ,872960 ,1136890 
2023,일반의,C32,1 ,2 ,23 ,4914940 ,5353140 
2023,일반의,C34,51 ,810 ,1464 ,105552820 ,118512870 
2023,일반의,C37,1 ,1 ,3 ,209190 ,328360 
2023,일반의,C44,1 ,1 ,28 ,2171520 ,2482760 
2023,일반의,C46,1 ,1 ,3 ,372580 ,414810 
2023,일반의,C48,2 ,22 ,66 ,5704700 ,6663060 
2023,일반의,C49,2 ,3 ,4 ,337640 ,364120 
2023,일반의,C50,273 ,3091 ,8243 ,732663930 ,831596150 
2023,일반의,C53,20 ,90 ,210 ,16887990 ,18663010 
2023,일반의,C54,9 ,118 ,148 ,6812800 ,7555800 
2023,일반의,C55,4 ,43 ,64 ,6900770 ,7773550 
2023,일반의,C56,38 ,640 ,1320 ,95017820 ,106836330 
2023,일반의,C57,2 ,54 ,94 ,9587830 ,10616990 
2023,일반의,C61,14 ,135 ,388 ,36888400 ,42489260 
2023,일반의,C62,1 ,14 ,14 ,91590 ,95490 
