"년도","구분코드","구분명","년가동병상수","입원년인원"
"2019","01","간호간병","16425","13725"
"2019","02","호스피스","10220","9585"
"2019","03","공동간병","0","0"
"2019","01","간호간병","17520","16035"
"2019","02","호스피스","7300","6157"
"2019","03","공동간병","0","0"
"2019","01","간호간병","16425","13773"
"2019","02","호스피스","10585","10224"
"2019","03","공동간병","17520","15891"
"2019","01","간호간병","16181","13473"
"2019","02","호스피스","6570","6101"
"2019","03","공동간병","8760","7568"
"2019","01","간호간병","14600","12955"
"2019","02","호스피스","5840","5133"
"2019","03","공동간병","14046","11978"
