구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,합계,"일평균
환자"
내 과,"5,593","5,636","3,883","3,857","3,518","3,495","3,780","3,567","3,575","3,591","3,416","3,572","47,483",193.0
소화기내과,0,0,831,"1,092","1,102","1,011","1,259","1,051","1,199","1,283","1,322","1,427","11,577",47.1
심장내과,0,0,285,461,561,598,646,518,546,672,630,765,"5,682",23.1
호흡기내과,0,0,"1,057","1,074",766,913,952,810,765,875,798,919,"8,929",36.3
소아청소년과,14,0,0,11,25,26,18,42,58,97,29,23,343,1.4
신 경 과,"2,282","2,191","2,099","2,301","2,091","2,075","2,326","2,114","2,158","2,313","2,082","2,175","26,207",106.5
정신건강의학과,808,742,743,785,748,749,811,752,760,738,778,815,"9,229",37.5
외 과,679,685,693,677,613,686,700,621,628,667,675,715,"8,039",32.7
정형외과,"3,362","3,448","3,190","3,424","3,182","3,405","3,682","3,452","3,527","3,523","3,131","3,366","40,692",165.4
신경외과,0,0,329,365,411,411,484,445,457,542,434,489,"4,367",17.8
산부인과,133,118,129,140,70,0,125,103,110,117,116,111,"1,272",5.2
안 과,"1,211","1,145","1,240","1,314","1,267","1,169","1,329","1,253","1,248","1,068","1,076","1,161","14,481",58.9
이비인후과,"1,022","1,148","1,105","1,030",925,905,955,881,949,887,860,"1,025","11,692",47.5
피 부 과,"1,453","1,579","1,570","1,663","1,640","1,698","1,933","1,773","1,786","1,656","1,513",913,"19,177",78.0
비뇨기과,"2,005","2,088","2,145","2,178","1,939","2,009","2,249","2,132","2,128","2,204","2,063","2,294","25,434",103.4
치 과,"1,665","1,582","1,600","1,793","1,807","1,885","2,104","1,955","1,895","2,024","1,983","2,127","22,420",91.1
재활의학과,"1,176","1,241","1,240","1,356","1,208","1,207","1,500","1,051","1,258","1,341","1,292","1,376","15,246",62.0
통증크리닉,0,0,25,35,32,39,37,25,28,24,20,18,283,1.2
가정의학과,"1,329","1,600","1,505","1,467","1,599","1,778","1,927","1,924","4,531","4,980","1,910","2,360","26,910",109.4
한방내과,643,569,574,635,588,585,606,552,504,575,572,596,"6,999",28.5
건강관리과,144,214,263,342,330,312,471,852,424,434,393,968,"5,147",20.9
응 급 실,428,416,429,420,518,514,442,443,481,424,408,370,"5,293",21.5
합 계,"23,947","24,402","24,935","26,420","24,940","25,470","28,336","26,316","29,015","30,035","25,501","27,585","316,902",1288.2
