구 분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,합계,"일평균
 				 환자"
일 반 내 과,"2,778","2,601","2,870","2,887","2,293","2,060","2,407","2,240","2,220","10,552","3,103","2,994","39,005",158.6
순 환 기 내 과,"2,377","2,096","2,576","2,394","2,274","2,611","2,551","2,533","2,311","2,446","2,538","2,685","29,392",119.5
호 흡 기 내 과,923,720,914,964,792,913,"1,074",908,951,914,851,956,"10,880",44.2
내 분 비 내 과,"1,869","1,556","1,997","1,617","1,687","1,980","1,935","1,707","1,849","1,878","1,818","1,961","21,854",88.8
소 화 기 내 과,"3,386","2,873","3,611","3,290","2,938","3,360","3,309","3,303","3,189","3,411","2,969","3,545","39,184",159.3
신 장 내 과,"1,561","1,345","1,554","1,465","1,446","1,528","1,680","1,552","1,493","1,559","1,439","1,532","18,154",73.8
소아청소년과,540,572,617,591,523,366,365,452,574,671,519,594,"6,384",26.0
신 경 과,"1,816","1,490","1,873","1,870","1,578","1,703","1,949","1,803","1,726","1,779","1,813","1,732","21,132",85.9
정신건강의학과,"1,286","1,114","1,375","1,243","1,230","1,400","1,452","1,087","1,217","1,403","1,393","1,570","15,770",64.1
외 과,698,510,613,678,615,664,668,665,699,686,729,751,"7,976",32.4
정 형 외 과,"3,514","3,125","3,833","3,701","3,284","3,533","3,602","3,621","3,326","3,589","3,419","3,538","42,085",171.1
신 경 외 과,"2,290","2,048","2,415","2,479","2,103","2,304","2,460","2,285","2,142","2,305","2,339","2,478","27,648",112.4
산 부 인 과,156,160,187,189,170,165,222,197,173,284,206,259,"2,368",9.6
안 과,"3,023","2,554","3,403","3,092","2,769","2,930","3,078","2,723","2,665","3,006","2,797","2,984","35,024",142.4
이 비 인 후 과,"1,393","1,079","1,243","1,364","1,136","1,334","1,349","1,291","1,171","1,256","1,199","1,288","15,103",61.4
피 부 과,"3,043","2,649","3,140","2,986","2,836","3,024","3,328","3,288","2,928","2,963","2,798","2,978","35,961",146.2
비 뇨 기 과,"3,818","3,244","3,849","3,943","3,485","3,762","3,868","3,522","3,569","3,733","3,475","3,957","44,225",179.8
치 과,"2,571","2,105","2,493","2,526","2,373","2,923","3,363","3,027","2,940","3,184","3,299","3,454","34,258",139.3
재 활 의 학 과,"2,209","1,809","2,275","2,093","1,801","1,901","2,160","1,997","1,974","2,010","1,950","1,903","24,082",97.9
가 정 의 학 과,"1,274","1,177","1,597","1,486","1,464","1,481","1,384","1,330","1,423","1,584","1,447","1,648","17,295",70.3
한 방 진 료 과,583,422,560,450,505,617,571,690,696,691,595,661,"7,041",28.6
건 강 관 리 과,319,453,711,"1,113",961,486,682,839,563,771,815,"1,156","8,869",36.1
향 정 신 과,48,46,49,43,44,44,47,48,47,49,44,44,553,2.2
합 계,"41,475","35,748","43,755","42,464","38,307","41,089","43,504","41,108","39,846","50,724","41,555","44,668","504,243","2,049.8"
신 생 아,,,,,,,,,,,,,0,0.0
