구 분,1 월,2 월,3 월,4 월,5 월,6 월,7 월,8 월,9 월,10 월,11 월,12 월,합계
IM,"11,996","11,712","13,548","12,176","12,899","12,570","12,685","13,074","12,181","17,777","13,806","14,831","159,255"
NE,"2,729","2,705","2,833","2,317","2,814","2,728","2,740","2,678","2,621","2,433","2,647","3,130","32,375"
PED,"2,174","2,286","2,566","2,435","2,648","2,617","2,302","2,522","2,146","2,669","2,905","3,263","30,533"
NP,718,755,855,744,818,837,920,"1,018",951,976,"1,039","1,109","10,740"
GS,998,"1,001","1,107","1,015","1,083","1,100","1,097","1,142",967,928,924,"1,329","12,691"
CS,,,,,,,,,,,,,
OS,"3,529","3,476","4,112","3,689","3,921","3,875","3,794","3,819","3,492","3,268","3,569","3,963","44,507"
NS,"1,624","1,708","1,971","1,894","1,945","2,004","2,043","2,259","1,920","1,839","1,963","2,311","23,481"
OG,137,126,142,108,113,111,119,112,112,110,103,119,"1,412"
OPH,"1,745","1,685","2,042","1,766","1,874","1,936","1,921","2,115","1,894","1,733","1,873","1,995","22,579"
DE,"1,050","1,684","1,392",,106,"1,265","1,464","1,307","1,209","1,014","1,010","1,068","12,569"
ENT,741,657,661,836,880,959,933,"1,225","1,184","1,294","1,471","1,592","12,433"
URO,"2,586","2,608","3,004","2,686","2,845","2,848","2,899","3,052","2,771","2,744","2,899","3,566","34,508"
DT,"2,429","2,092","2,515","2,165","2,077","2,530","2,609","2,773","2,274","1,652","2,765","3,405","29,286"
RM,"2,566","2,525","3,011","2,699","2,952","2,975","3,054","3,227","2,729","2,449","2,865","3,097","34,149"
FM,"3,210","2,744","3,288","3,745","3,750","2,859","2,602","3,380","2,984","3,591","3,654","4,228","40,035"
AD,39,28,48,46,39,40,44,26,35,19,31,38,433
NM,11,6,9,11,26,17,13,23,14,11,20,18,179
HC,406,423,892,852,894,945,832,"1,210","1,628",880,999,"1,573","11,534"
합 계,"38,688","38,221","43,996","39,184","41,684","42,216","42,071","44,962","41,112","45,387","44,543","50,635","512,699"
KA,,,,,,,,,,,,,
