구 분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,합 계,일평균 환자
내과,"2,641","2,603","3,096","2,825","2,925","3,036","3,216","3,575","4,638","6,242","4,324","3,268","42,389",174.4
소화기내과,"1,737","1,758","1,801","1,818","1,717","1,900","1,810","1,928","1,862","1,830","1,927","1,849","21,937",90.3
심장내과,"1,359","1,601","1,598","1,572","1,594","1,666","1,580","1,698","1,707","1,743","1,747","1,519","19,384",79.8
호흡기내과,901,"1,033",948,900,932,802,267,1,0,0,0,0,"5,784",23.8
소아청소년과,13,30,14,15,15,14,17,20,125,133,98,24,518,2.1
신 경 과,"2,414","2,597","2,542","2,732","2,649","2,758","2,737","2,888","2,811","2,501","2,697","2,611","31,937",131.4
정신건강의학과,735,745,786,731,664,703,739,745,803,579,816,730,"8,776",36.1
피부과,"1,528","1,690","1,723","1,636","1,791","1,827","1,662","1,993","1,814","1,496","1,766","1,629","20,555",84.6
재활의학과,"1,617","1,558","1,775","1,635","1,527","1,574","1,709","1,670","1,675","1,232","1,549","1,531","19,052",78.4
가정의학과,"2,188","2,146","2,105","2,215","2,055","2,256","2,136","2,396","3,959","2,567","2,486","2,263","28,772",118.4
외과,623,574,628,583,567,685,695,677,628,529,603,568,"7,360",30.3
정형외과,"3,027","3,148","3,081","3,053","3,036","3,155","3,198","3,351","3,228","2,669","3,068","2,982","36,996",152.2
신경외과,460,519,544,544,542,576,565,651,606,512,529,500,"6,548",26.9
산부인과,52,79,94,88,80,92,75,93,80,88,90,98,"1,009",4.2
안과,"1,047","1,023","1,285","1,158","1,137","1,004","1,248","1,330","1,194","1,041","1,096","1,099","13,662",56.2
이비인후과,893,"1,017","1,116","1,033",963,977,849,903,878,837,"1,051","1,081","11,598",47.7
비뇨기과,"2,329","2,490","2,628","2,375","2,425","2,453","2,458","2,592","2,644","2,195","2,570","2,355","29,514",121.5
치과,"1,959","2,068","2,287","2,137","1,644","2,254","2,082","2,034","1,987","1,675","1,876","1,806","23,809",98.0
마취통증의학과,0,0,0,0,0,0,0,0,0,0,0,0,0,0
한방진료과,549,579,660,633,591,641,701,670,636,420,526,504,"7,110",29.3
건강검진센터,164,344,397,349,320,521,809,655,509,459,690,"1,200","6,417",26.4
응급의학과,472,354,356,453,473,393,525,496,457,530,412,476,"5,397",22.2
합 계,"26,708","27,956","29,464","28,485","27,647","29,287","29,078","30,366","32,241","29,278","29,921","28,093","348,524","1,434.3"
