구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,계
초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계
내과,"1,269","10,665","11,934","1,026","9,097","10,123","1,172","10,207","11,379","1,063","9,835","10,898","1,096","10,112","11,208","1,120","9,322","10,442","1,059","10,097","11,156","1,083","9,831","10,914","1,443","9,452","10,895","4,312","13,456","17,768","1,148","10,011","11,159","1,085","10,097","11,182","16,876","122,182","139,058"
신경과,463,"2,144","2,607",380,"1,899","2,279",453,"2,122","2,575",382,"1,986","2,368",406,"2,019","2,425",432,"1,934","2,366",462,"2,132","2,594",445,"1,999","2,444",303,"1,752","2,055",416,"2,097","2,513",454,"1,892","2,346",399,"2,015","2,414","4,995","23,991","28,986"
정신건강의학과,100,906,"1,006",110,851,961,81,869,950,86,829,915,111,968,"1,079",82,842,924,93,905,998,101,918,"1,019",74,797,871,108,971,"1,079",107,881,988,107,932,"1,039","1,160","10,669","11,829"
외과,205,675,880,146,593,739,172,641,813,155,583,738,182,513,695,146,517,663,214,559,773,201,560,761,148,499,647,196,656,852,179,644,823,166,603,769,"2,110","7,043","9,153"
흉부외과,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,165","1,165",-,-,-,-,-,-,-,-,-,-,-,-,-,"1,165","1,165"
정형외과,573,"1,934","2,507",431,"1,679","2,110",579,"1,784","2,363",517,"1,867","2,384",495,"1,853","2,348",525,"1,786","2,311",595,"2,003","2,598",535,"1,894","2,429",384,"1,644","2,028",526,"1,832","2,358",518,"1,903","2,421",478,"1,840","2,318","6,156","22,019","28,175"
신경외과,461,"1,704","2,165",391,"1,497","1,888",433,"1,650","2,083",451,"1,637","2,088",432,"1,571","2,003",460,"1,587","2,047",542,"1,725","2,267",432,698,"1,130",338,"1,489","1,827",496,"1,839","2,335",456,"1,735","2,191",364,"1,626","1,990","5,256","18,758","24,014"
마취통증의학과,60,132,192,83,120,203,82,153,235,94,180,274,90,176,266,77,153,230,87,183,270,103,139,242,63,153,216,78,202,280,82,210,292,68,153,221,967,"1,954","2,921"
산부인과,188,279,467,156,262,418,201,283,484,185,264,449,168,291,459,190,287,477,211,269,480,203,216,419,161,228,389,307,282,589,128,211,339,201,246,447,"2,299","3,118","5,417"
소아청소년과,59,114,173,40,94,134,42,87,129,41,125,166,48,127,175,57,114,171,40,97,137,43,72,115,59,71,130,245,113,358,43,98,141,46,151,197,763,"1,263","2,026"
안과,552,"1,459","2,011",474,"1,239","1,713",595,"1,393","1,988",608,"1,380","1,988",561,"1,438","1,999",552,"1,298","1,850",610,"1,542","2,152",552,"1,425","1,977",442,"1,255","1,697",581,"1,508","2,089",580,"1,434","2,014",510,"1,414","1,924","6,617","16,785","23,402"
이비인후과,611,"1,198","1,809",480,"1,097","1,577",507,"1,145","1,652",565,"1,169","1,734",479,"1,150","1,629",455,"1,059","1,514",539,"1,064","1,603",425,"1,063","1,488",403,920,"1,323",586,"1,153","1,739",518,"1,056","1,574",531,"1,130","1,661","6,099","13,204","19,303"
피부과,688,"1,250","1,938",586,"1,152","1,738",735,"1,178","1,913",724,"1,226","1,950",730,"1,181","1,911",774,"1,193","1,967",897,"1,325","2,222",801,"1,324","2,125",567,"1,128","1,695",765,"1,384","2,149",679,"1,207","1,886",693,"1,183","1,876","8,639","14,731","23,370"
비뇨의학과,434,"3,924","4,358",357,"3,582","3,939",386,"3,742","4,128",399,"3,819","4,218",395,"3,837","4,232",368,"3,655","4,023",384,"3,873","4,257",385,"3,795","4,180",314,"3,461","3,775",414,"3,932","4,346",450,"3,737","4,187",380,"3,834","4,214","4,666","45,191","49,857"
재활의학과,263,"3,950","4,213",193,"3,338","3,531",248,"3,860","4,108",216,"3,914","4,130",208,"3,937","4,145",228,"3,870","4,098",217,"4,442","4,659",227,"4,498","4,725",140,"3,433","3,573",199,"4,020","4,219",189,"4,031","4,220",206,"3,972","4,178","2,534","47,265","49,799"
가정의학과,406,346,752,312,260,572,334,263,597,343,282,625,310,276,586,299,242,541,316,274,590,297,263,560,"2,466",356,"2,822","1,222",327,"1,549",390,318,708,337,320,657,"7,032","3,527","10,559"
치과,273,"2,149","2,422",228,"1,723","1,951",292,"2,193","2,485",280,"2,358","2,638",235,"2,230","2,465",251,"2,107","2,358",280,"2,331","2,611",280,"2,311","2,591",230,"1,759","1,989",292,"1,994","2,286",254,"2,319","2,573",235,"2,466","2,701","3,130","25,940","29,070"
응급의학과,265,92,357,612,161,773,485,176,661,"2,556",166,"2,722","2,170",184,"2,354","1,983",133,"2,116",554,152,706,526,148,674,470,149,619,594,165,759,568,164,732,622,219,841,"11,405","1,909","13,314"
핵의학과,80,265,345,69,240,309,87,288,375,94,265,359,100,323,423,93,263,356,74,294,368,70,256,326,44,215,259,88,252,340,85,251,336,73,216,289,957,"3,128","4,085"
합계,"6,950","33,186","40,136","6,074","28,884","34,958","6,884","32,034","38,918","8,759","31,885","40,644","8,216","32,186","40,402","8,092","30,362","38,454","7,174","33,267","40,441","6,709","32,575","39,284","8,049","28,761","36,810","11,425","36,183","47,608","6,828","32,102","38,930","6,501","32,417","38,918","91,661","383,842","475,503"
