구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,계
초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계
순환기내과,40,"5,147","5,187",28,"4,226","4,254",39,"4,457","4,496",43,"5,052","5,095",36,"4,679","4,715",25,"4,506","4,531",33,"5,075","5,108",27,"4,648","4,675",25,"4,572","4,597",24,"4,816","4,840",27,"4,503","4,530",22,"4,771","4,793",369,"56,452","56,821"
호흡기내과,79,"2,027","2,106",49,"1,671","1,720",48,"1,719","1,767",84,"1,994","2,078",59,"1,898","1,957",45,"1,725","1,770",49,"1,930","1,979",45,"1,740","1,785",42,"1,710","1,752",49,"1,963","2,012",75,"2,135","2,210",45,"2,009","2,054",669,"22,521","23,190"
내분비내과,13,"2,139","2,152",11,"1,743","1,754",11,"1,935","1,946",16,"2,006","2,022",9,"1,994","2,003",10,"1,913","1,923",10,"2,218","2,228",13,"1,980","1,993",7,"1,924","1,931",6,"2,125","2,131",11,"1,892","1,903",4,"1,949","1,953",121,"23,818","23,939"
감염내과,,,-,,,-,,,-,5,21,26,7,65,72,3,81,84,3,74,77,2,48,50,4,52,56,2,63,65,26,287,313,24,48,72,76,739,815
소화기내과,33,"3,026","3,059",27,"2,457","2,484",48,"2,717","2,765",38,"2,963","3,001",30,"2,856","2,886",26,"2,616","2,642",35,"3,190","3,225",39,"2,859","2,898",24,"2,657","2,681",33,"2,918","2,951",34,"2,651","2,685",30,"2,999","3,029",397,"33,909","34,306"
혈액종양내과,9,515,524,5,453,458,6,572,578,7,650,657,7,564,571,4,530,534,3,678,681,8,695,703,5,699,704,5,705,710,,675,675,3,662,665,62,"7,398","7,460"
신장내과,12,"1,187","1,199",6,"1,031","1,037",3,"1,164","1,167",3,"1,308","1,311",5,"1,314","1,319",10,"1,296","1,306",3,"1,272","1,275",11,"1,357","1,368",7,"1,147","1,154",6,"1,339","1,345",2,"1,136","1,138",3,"1,251","1,254",71,"14,802","14,873"
일반내과,,16,16,,18,18,,30,30,,33,33,,21,21,,28,28,,40,40,,29,29,,298,298,571,"9,998","10,569",77,530,607,1,33,34,649,"11,074","11,723"
신경과,34,"2,968","3,002",64,"2,405","2,469",71,"2,779","2,850",68,"3,033","3,101",44,"3,012","3,056",42,"2,770","2,812",80,"3,256","3,336",38,"2,991","3,029",29,"2,816","2,845",90,"3,403","3,493",84,"3,003","3,087",51,"3,401","3,452",695,"35,837","36,532"
소아청소년과,201,"2,140","2,341",179,"1,810","1,989",135,"1,954","2,089",155,"2,443","2,598",144,"2,195","2,339",136,"1,809","1,945",160,"1,981","2,141",199,"2,138","2,337",139,"2,024","2,163",171,"2,438","2,609",144,"2,282","2,426",127,"2,192","2,319","1,890","25,406","27,296"
정신건강의학과,7,"1,302","1,309",2,"1,082","1,084",5,"1,188","1,193",11,"1,201","1,212",5,"1,134","1,139",11,"1,032","1,043",9,"1,289","1,298",5,"1,126","1,131",7,"1,133","1,140",4,"1,135","1,139",7,"1,060","1,067",5,"1,130","1,135",78,"13,812","13,890"
외과,30,929,959,17,799,816,34,912,946,19,892,911,26,915,941,18,851,869,34,"1,009","1,043",25,994,"1,019",17,819,836,17,858,875,24,818,842,13,874,887,274,"10,670","10,944"
정형외과,65,"3,512","3,577",48,"2,854","2,902",50,"2,985","3,035",62,"3,355","3,417",58,"3,334","3,392",57,"2,977","3,034",68,"3,433","3,501",49,"3,083","3,132",34,"2,880","2,914",45,"3,019","3,064",42,"2,654","2,696",35,"2,646","2,681",613,"36,732","37,345"
신경외과,34,"2,088","2,122",24,"1,826","1,850",40,"2,143","2,183",29,"2,231","2,260",28,"2,364","2,392",27,"2,147","2,174",37,"2,573","2,610",34,"2,401","2,435",33,"2,262","2,295",26,"2,355","2,381",27,"2,273","2,300",28,"2,334","2,362",367,"26,997","27,364"
산부인과,8,163,171,4,126,130,4,124,128,7,150,157,1,85,86,,64,64,6,121,127,4,148,152,2,139,141,2,110,112,3,116,119,6,109,115,47,"1,455","1,502"
안과,14,"1,789","1,803",3,"1,424","1,427",4,"1,469","1,473",,"1,329","1,329",2,"1,473","1,475",16,"1,845","1,861",15,"2,160","2,175",20,"2,028","2,048",19,"1,918","1,937",11,"1,893","1,904",17,"1,728","1,745",16,"1,850","1,866",137,"20,906","21,043"
피부과,18,"2,244","2,262",11,"1,898","1,909",16,"2,016","2,032",29,"2,100","2,129",22,"2,188","2,210",21,"2,025","2,046",11,"2,317","2,328",33,"2,287","2,320",22,"2,076","2,098",23,"2,199","2,222",15,"1,756","1,771",18,"2,069","2,087",239,"25,175","25,414"
