구분,국비,사비,계,일평균환자
초진,재진,계,일반,건강보험,의료급여,산재,자보,계,초진,재진,계,초진,재진,계
초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계
내과,25,223,248,-,2,2,9,30,39,86,480,566,90,501,591,81,583,664,76,449,525,80,520,600,34,379,413,42,486,528,63,364,427,67,558,625,653,"4,575","5,228"
소화기내과,698,"2,445","3,143",562,"2,451","3,013",722,"2,787","3,509",742,"2,717","3,459",582,"2,552","3,134",596,"2,644","3,240",687,"2,701","3,388",763,"2,788","3,551",471,"2,276","2,747",559,"2,721","3,280",667,"2,549","3,216",715,"3,061","3,776","7,764","31,692","39,456"
심장내과,194,"1,079","1,273",183,"1,093","1,276",360,"1,176","1,536",248,937,"1,185",284,"1,074","1,358",297,"1,077","1,374",280,"1,065","1,345",256,"1,020","1,276",219,"1,128","1,347",282,998,"1,280",316,"1,018","1,334",394,"1,224","1,618","3,313","12,889","16,202"
호흡기내과,402,956,"1,358",459,"1,042","1,501",463,"1,115","1,578",440,"1,181","1,621",320,"1,092","1,412",420,"1,198","1,618",336,"1,021","1,357",242,876,"1,118",210,702,912,332,781,"1,113",367,761,"1,128",305,896,"1,201","4,296","11,621","15,917"
내분비내과,-,-,-,-,-,-,136,50,186,240,138,378,188,266,454,224,350,574,199,398,597,231,458,689,165,458,623,171,518,689,184,472,656,252,402,654,"1,990","3,510","5,500"
류마티스내과,358,735,"1,093",240,838,"1,078",243,819,"1,062",274,811,"1,085",271,823,"1,094",147,515,662,281,761,"1,042",262,658,920,61,537,598,91,604,695,63,478,541,331,595,926,"2,622","8,174","10,796"
신장내과,105,892,997,104,884,988,114,963,"1,077",-,446,446,-,448,448,-,441,441,392,534,926,384,607,991,252,751,"1,003",209,777,986,160,813,973,184,802,986,"1,904","8,358","10,262"
혈액종양내과,221,586,807,310,630,940,264,843,"1,107",364,729,"1,093",117,645,762,199,737,936,268,658,926,150,591,741,138,603,741,209,669,878,157,577,734,170,715,885,"2,567","7,983","10,550"
소아청소년과,113,3,116,90,7,97,174,13,187,190,8,198,125,9,134,230,16,246,220,19,239,198,17,215,24,13,37,171,20,191,58,14,72,364,657,"1,021","1,957",796,"2,753"
신 경 과,253,"2,206","2,459",292,"2,151","2,443",367,"2,609","2,976",324,"2,359","2,683",305,"2,381","2,686",328,"2,359","2,687",313,"2,415","2,728",412,"2,382","2,794",272,"2,240","2,512",309,"2,614","2,923",335,"2,151","2,486",268,"2,613","2,881","3,778","28,480","32,258"
