구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,계
초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계
일반내과,1,,1,,,,2,,2,1,,1,1,,1,,,,,,,1,,1,,,,,,,,,,,,,6,,6
순환기내과,744,"6,612","7,356",583,"6,534","7,117",978,"8,056","9,034","1,044","7,299","8,343",777,"6,297","7,074",958,"7,520","8,478",860,"7,620","8,480",820,"7,203","8,023",697,"6,532","7,229",961,"6,881","7,842",843,"7,396","8,239",772,"7,215","7,987","10,037","85,165","95,202"
호흡기내과,387,"2,277","2,664",343,"1,998","2,341",368,"2,165","2,533",349,"2,269","2,618",330,"1,850","2,180",457,"2,379","2,836",475,"1,973","2,448",521,"2,241","2,762",458,"2,026","2,484",320,"1,952","2,272",342,"2,111","2,453",439,"1,787","2,226","4,789","25,028","29,817"
내분비내과,365,"4,432","4,797",283,"3,604","3,887",367,"4,293","4,660",343,"4,327","4,670",323,"3,850","4,173",446,"4,777","5,223",335,"4,500","4,835",306,"3,512","3,818",244,"2,803","3,047",287,"3,078","3,365",366,"3,972","4,338",345,"3,651","3,996","4,010","46,799","50,809"
감염내과,597,316,913,280,66,346,531,197,728,443,80,523,358,86,444,886,117,"1,003",637,106,743,672,110,782,"1,178",147,"1,325","3,289",324,"3,613","1,895",204,"2,099","1,570",547,"2,117","12,336","2,300","14,636"
소화기내과,891,"3,463","4,354",883,"3,199","4,082","1,083","3,599","4,682","1,112","3,244","4,356",938,"3,058","3,996","1,534","3,993","5,527","1,135","3,310","4,445","1,143","3,833","4,976",854,"3,181","4,035","1,012","3,252","4,264",970,"3,501","4,471","1,320","3,777","5,097","12,875","41,410","54,285"
혈액종양내과,127,"1,387","1,514",254,"1,285","1,539",431,"1,637","2,068",619,"1,666","2,285",416,"1,486","1,902",414,"1,623","2,037",442,"1,509","1,951",372,"1,645","2,017",379,"1,415","1,794",402,"1,529","1,931",331,"1,489","1,820",372,"1,480","1,852","4,559","18,151","22,710"
신장내과,285,"2,339","2,624",294,"2,048","2,342",455,"2,435","2,890",499,"2,301","2,800",356,"2,333","2,689",504,"2,383","2,887",475,"2,433","2,908",383,"2,213","2,596",345,"2,192","2,537",360,"2,265","2,625",472,"2,186","2,658",357,"2,224","2,581","4,785","27,352","32,137"
류마티스내과,63,878,941,93,837,930,225,"1,100","1,325",207,981,"1,188",163,917,"1,080",284,"1,018","1,302",155,949,"1,104",86,"1,032","1,118",52,836,888,34,744,778,107,938,"1,045",142,962,"1,104","1,611","11,192","12,803"
소아청소년과,39,3,42,64,12,76,174,17,191,179,15,194,69,30,99,314,45,359,184,40,224,77,62,139,364,50,414,957,102,"1,059",414,86,500,84,57,141,"2,919",519,"3,438"
