구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,계
초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계
일반내과,432,801,"1,233","1,890",698,"2,588","1,029",965,"1,994",272,785,"1,057",300,665,965,209,517,726,158,231,389,491,731,"1,222","1,084",796,"1,880",563,"1,539","2,102",335,817,"1,152",321,745,"1,066","7,084","9,290","16,374"
순환기내과,340,"2,131","2,471",433,"2,014","2,447",566,"2,163","2,729",493,"2,334","2,827",489,"2,588","3,077",486,"2,338","2,824",388,"2,550","2,938",477,"2,659","3,136",430,"2,600","3,030",492,"2,302","2,794",499,"2,550","3,049",449,"2,474","2,923","5,542","28,703","34,245"
호흡기내과,248,778,"1,026",396,719,"1,115",530,832,"1,362",423,976,"1,399",327,977,"1,304",227,868,"1,095",280,"1,028","1,308",263,"1,007","1,270",198,968,"1,166",188,839,"1,027",264,937,"1,201",303,"1,096","1,399","3,647","11,025","14,672"
내분비내과,154,"1,818","1,972",178,"1,688","1,866",124,"1,907","2,031",106,"1,553","1,659",129,"1,796","1,925",152,"1,574","1,726",149,"1,775","1,924",181,"1,975","2,156",144,"1,819","1,963",120,"1,579","1,699",129,"1,855","1,984",140,"1,795","1,935","1,706","21,134","22,840"
소화기내과,636,"2,909","3,545",555,"2,542","3,097",630,"2,837","3,467",637,"3,030","3,667",648,"3,018","3,666",678,"2,803","3,481",615,"2,911","3,526",678,"3,202","3,880",608,"2,852","3,460",629,"2,673","3,302",663,"2,969","3,632",530,"2,676","3,206","7,507","34,422","41,929"
혈액종양내과,50,141,191,41,147,188,57,118,175,72,151,223,66,167,233,55,159,214,62,140,202,48,150,198,57,147,204,57,125,182,61,149,210,48,165,213,674,"1,759","2,433"
신장내과,103,"1,715","1,818",113,"1,567","1,680",97,"1,703","1,800",105,"1,682","1,787",98,"1,616","1,714",102,"1,587","1,689",124,"1,631","1,755",135,"1,682","1,817",118,"1,623","1,741",113,"1,603","1,716",130,"1,594","1,724",90,"1,601","1,691","1,328","19,604","20,932"
류마티스내과,81,297,378,57,262,319,83,330,413,64,300,364,97,309,406,72,303,375,93,318,411,86,319,405,82,330,412,55,300,355,65,303,368,67,297,364,902,"3,668","4,570"
소아청소년과,"5,475",115,"5,590","5,595",216,"5,811","4,767",246,"5,013","1,521",133,"1,654",990,142,"1,132",734,85,819,"1,220",127,"1,347","1,474",156,"1,630","1,019",161,"1,180","1,933",208,"2,141","1,151",210,"1,361","1,021",313,"1,334","26,900","2,112","29,012"
신경과,392,"1,291","1,683",333,"1,134","1,467",370,"1,327","1,697",348,"1,204","1,552",386,"1,255","1,641",332,"1,236","1,568",451,"1,241","1,692",461,"1,313","1,774",440,"1,279","1,719",349,"1,155","1,504",408,"1,077","1,485",366,"1,176","1,542","4,636","14,688","19,324"
정신건강의학과,110,"1,429","1,539",100,"1,250","1,350",113,"1,472","1,585",127,"1,402","1,529",105,"1,450","1,555",114,"1,396","1,510",84,"1,346","1,430",98,"1,594","1,692",79,"1,392","1,471",104,"1,400","1,504",95,"1,418","1,513",99,"1,417","1,516","1,228","16,966","18,194"
피부과,877,"1,479","2,356",878,"1,355","2,233",956,"1,394","2,350",916,"1,428","2,344",987,"1,468","2,455","1,014","1,398","2,412","1,126","1,484","2,610","1,149","1,602","2,751",947,"1,457","2,404",924,"1,401","2,325",958,"1,416","2,374",865,"1,283","2,148","11,597","17,165","28,762"
재활의학과,101,"1,728","1,829",92,"1,848","1,940",116,"2,242","2,358",107,"2,540","2,647",99,"2,715","2,814",146,"2,502","2,648",151,"2,644","2,795",159,"2,807","2,966",127,"2,665","2,792",118,"2,858","2,976",123,"2,999","3,122",112,"3,107","3,219","1,451","30,655","32,106"
가정의학과,569,"2,212","2,781",844,"2,930","3,774",992,"3,150","4,142",478,"1,930","2,408",332,"1,262","1,594",283,"1,146","1,429",357,"1,063","1,420",361,"1,219","1,580",354,"1,114","1,468","3,043","1,373","4,416","1,456","1,215","2,671",617,"1,195","1,812","9,686","19,809","29,495"
