구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,계
초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계
내과,73,449,522,46,367,413,66,420,486,67,506,573,72,571,643,66,525,591,57,475,532,68,625,693,70,555,625,68,574,642,70,555,625,63,552,615,786,"6,174","6,960"
소화기내과,437,"2,554","2,991",424,"2,556","2,980",593,"2,716","3,309",523,"2,468","2,991",476,"2,637","3,113",576,"2,681","3,257",490,"2,618","3,108",570,"2,851","3,421",470,"2,634","3,104",504,"2,696","3,200",558,"2,739","3,297",467,"2,852","3,319","6,088","32,002","38,090"
심장내과,233,"1,540","1,773",260,"1,628","1,888",264,"1,680","1,944",179,"1,068","1,247",189,"1,242","1,431",288,"1,201","1,489",322,"1,061","1,383",236,"1,046","1,282",255,"1,030","1,285",310,"1,106","1,416",365,"1,089","1,454",295,"1,112","1,407","3,196","14,803","17,999"
호흡기내과,318,897,"1,215",330,908,"1,238",338,949,"1,287",354,944,"1,298",360,959,"1,319",321,947,"1,268",310,834,"1,144",399,979,"1,378",351,830,"1,181",446,983,"1,429",385,994,"1,379",405,991,"1,396","4,317","11,215","15,532"
내분비내과,127,513,640,180,598,778,153,664,817,122,613,735,63,561,624,146,651,797,144,579,723,181,674,855,154,638,792,93,690,783,141,641,782,120,704,824,"1,624","7,526","9,150"
류마티스내과,125,508,633,118,503,621,85,523,608,177,538,715,169,544,713,172,599,771,103,537,640,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,949,"3,752","4,701"
신장내과,158,846,"1,004",165,893,"1,058",167,980,"1,147",171,898,"1,069",139,952,"1,091",152,977,"1,129",147,952,"1,099",173,"1,014","1,187",147,"1,002","1,149",209,990,"1,199",153,"1,032","1,185",137,957,"1,094","1,918","11,493","13,411"
혈액종양내과,124,602,726,149,598,747,141,658,799,155,595,750,200,606,806,171,631,802,127,574,701,200,697,897,182,618,800,134,644,778,158,600,758,150,626,776,"1,891","7,449","9,340"
소아청소년과,7,1,8,11,-,11,11,1,12,11,2,13,8,4,12,5,1,6,24,1,25,16,6,22,9,5,14,12,-,12,6,-,6,9,-,9,129,21,150
신경과,305,"2,220","2,525",333,"2,404","2,737",376,"2,574","2,950",305,"2,387","2,692",324,"2,359","2,683",316,"2,524","2,840",301,"2,246","2,547",330,"2,467","2,797",291,"2,165","2,456",332,"2,421","2,753",353,"2,354","2,707",311,"2,426","2,737","3,877","28,547","32,424"
정신건강의학과,114,620,734,144,637,781,99,652,751,105,620,725,111,637,748,81,582,663,73,585,658,96,566,662,92,603,695,17,159,176,142,569,711,125,456,581,"1,199","6,686","7,885"
