구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,합계,"일평균
환자"
내 과,"3,546","3,617","2,388","2,225","2,195","2,143","2,294","2,251","2,023","2,096","2,130","2,264","29,172",79.9
소화기내과,-,-,680,828,"1,019",882,976,"1,018",803,"1,148","1,261","1,266","9,881",27.1
순환기내과,-,-,93,114,204,172,156,154,159,189,207,277,"1,725",4.7
호흡기내과,-,-,533,460,515,635,588,622,417,597,598,748,"5,713",15.7
소아청소년과,-,-,-,-,2,-,-,3,-,-,-,-,5,0.0
신 경 과,"1,219","1,080",965,788,970,"1,039",951,769,671,904,965,"1,124","11,445",31.4
정신건강의학과,-,-,-,-,-,-,-,-,-,-,-,-,0,0.0
외 과,556,396,428,410,419,394,513,552,485,467,509,497,"5,626",15.4
정형외과,"3,007","2,157","1,990","2,107","2,612","2,664","2,284","2,189","2,204","2,076","2,073","2,497","27,860",76.3
신경외과,-,-,283,425,429,510,627,622,625,755,724,738,"5,738",15.7
산부인과,-,-,-,-,-,-,1,-,-,-,-,-,1,0.0
안 과,15,13,26,25,18,16,15,11,16,13,9,10,187,0.5
이비인후과,41,28,98,35,19,14,36,36,89,26,6,5,433,1.2
피 부 과,-,-,-,-,-,-,-,-,-,-,-,-,0,0.0
비뇨기과,63,32,43,36,31,69,99,109,20,48,15,44,609,1.7
치 과,-,-,-,-,-,1,-,-,-,-,-,-,1,0.0
재활의학과,396,308,330,223,340,315,289,331,187,335,343,434,"3,831",10.5
통증크리닉,-,-,-,-,-,-,-,-,-,-,-,-,0,0.0
가정의학과,"1,162","1,009","1,129","1,080","1,038","1,061",988,951,759,774,719,743,"11,413",31.3
한방진료과,10,18,1,3,-,14,-,20,1,23,27,8,125,0.3
응 급 실,-,-,-,-,1,-,-,-,-,-,-,-,1,0.0
합 계,"10,015","8,658","8,987","8,759","9,812","9,929","9,817","9,638","8,459","9,451","9,586","10,655","113,766",311.7
신 생 아,,,,,,,,,,,,,,
