구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,합계
IM,"6,211","5,322","6,146","5,080","5,188","4,683","4,642","4,988","4,802","5,150","5,131","4,839","62,182"
NE,824,841,743,926,900,943,837,857,756,993,"1,009","1,223","10,852"
PED,908,839,856,978,798,555,619,769,729,685,686,"1,020","9,442"
NP,,,,,,,,,,,,,
GS,"1,511","1,219","1,542","1,544","1,538","1,539","1,612","1,803","1,779","1,857","1,708","1,651","19,303"
CS,121,50,158,203,192,152,,,,,,,876
OS,"2,469","2,158","2,344","1,779","2,171","1,971","1,985","2,136","1,882","1,934","2,474","2,582","25,885"
NS,935,631,876,982,936,984,986,950,865,955,980,"1,042","11,122"
OG,,,,22,,,,,,3,8,1,34
OPH,27,15,19,18,39,20,26,42,23,27,18,19,293
DM,,,,,,,,,,,,,
ENT,,14,8,9,13,12,,,,,,,56
URO,320,320,328,300,190,249,154,280,219,272,324,276,"3,232"
DT,,,,,,,,,,,,,
RM,"2,384","2,005","2,075","1,993","2,173","1,976","2,024","2,296","2,167","2,069","2,050","2,395","25,607"
FM,"1,314","1,226","1,349","1,345","1,452","1,562","1,592","1,934","1,755","1,536","1,295","1,452","17,812"
ER,10,2,2,,,,2,,,2,1,,19
NM,,,,,,,,,,,,,
합 계,"17,034","14,642","16,446","15,179","15,590","14,646","14,479","16,055","14,977","15,483","15,684","16,500","186,715"
NB,,,,,,,,,,,,,
