구 분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,합계,"일평균
 				 환자"
일 반 내 과,,,,,,,,,,,,,0,0.0
순 환 기 내 과,599,658,752,662,597,633,527,694,604,525,594,562,"7,407",20.3
호 흡 기 내 과,681,725,851,644,858,792,488,538,559,376,375,554,"7,441",20.4
내 분 비 내 과,603,498,526,426,406,369,539,490,398,300,549,614,"5,718",15.7
소 화 기 내 과,"2,890","2,628","2,567","2,923","3,007","2,628","2,631","3,069","2,799","2,826","2,938","2,840","33,746",92.5
신 장 내 과,554,402,458,470,554,508,410,410,429,440,376,272,"5,283",14.5
소아청소년과,,,,,,,,,,,,,0,0.0
신 경 과,574,435,580,443,655,626,507,546,602,613,599,632,"6,812",18.7
정신건강의학과,,,,,,,,,,,,,0,0.0
외 과,491,273,470,365,217,351,424,416,337,362,434,490,"4,630",12.7
정 형 외 과,"3,808","3,078","3,574","3,378","3,420","3,363","3,510","3,588","3,335","3,409","3,507","4,450","42,420",116.2
신 경 외 과,"2,449","1,939","2,420","2,520","2,791","2,726","2,887","2,777","2,695","2,950","2,960","3,183","32,297",88.5
산 부 인 과,,,,,,,,,,,,,0,0.0
안 과,45,27,51,45,33,32,27,22,23,31,34,36,406,1.1
이 비 인 후 과,78,78,83,62,44,62,44,68,46,108,62,80,815,2.2
피 부 과,,,,,,,,,,,,,0,0.0
비 뇨 기 과,348,241,347,308,222,287,307,236,201,258,265,325,"3,345",9.2
치 과,,,,,,,,,,,,,0,0.0
재 활 의 학 과,538,498,614,632,697,549,410,343,340,451,649,837,"6,558",18.0
가 정 의 학 과,714,819,815,651,737,671,710,774,675,704,681,721,"8,672",23.8
합 계,"14,372","12,299","14,108","13,529","14,238","13,597","13,421","13,971","13,043","13,353","14,023","15,596","165,550",453.6
신 생 아,,,,,,,,,,,,,0,0.0
