구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,합계,"일평균
 					환자"
내과,"5,924","5,662","6,082","5,566","6,006","5,875","6,064","6,264","5,689","5,601","5,642","6,067","70,442",192.5
신경과,265,251,284,276,225,280,224,285,245,186,214,211,"2,946",8.0
정신건강의학과,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0
외과,525,487,622,405,442,459,514,446,320,466,525,670,"5,881",16.1
흉부외과,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0
정형외과,"2,140","1,704","2,114","2,084","1,851","1,901","1,784","2,070","1,717","1,920","1,959","2,205","23,449",64.1
신경외과,"1,976","1,661","1,686","1,649","1,776","1,893","2,028","2,004","1,920","1,801","1,652","1,749","21,795",59.5
산부인과,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0
소아청소년과,83,38,39,40,30,16,22,12,10,43,26,37,396,1.1
안과,30,24,27,34,27,33,21,22,23,42,42,32,357,1.0
이비인후과,38,22,38,58,12,15,21,34,12,18,10,5,283,0.8
피부과,9,15,15,3,15,20,18,4,-,-,7,5,111,0.3
비뇨기과,454,337,464,342,300,335,417,322,345,448,527,432,"4,723",12.9
재활의학과,"2,108","1,885","2,081","2,000","2,070","2,117","2,097","2,127","2,056","2,180","2,104","2,245","25,070",68.5
가정의학과,632,564,637,635,661,650,662,654,602,642,612,612,"7,563",20.7
치과,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0
응급의학과,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0
핵의학과,-,-,-,-,-,-,1,-,-,-,-,-,1,0.0
합계,"14,184","12,650","14,089","13,092","13,415","13,594","13,873","14,244","12,939","13,347","13,320","14,270","163,017",445.4
신생아,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0
