구 분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,합계,일평균 환자
내과,"1,457","1,162","1,398","1,338","1,692","2,078","2,094","2,206","2,062","1,826","1,579","2,076","20,968",57.4
소화기내과,"2,184","1,878","2,102","1,973","2,382","2,423","2,288","2,020","1,799","1,697","1,934","1,929","24,609",67.4
심장내과,360,374,347,264,400,430,266,379,311,349,334,430,"4,244",11.6
호흡기내과,534,604,644,621,564,529,122,0,0,0,0,0,"3,618",9.9
소아청소년과,0,0,0,0,0,0,0,0,0,0,0,0,0,0
신 경 과,"1,030",921,875,932,"1,023",975,981,970,748,581,639,721,"10,396",28.5
정신건강의학과,0,0,0,0,0,0,0,0,0,0,0,0,0,0
피부과,0,0,0,0,0,0,0,0,0,0,0,0,0,0
재활의학과,670,626,617,535,787,795,555,555,410,285,687,809,"7,331",20.1
가정의학과,631,404,464,398,491,553,527,525,482,391,409,504,"5,779",15.8
외과,277,245,249,234,275,294,272,340,411,393,392,403,"3,785",10.4
정형외과,"3,112","2,921","2,771","2,541","2,596","2,324","2,632","2,871","2,648","2,776","2,956","3,063","33,211",91.0
신경외과,887,782,713,665,709,717,710,560,504,716,788,"1,012","8,763",24.0
산부인과,0,0,0,2,0,0,0,0,0,0,0,0,2,0.0
안과,18,15,17,22,19,9,17,10,13,12,17,14,183,0.5
이비인후과,21,65,56,68,31,45,54,31,47,10,57,12,497,1.4
비뇨기과,22,33,36,27,25,40,37,65,48,28,42,20,423,1.2
치과,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0
마취통증의학과,0,0,0,0,0,0,0,0,0,0,0,0,0,0
한방진료과,0,26,2,0,0,45,3,3,0,14,11,10,114,0.3
응급의학과,0,0,0,0,0,0,0,0,0,0,0,0,0,0
합 계,"11,203","10,056","10,291","9,620","10,994","11,257","10,558","10,535","9,483","9,078","9,846","11,003","123,924",339.5
신 생 아,,,,,,,,,,,,,0,0
