구분,국비,사비,계,일평균환자
일반,건강보험,의료급여,산재,자보,계
내과,"60,647",5,"13,959","2,366",-,-,"16,330","76,977",210.9
신경과,"1,681",-,355,21,-,-,376,"2,057",5.6
정신건강의학과,-,-,-,-,-,-,-,-,-
외과,"1,253",-,888,40,-,49,977,"2,230",6.1
흉부외과,-,-,-,-,-,-,-,-,-
정형외과,"13,465",52,"8,240","1,583",-,378,"10,253","23,718",65.0
신경외과,"13,437",-,"4,906",859,337,73,"6,175","19,612",53.7
마취통증의학과,-,-,-,-,-,-,-,-,-
산부인과,-,-,3,-,-,-,3,3,0.0
소아청소년과,-,-,66,7,-,-,73,73,0.2
안과,488,4,211,17,-,-,232,720,2.0
이비인후과,46,-,62,4,-,-,66,112,0.3
피부과,65,-,30,-,-,-,30,95,0.3
비뇨의학과,"2,775",21,"1,772",88,66,-,"1,947","4,722",12.9
재활의학과,"11,217",-,"1,639",368,-,41,"2,048","13,265",36.3
가정의학과,"2,293",-,"3,875",454,-,-,"4,329","6,622",18.1
치과,-,-,-,-,-,-,-,-,-
응급의학과,-,-,-,-,-,-,-,-,-
핵의학과,-,-,-,-,-,-,-,-,-
합계,"107,367",82,"36,006","5,807",403,541,"42,839","150,206",411.5
