구분,국비,사비,계,일평균환자
일반,건강보험,의료급여,산재,자보,계
내과,"63,790",-,"14,473","2,330",-,112,"16,915","80,705",221.1
신경과,"1,466",-,380,-,-,-,380,"1,846",5.1
정신건강의학과,-,-,-,-,-,-,-,-,-
외과,916,2,755,38,10,8,813,"1,729",4.7
흉부외과,-,-,-,-,-,-,-,-,-
정형외과,"11,768",20,"9,351","1,736",30,167,"11,304","23,072",63.2
신경외과,"19,735",-,"5,505",795,320,103,"6,723","26,458",72.5
마취통증의학과,-,-,-,-,-,-,-,-,-
산부인과,-,-,-,-,-,-,-,-,-
소아청소년과,-,-,42,-,-,-,42,42,0.1
안과,653,1,278,16,-,-,295,948,2.6
이비인후과,58,-,55,-,-,-,55,113,0.3
피부과,76,-,50,13,-,-,63,139,0.4
비뇨의학과,"2,749",10,"1,182",85,31,13,"1,321","4,070",11.2
재활의학과,"1,329",-,168,75,-,-,243,"1,572",4.3
가정의학과,"2,440",-,"3,599",252,-,-,"3,851","6,291",17.2
치과,-,-,-,-,-,-,-,-,-
응급의학과,-,-,-,-,-,-,-,-,-
핵의학과,-,-,-,-,-,-,-,-,-
합계,"104,980",33,"35,838","5,340",391,403,"42,005","146,985",402.7
