구분,국비,사비,계,일평균환자
일반,건강보험,의료급여,산재,자보,계
내과,"4,918",-,"3,537",475,-,-,"4,012","8,930",24.5
소화기내과,"11,212",-,"3,646",255,-,-,"3,901","15,113",41.4
심장내과,"1,167",-,556,10,-,-,566,"1,733",4.7
호흡기내과,"4,551",-,"4,302",452,-,-,"4,754","9,305",25.5
류마티스내과,"1,865",-,760,58,-,-,818,"2,683",7.4
신장내과,"4,909",-,"1,184",147,-,-,"1,331","6,240",17.1
소아청소년과,-,-,7,6,-,-,13,13,0.0
신 경 과,"7,813",1,"2,324",473,-,-,"2,798","10,611",29.1
정신건강의학과,-,-,-,-,-,-,-,-,-
피부과,-,-,-,-,-,-,-,-,-
재활의학과,"9,347",-,705,-,-,14,719,"10,066",27.6
가정의학과,"4,717",-,"1,230",106,-,-,"1,336","6,053",16.6
외과,"3,607",6,"1,636",218,1,-,"1,861","5,468",15.0
정형외과,"20,188",21,"12,940","1,542",7,63,"14,573","34,761",95.2
신경외과,"7,042",7,"1,659",188,37,66,"1,957","8,999",24.7
산부인과,-,-,-,-,-,-,-,-,-
안과,108,-,55,-,-,-,55,163,0.4
이비인후과,738,-,286,14,-,-,300,"1,038",2.8
비뇨기과,176,-,146,6,-,-,152,328,0.9
치과,-,-,-,-,-,-,-,-,-
마취통증의학과,-,-,-,-,-,-,-,-,-
한방진료과,39,-,-,-,-,-,-,39,0.1
응급의학과,-,-,-,-,-,-,-,-,-
합 계,"82,397",35,"34,973","3,950",45,143,"39,146","121,543",333.0
