구분,국비,사비,계,일평균환자
일반,건강보험,의료급여,산재,자보,계
내과,"1,473",-,"2,639",405,-,-,"3,044","4,517",12.3
소화기내과,"1,562",-,"1,383",145,-,-,"1,528","3,090",8.4
내분비내과,-,-,-,-,-,-,-,-,-
호흡기내과,-,-,-,-,-,-,-,-,-
순환기내과,-,-,-,-,-,-,-,-,-
신경과,98,-,82,22,-,-,104,202,0.6
외과,116,2,428,-,-,-,430,546,1.5
정형외과,"1,819",-,"4,740",259,-,142,"5,141","6,960",19.0
신경외과,"1,069",-,962,361,-,13,"1,336","2,405",6.6
마취통증의학과,-,-,-,-,-,-,-,-,-
안과,98,2,228,3,-,-,233,331,0.9
이비인후과,512,-,670,72,-,-,742,"1,254",3.4
피부과,-,-,-,-,-,-,-,-,-
비뇨의학과,"3,346",-,"2,534",552,-,40,"3,126","6,472",17.7
재활의학과,89,-,68,-,-,-,68,157,0.4
치과,170,-,2,-,-,-,2,172,0.5
가정의학과,781,-,698,251,-,-,949,"1,730",4.7
계,"11,133",4,"14,434","2,070",-,195,"16,703","27,836",76.1
