"수가코드","수가명","표준코드"
"0MHDBG5L","(self)보령헤모시스지액_(5L)(보령제약)","641902200"
"4011300073","요로내압측정용 카테터(1)2-Lumen catheter cys.& upp 6f /하이메드","M0005010"
"4012200030","NAVICATH STEERABLE CATHETER /제인메드(AD)","BJ4801ZO"
"640006770","(Self)사일레노정6밀리그램(독세핀염산염)","640006770"
"640006980","(Self)루키오정10밀리그램(몬테루카스트나트륨)","640006980"
"641801640","(Self)베니톨정(미세정제플라보노이드분획물)","641801640"
"642100270","(Self)레코미드정(레바미피드)","642100270"
"642800960","(Self)알러텍정(염산세티리진)(수출명:질러탈정(염산세티리진)(ZilertalTablet))","642800960"
"643300110","(Self)낙센에프정(나프록센)","643300110"
"643505460","(Self)갈라닐피알서방캡슐16밀리그램(갈란타민브롬화수소산염)","643505460"
"644003260","(Self)가스잘정(모사프리드시트르산염이수화물)","644003260"
"645600830","(Self)렉시핀정(독소필린)","645600830"
"646801061","(Self)엘카틴산(염산아세틸엘카르니틴)","646801061"
"648101390","(Self)아젤라정(아젤라스틴염산염)","648101390"
"651903940","(Self)리스펜오디정1밀리그램(리스페리돈)","651903940"
"665002110","(Self)케이비스디정","665002110"
"668000120","(Self)브린텔릭스정20밀리그램(보티옥세틴브롬화수소산염)","668000120"
"671802250","(Self)엘스테인캡슐(에르도스테인)","671802250"
"678900721","중외엔에스주사액(염화나트륨) 급여제이더블유생명과학(주)","678900721"
"AV7000","응급환자 중증도분류 및 선별료","V7000"
"DAFLOX3","한올아푸록산정300mg(한올바이오파마)","655602820"
"DAZITH","(self)아지탑스정 (일동제약)","642902820"
"DEMPA10","(self)자디앙정10mg(베링거인겔하임)","653501460"
"DEMPA25","(self)자디앙정25mg(베링거인겔하임)","653501470"
"DJ5060","외래내복조제료6일분","J5060"
"DJ5070","외래내복조제료7일분","J5070"
"DJ5080","외래내복조제료8일분","J5080"
"DJ5090","외래내복조제료9일분","J5090"
"DJ5100","외래내복조제료10일분","J5100"
"DKETOSTE","(self)케토스테릴정(프레지니우스카비)","650901060"
"DNALTR50","(self)트락손정_(50mg/1정)(명인제약)","651902170"
"DNESINA15","(self)네시나액트정(25/15mg)(다케다제약)","696300310"
"DNESINA30","(self)네시나액트정25/30mg(다케다제약)","696300320"
"LB4142","일반배양-배양동정및약제감수성(항균제최소억제농도)","D5854002"
"LD0531026","PNH 검사-[화학반응-장비측정]_슈크로즈용혈검사","D053102B"
"LD0541016","용혈성빈혈검사-[화학반응-장비측정]_24시간적혈구삼투압취약성검사","D054101B"
