"연령대","순위","상병코드","상병명","건수"
"59세 이하","1","E30","달리 분류되지 않은 사춘기의 장애","12928"
"59세 이하","2","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","2211"
"59세 이하","3","J00","급성 코인두염 [감기]","1990"
"59세 이하","4","E34","기타 내분비장애","1920"
"59세 이하","5","Z00","호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사","1739"
"59세 이하","6","I10","본태성(원발성) 고혈압","1607"
"59세 이하","7","E11","인슐린-비의존 당뇨병","1491"
"59세 이하","8","Z49","투석을 포함한 치료를 위하여 보건서비스와 접하고 있는 사람","1187"
"59세 이하","9","J20","급성 기관지염","1021"
"59세 이하","10","M48","기타 척추병증","930"
"59세 이하","11","K05","치은염(잇몸염)및 치주 질환","888"
"59세 이하","12","K21","위-식도역류병","795"
"59세 이하","13","I20","협심증","748"
"59세 이하","14","G56","팔의 단일신경병증","685"
"59세 이하","15","M75","어깨병변","672"
"59세 이하","16","J30","혈관운동성 및 앨러지성 비염","656"
"59세 이하","17","G43","편두통","586"
"59세 이하","18","F32","우울증 에피소드","576"
"59세 이하","19","F41","기타 불안장애","573"
"59세 이하","20","M51","기타 추간판장애","561"
"60대","1","I10","본태성(원발성) 고혈압","3093"
"60대","2","E11","인슐린-비의존 당뇨병","2757"
"60대","3","N40","전립선증식증","2071"
"60대","4","M17","윤충증","1903"
"60대","5","I20","협심증","1862"
"60대","6","M48","기타 척추병증","1833"
"60대","7","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","1667"
"60대","8","K05","치은염(잇몸염)및 치주 질환","1353"
"60대","9","Z49","투석을 포함한 치료를 위하여 보건서비스와 접하고 있는 사람","1176"
"60대","10","K21","위-식도역류병","1125"
"60대","11","Z00","호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사","889"
"60대","12","M75","어깨병변","841"
"60대","13","E78","지질단백질대사장애 및 기타 지질증","821"
"60대","14","F32","우울증 에피소드","805"
"60대","15","M79","달리 분류되지 않은 기타 연조직장애","781"
"60대","16","H25","노인성 백내장","778"
"60대","17","I63","뇌경색증","750"
"60대","18","K29","위염 및 십이지장염","739"
"60대","19","M51","기타 추간판장애","704"
"60대","20","M47","척추증","701"
"70대","1","N40","전립선증식증","19596"
"70대","2","M48","기타 척추병증","13921"
"70대","3","E11","인슐린-비의존 당뇨병","13763"
"70대","4","I10","본태성(원발성) 고혈압","12515"
"70대","5","I20","협심증","11886"
"70대","6","H25","노인성 백내장","9708"
"70대","7","K05","치은염(잇몸염)및 치주 질환","8906"
"70대","8","M17","윤충증","8513"
"70대","9","K21","위-식도역류병","5664"
"70대","10","J44","기타 만성 폐쇄성 폐질환","4488"
"70대","11","B35","피부사상균증","3863"
"70대","12","K02","치아우식증","3838"
"70대","13","K04","치수 및 치근단주위조직의 질환","3705"
"70대","14","L23","앨러지성 접촉피부염","3679"
"70대","15","I63","뇌경색증","3664"
"70대","16","J30","혈관운동성 및 앨러지성 비염","3650"
"70대","17","M75","어깨병변","3474"
"70대","18","R41","인지기능 및 자각에 관한 기타 증상 및 징후","2972"
"70대","19","M54","배통","2815"
"70대","20","R53","병감 및 피로","2679"
"80대","1","N40","전립선증식증","3247"
"80대","2","I10","본태성(원발성) 고혈압","2672"
"80대","3","F00","알츠하이머병에서의 치매(G30.-+)","2481"
"80대","4","M48","기타 척추병증","2242"
"80대","5","E11","인슐린-비의존 당뇨병","2230"
"80대","6","I20","협심증","1960"
"80대","7","M17","윤충증","1568"
"80대","8","I63","뇌경색증","1096"
"80대","9","H25","노인성 백내장","1057"
"80대","10","R53","병감 및 피로","1022"
"80대","11","J44","기타 만성 폐쇄성 폐질환","968"
"80대","12","Z49","투석을 포함한 치료를 위하여 보건서비스와 접하고 있는 사람","966"
"80대","13","K21","위-식도역류병","930"
"80대","14","K05","치은염(잇몸염)및 치주 질환","769"
"80대","15","R41","인지기능 및 자각에 관한 기타 증상 및 징후","718"
"80대","16","I48","심방세동 및 조동","693"
"80대","17","C61","전립선의 악성 신생물","676"
"80대","18","F32","우울증 에피소드","641"
"80대","19","N18","만성 콩팥(신장)기능상실","595"
"80대","20","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","583"
"90세 이상","1","N40","전립선증식증","1668"
"90세 이상","2","I10","본태성(원발성) 고혈압","957"
"90세 이상","3","F00","알츠하이머병에서의 치매(G30.-+)","925"
"90세 이상","4","M48","기타 척추병증","563"
"90세 이상","5","J44","기타 만성 폐쇄성 폐질환","493"
"90세 이상","6","E11","인슐린-비의존 당뇨병","472"
"90세 이상","7","N18","만성 콩팥(신장)기능상실","426"
"90세 이상","8","M17","윤충증","397"
"90세 이상","9","I20","협심증","384"
"90세 이상","10","I63","뇌경색증","365"
"90세 이상","11","R53","병감 및 피로","354"
"90세 이상","12","I69","대뇌혈관 질환의 후유증","331"
"90세 이상","13","H25","노인성 백내장","287"
"90세 이상","14","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","283"
"90세 이상","15","C61","전립선의 악성 신생물","274"
"90세 이상","16","I48","심방세동 및 조동","263"
"90세 이상","17","K05","치은염(잇몸염)및 치주 질환","223"
"90세 이상","18","J18","상세불명 병원체의 폐렴","182"
"90세 이상","19","K59","기타 기능적 창자 장애","178"
"90세 이상","20","R41","인지기능 및 자각에 관한 기타 증상 및 징후","177"
