"연령대","순위","상병코드","상병명","건수"
"59세 이하","1","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","3962"
"59세 이하","2","I10","본태성(일차성)고혈압","901"
"59세 이하","3","N18","만성 콩팥(신장)기능상실","873"
"59세 이하","4","E11","인슐린-비의존 당뇨병","803"
"59세 이하","5","M51","기타 추간판장애","759"
"59세 이하","6","K05","치은염(잇몸염)및 치주 질환","518"
"59세 이하","7","N40","전립선증식증","380"
"59세 이하","8","K29","위염 및 십이지장염","377"
"59세 이하","9","K02","치아우식증","357"
"59세 이하","10","K21","위-식도역류병","341"
"59세 이하","11","B18","만성 바이러스간염","328"
"59세 이하","12","Z00","호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사","323"
"59세 이하","13","N39","비뇨기계통의 기타 장애","313"
"59세 이하","14","F32","우울증 에피소드","286"
"59세 이하","15","B35","피부사상균증","263"
"59세 이하","16","M54","배통","251"
"59세 이하","17","E78","지질단백질대사장애 및 기타 지질증","247"
"59세 이하","18","G82","하반신마비 및 사지마비","247"
"59세 이하","19","E03","기타 갑상선기능저하증","245"
"59세 이하","20","J30","혈관운동성 및 앨러지성 비염","241"
"60대","1","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","3673"
"60대","2","I10","본태성(일차성)고혈압","2791"
"60대","3","N40","전립선증식증","2191"
"60대","4","E11","인슐린-비의존 당뇨병","2097"
"60대","5","M81","병적골절이 없는 골다공증","971"
"60대","6","I20","협심증","944"
"60대","7","M48","기타 척추병증","884"
"60대","8","I63","뇌경색증","822"
"60대","9","M51","기타 추간판장애","809"
"60대","10","K05","치은염(잇몸염)및 치주 질환","797"
"60대","11","K21","위-식도역류병","782"
"60대","12","M17","윤충증","737"
"60대","13","K29","위염 및 십이지장염","734"
"60대","14","K08","치아 및 지지구조의 기타 장애","663"
"60대","15","N18","만성 콩팥(신장)기능상실","623"
"60대","16","M75","어깨병변","615"
"60대","17","E78","지질단백질대사장애 및 기타 지질증","610"
"60대","18","M13","추 락","567"
"60대","19","M54","배통","527"
"60대","20","H25","노인성 백내장","520"
"70대","1","N40","전립선증식증","25841"
"70대","2","I10","본태성(일차성)고혈압","12375"
"70대","3","E11","인슐린-비의존 당뇨병","10875"
"70대","4","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","9830"
"70대","5","I20","협심증","9364"
"70대","6","M48","기타 척추병증","8752"
"70대","7","M51","기타 추간판장애","7474"
"70대","8","H25","노인성 백내장","6778"
"70대","9","I63","뇌경색증","6247"
"70대","10","K08","치아 및 지지구조의 기타 장애","5858"
"70대","11","K05","치은염(잇몸염)및 치주 질환","4712"
"70대","12","N18","만성 콩팥(신장)기능상실","4466"
"70대","13","M17","윤충증","4066"
"70대","14","M75","어깨병변","3740"
"70대","15","M13","추 락","3506"
"70대","16","B35","피부사상균증","3427"
"70대","17","C61","전립선의 악성 신생물","3114"
"70대","18","K21","위-식도역류병","2937"
"70대","19","H93","달리 분류되지 않은 귀의 기타 장애","2683"
"70대","20","K04","치수 및 치근단주위조직의 질환","2657"
"80대","1","N40","전립선증식증","4522"
"80대","2","I10","본태성(일차성)고혈압","2895"
"80대","3","I63","뇌경색증","2213"
"80대","4","F00","알츠하이머병에서의 치매(G30.-+)","1975"
"80대","5","E11","인슐린-비의존 당뇨병","1935"
"80대","6","M48","기타 척추병증","1886"
"80대","7","I20","협심증","1542"
"80대","8","C61","전립선의 악성 신생물","1190"
"80대","9","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","1171"
"80대","10","H25","노인성 백내장","1055"
"80대","11","K08","치아 및 지지구조의 기타 장애","940"
"80대","12","M51","기타 추간판장애","768"
"80대","13","M17","윤충증","751"
"80대","14","N18","만성 콩팥(신장)기능상실","667"
"80대","15","K29","위염 및 십이지장염","633"
"80대","16","F32","우울증 에피소드","567"
"80대","17","M13","추 락","564"
"80대","18","R41","인지기능 및 자각에 관한 기타 증상 및 징후","549"
"80대","19","N31","달리 분류되지 않은 방광의 신경근육기능장애","523"
"80대","20","I48","심방세동 및 조동","512"
"90세 이상","1","N40","전립선증식증","2073"
"90세 이상","2","F00","알츠하이머병에서의 치매(G30.-+)","1126"
"90세 이상","3","I10","본태성(일차성)고혈압","880"
"90세 이상","4","I63","뇌경색증","813"
"90세 이상","5","N18","만성 콩팥(신장)기능상실","744"
"90세 이상","6","E11","인슐린-비의존 당뇨병","668"
"90세 이상","7","M48","기타 척추병증","584"
"90세 이상","8","C61","전립선의 악성 신생물","339"
"90세 이상","9","I20","협심증","328"
"90세 이상","10","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","298"
"90세 이상","11","H25","노인성 백내장","291"
"90세 이상","12","J18","상세불명 병원체의 폐렴","262"
"90세 이상","13","F03","상세불명의 치매","251"
"90세 이상","14","K08","치아 및 지지구조의 기타 장애","219"
"90세 이상","15","K29","위염 및 십이지장염","216"
"90세 이상","16","J44","기타 만성 폐쇄성 폐질환","213"
"90세 이상","17","M17","윤충증","210"
"90세 이상","18","M51","기타 추간판장애","187"
"90세 이상","19","C67","방광의 악성 신생물","186"
"90세 이상","20","L29","소양증","184"
