"연령대","순위","상병코드","상병명","건수"
"59세 이하","1","U07","U07의 응급사용","1582"
"59세 이하","2","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","1412"
"59세 이하","3","Z00","호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사","1200"
"59세 이하","4","K05","치은염 및 치주질환","1184"
"59세 이하","5","K29","위염 및 십이지장염","1165"
"59세 이하","6","Z29","기타 예방적 조치의 필요","1056"
"59세 이하","7","M54","등통증","998"
"59세 이하","8","E11","2형 당뇨병","923"
"59세 이하","9","I10","본태성(원발성) 고혈압","832"
"59세 이하","10","N18","만성 신장병","707"
"59세 이하","11","M51","기타 추간판장애","620"
"59세 이하","12","K02","치아우식","437"
"59세 이하","13","K63","장의 기타 질환","416"
"59세 이하","14","M15","다발관절증","402"
"59세 이하","15","M75","어깨병변","365"
"59세 이하","16","J30","혈관운동성 및 앨러지성 비염","351"
"59세 이하","17","G81","편마비","349"
"59세 이하","18","E86","용적고갈","325"
"59세 이하","19","B18","만성 바이러스간염","292"
"59세 이하","20","I69","뇌혈관질환의 후유증","286"
"60대","1","E11","2형 당뇨병","2548"
"60대","2","I10","본태성(원발성) 고혈압","2249"
"60대","3","K05","치은염 및 치주질환","1774"
"60대","4","K29","위염 및 십이지장염","1753"
"60대","5","N40","전립선증식증","1747"
"60대","6","M54","등통증","1210"
"60대","7","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","1184"
"60대","8","M48","기타 척추병증","1137"
"60대","9","E86","용적고갈","1035"
"60대","10","K63","장의 기타 질환","1030"
"60대","11","M75","어깨병변","829"
"60대","12","M17","무릎관절증","779"
"60대","13","I69","뇌혈관질환의 후유증","730"
"60대","14","E78","지질단백질대사장애 및 기타 지질증","707"
"60대","15","M81","병적 골절이 없는 골다공증","658"
"60대","16","K08","치아 및 지지구조의 기타 장애","636"
"60대","17","R51","두통","604"
"60대","18","K02","치아우식","557"
"60대","19","M15","다발관절증","527"
"60대","20","B35","백선증","486"
"70대","1","N40","전립선증식증","19417"
"70대","2","E11","2형 당뇨병","12115"
"70대","3","M48","기타 척추병증","10162"
"70대","4","K05","치은염 및 치주질환","9856"
"70대","5","I10","본태성(원발성) 고혈압","9692"
"70대","6","M54","등통증","8878"
"70대","7","I69","뇌혈관질환의 후유증","6565"
"70대","8","K63","장의 기타 질환","5137"
"70대","9","K29","위염 및 십이지장염","5014"
"70대","10","E86","용적고갈","4621"
"70대","11","M17","무릎관절증","4435"
"70대","12","K08","치아 및 지지구조의 기타 장애","4406"
"70대","13","N18","만성 신장병","4390"
"70대","14","L29","가려움","4261"
"70대","15","J44","기타 만성 폐쇄성 폐질환","3728"
"70대","16","F03","상세불명의 치매","3559"
"70대","17","I20","협심증","3516"
"70대","18","K02","치아우식","3407"
"70대","19","M75","어깨병변","3227"
"70대","20","J30","혈관운동성 및 앨러지성 비염","3128"
"80대","1","N40","전립선증식증","3360"
"80대","2","M48","기타 척추병증","1892"
"80대","3","F03","상세불명의 치매","1812"
"80대","4","I10","본태성(원발성) 고혈압","1751"
"80대","5","E11","2형 당뇨병","1743"
"80대","6","I69","뇌혈관질환의 후유증","1457"
"80대","7","N18","만성 신장병","1414"
"80대","8","M54","등통증","1149"
"80대","9","E86","용적고갈","1101"
"80대","10","M17","무릎관절증","1064"
"80대","11","K05","치은염 및 치주질환","886"
"80대","12","R42","어지럼증 및 어지럼","732"
"80대","13","L29","가려움","700"
"80대","14","K29","위염 및 십이지장염","674"
"80대","15","K08","치아 및 지지구조의 기타 장애","617"
"80대","16","J44","기타 만성 폐쇄성 폐질환","589"
"80대","17","K63","장의 기타 질환","535"
"80대","18","J98","기타 호흡장애","505"
"80대","19","K59","기타 기능성 장장애","483"
"80대","20","R51","두통","481"
"90세 이상","1","N40","전립선증식증","1436"
"90세 이상","2","F03","상세불명의 치매","1010"
"90세 이상","3","I10","본태성(원발성) 고혈압","640"
"90세 이상","4","M48","기타 척추병증","548"
"90세 이상","5","I69","뇌혈관질환의 후유증","495"
"90세 이상","6","N18","만성 신장병","476"
"90세 이상","7","E11","2형 당뇨병","475"
"90세 이상","8","E86","용적고갈","402"
"90세 이상","9","R42","어지럼증 및 어지럼","351"
"90세 이상","10","L29","가려움","245"
"90세 이상","11","J98","기타 호흡장애","242"
"90세 이상","12","J44","기타 만성 폐쇄성 폐질환","234"
"90세 이상","13","K29","위염 및 십이지장염","232"
"90세 이상","14","K08","치아 및 지지구조의 기타 장애","229"
"90세 이상","15","M54","등통증","225"
"90세 이상","16","J18","상세불명 병원체의 폐렴","221"
"90세 이상","17","K59","기타 기능성 장장애","211"
"90세 이상","18","K05","치은염 및 치주질환","207"
"90세 이상","19","M17","무릎관절증","169"
"90세 이상","20","B35","백선증","155"
