"연령대","순위","상병코드","상병명","건수"
"59세 이하","1","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","2536"
"59세 이하","2","Z00","호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사","1916"
"59세 이하","3","U07","U07의 응급사용","1205"
"59세 이하","4","E11","인슐린-비의존 당뇨병","904"
"59세 이하","5","J18","상세불명 병원체의 폐렴","884"
"59세 이하","6","I10","본태성(원발성) 고혈압","742"
"59세 이하","7","N18","만성 콩팥(신장)기능상실","684"
"59세 이하","8","K02","치아우식증","680"
"59세 이하","9","J00","급성 코인두염 [감기]","639"
"59세 이하","10","M17","윤충증","587"
"59세 이하","11","K05","치은염(잇몸염)및 치주 질환","540"
"59세 이하","12","L29","소양증","496"
"59세 이하","13","L30","기타 피부염","480"
"59세 이하","14","K30","소화불량","449"
"59세 이하","15","K29","위염 및 십이지장염","425"
"59세 이하","16","M54","배통","399"
"59세 이하","17","M51","기타 추간판장애","392"
"59세 이하","18","J02","급성 인두염","388"
"59세 이하","19","R52","달리 분류되지 않은 통증","367"
"59세 이하","20","F32","우울증 에피소드","360"
"60대","1","E11","인슐린-비의존 당뇨병","2643"
"60대","2","M17","윤충증","2274"
"60대","3","N40","전립선증식증","2015"
"60대","4","I10","본태성(원발성) 고혈압","1981"
"60대","5","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","1491"
"60대","6","N18","만성 콩팥(신장)기능상실","1362"
"60대","7","K02","치아우식증","1155"
"60대","8","K05","치은염(잇몸염)및 치주 질환","1134"
"60대","9","I20","협심증","1077"
"60대","10","M48","기타 척추병증","978"
"60대","11","M54","배통","879"
"60대","12","M75","어깨병변","866"
"60대","13","L29","소양증","806"
"60대","14","K30","소화불량","787"
"60대","15","K29","위염 및 십이지장염","745"
"60대","16","B35","피부사상균증","726"
"60대","17","H04","눈물기관의 장애","702"
"60대","18","F41","기타 불안장애","693"
"60대","19","K08","치아 및 지지구조의 기타 장애","652"
"60대","20","L30","기타 피부염","640"
"70대","1","N40","전립선증식증","31913"
"70대","2","E11","인슐린-비의존 당뇨병","19060"
"70대","3","I10","본태성(원발성) 고혈압","14968"
"70대","4","M48","기타 척추병증","13809"
"70대","5","I20","협심증","11970"
"70대","6","M17","윤충증","11738"
"70대","7","L29","소양증","9995"
"70대","8","N18","만성 콩팥(신장)기능상실","9909"
"70대","9","K05","치은염(잇몸염)및 치주 질환","9620"
"70대","10","M54","배통","8427"
"70대","11","K02","치아우식증","8018"
"70대","12","H35","기타 망막장애","6268"
"70대","13","L30","기타 피부염","6142"
"70대","14","H25","노인성 백내장","6102"
"70대","15","I63","뇌경색증","5969"
"70대","16","F41","기타 불안장애","5883"
"70대","17","K08","치아 및 지지구조의 기타 장애","5567"
"70대","18","C61","전립선의 악성 신생물","5220"
"70대","19","B35","피부사상균증","5002"
"70대","20","H04","눈물기관의 장애","4973"
"80대","1","N40","전립선증식증","4956"
"80대","2","E11","인슐린-비의존 당뇨병","3019"
"80대","3","I10","본태성(원발성) 고혈압","2523"
"80대","4","M48","기타 척추병증","2004"
"80대","5","N18","만성 콩팥(신장)기능상실","2002"
"80대","6","M17","윤충증","1929"
"80대","7","I20","협심증","1693"
"80대","8","L29","소양증","1300"
"80대","9","I63","뇌경색증","1163"
"80대","10","F41","기타 불안장애","1144"
"80대","11","K05","치은염(잇몸염)및 치주 질환","1090"
"80대","12","M54","배통","981"
"80대","13","C61","전립선의 악성 신생물","920"
"80대","14","L30","기타 피부염","904"
"80대","15","H25","노인성 백내장","891"
"80대","16","K02","치아우식증","858"
"80대","17","H35","기타 망막장애","812"
"80대","18","J00","급성 코인두염 [감기]","779"
"80대","19","H04","눈물기관의 장애","724"
"80대","20","K29","위염 및 십이지장염","648"
"90세 이상","1","N40","전립선증식증","1385"
"90세 이상","2","I10","본태성(원발성) 고혈압","645"
"90세 이상","3","N18","만성 콩팥(신장)기능상실","610"
"90세 이상","4","E11","인슐린-비의존 당뇨병","542"
"90세 이상","5","M48","기타 척추병증","440"
"90세 이상","6","I20","협심증","374"
"90세 이상","7","L29","소양증","337"
"90세 이상","8","I63","뇌경색증","332"
"90세 이상","9","F03","상세불명의 치매","302"
"90세 이상","10","M17","윤충증","280"
"90세 이상","11","C61","전립선의 악성 신생물","256"
"90세 이상","12","F00","알츠하이머병에서의 치매(G30.-+)","237"
"90세 이상","13","F41","기타 불안장애","227"
"90세 이상","14","H35","기타 망막장애","226"
"90세 이상","15","K59","기타 기능적 창자 장애","192"
"90세 이상","16","H04","눈물기관의 장애","186"
"90세 이상","17","H25","노인성 백내장","169"
"90세 이상","18","K08","치아 및 지지구조의 기타 장애","167"
"90세 이상","19","I50","심장기능상실(심부전)","164"
"90세 이상","20","K29","위염 및 십이지장염","161"
