"연령대","순위","상병코드","상병명","건수"
"59세 이하","1","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","1963"
"59세 이하","2","K05","치은염(잇몸염)및 치주 질환","713"
"59세 이하","3","I10","본태성(일차성)고혈압","488"
"59세 이하","4","M19","연기, 불 및 화염에 노출","324"
"59세 이하","5","E11","인슐린-비의존 당뇨병","320"
"59세 이하","6","H04","눈물기관의 장애","262"
"59세 이하","7","Z00","호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사","251"
"59세 이하","8","K04","치수 및 치근단주위조직의 질환","193"
"59세 이하","9","N40","전립선증식증","184"
"59세 이하","10","L24","자극성 접촉피부염","170"
"59세 이하","11","I63","뇌경색증","161"
"59세 이하","12","M51","기타 추간판장애","144"
"59세 이하","13","K29","위염 및 십이지장염","138"
"59세 이하","14","B35","피부사상균증","136"
"59세 이하","15","S06","머리내 손상","127"
"59세 이하","16","K21","위-식도역류병","119"
"59세 이하","17","N31","달리 분류되지 않은 방광의 신경근육기능장애","112"
"59세 이하","18","K02","치아우식증","110"
"59세 이하","19","M54","배통","105"
"59세 이하","20","M48","기타 척추병증","97"
"60대","1","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","1312"
"60대","2","I10","본태성(일차성)고혈압","1233"
"60대","3","K05","치은염(잇몸염)및 치주 질환","974"
"60대","4","N40","전립선증식증","740"
"60대","5","E11","인슐린-비의존 당뇨병","723"
"60대","6","M19","연기, 불 및 화염에 노출","476"
"60대","7","H04","눈물기관의 장애","474"
"60대","8","M48","기타 척추병증","452"
"60대","9","L24","자극성 접촉피부염","237"
"60대","10","M75","어깨병변","211"
"60대","11","K04","치수 및 치근단주위조직의 질환","200"
"60대","12","E78","지질단백질대사장애 및 기타 지질증","187"
"60대","13","M96","달리 분류되지 않은 처치후 근육골격 장애","181"
"60대","14","M54","배통","175"
"60대","15","H25","노인성 백내장","172"
"60대","16","M17","윤충증","171"
"60대","17","K29","위염 및 십이지장염","166"
"60대","18","B35","피부사상균증","165"
"60대","19","K08","치아 및 지지구조의 기타 장애","154"
"60대","20","K21","위-식도역류병","152"
"70대","1","N40","전립선증식증","9989"
"70대","2","K05","치은염(잇몸염)및 치주 질환","5986"
"70대","3","I10","본태성(일차성)고혈압","5772"
"70대","4","M48","기타 척추병증","3741"
"70대","5","E11","인슐린-비의존 당뇨병","3568"
"70대","6","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","3458"
"70대","7","M19","연기, 불 및 화염에 노출","2805"
"70대","8","H04","눈물기관의 장애","2489"
"70대","9","L24","자극성 접촉피부염","1541"
"70대","10","K04","치수 및 치근단주위조직의 질환","1443"
"70대","11","B35","피부사상균증","1417"
"70대","12","I63","뇌경색증","1371"
"70대","13","H25","노인성 백내장","1296"
"70대","14","K08","치아 및 지지구조의 기타 장애","1200"
"70대","15","K21","위-식도역류병","1132"
"70대","16","K29","위염 및 십이지장염","1094"
"70대","17","K02","치아우식증","1090"
"70대","18","M75","어깨병변","1048"
"70대","19","M51","기타 추간판장애","992"
"70대","20","M17","윤충증","971"
"80대","1","N40","전립선증식증","2173"
"80대","2","I10","본태성(일차성)고혈압","1712"
"80대","3","K05","치은염(잇몸염)및 치주 질환","1021"
"80대","4","M48","기타 척추병증","992"
"80대","5","E11","인슐린-비의존 당뇨병","806"
"80대","6","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","602"
"80대","7","M19","연기, 불 및 화염에 노출","554"
"80대","8","H04","눈물기관의 장애","527"
"80대","9","F00","알츠하이머병에서의 치매(G30.-+)","501"
"80대","10","M17","윤충증","375"
"80대","11","I63","뇌경색증","349"
"80대","12","H90","전음성 및 감각신경성 청력소실","308"
"80대","13","L24","자극성 접촉피부염","303"
"80대","14","H25","노인성 백내장","283"
"80대","15","K59","기타 기능적 창자 장애","272"
"80대","16","N31","달리 분류되지 않은 방광의 신경근육기능장애","242"
"80대","17","R42","현기 및 어지러움","225"
"80대","18","K04","치수 및 치근단주위조직의 질환","217"
"80대","19","K21","위-식도역류병","206"
"80대","20","K29","위염 및 십이지장염","203"
"90세 이상","1","N40","전립선증식증","1016"
"90세 이상","2","I10","본태성(일차성)고혈압","700"
"90세 이상","3","M48","기타 척추병증","486"
"90세 이상","4","K05","치은염(잇몸염)및 치주 질환","334"
"90세 이상","5","E11","인슐린-비의존 당뇨병","234"
"90세 이상","6","F00","알츠하이머병에서의 치매(G30.-+)","234"
"90세 이상","7","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","202"
"90세 이상","8","H04","눈물기관의 장애","193"
"90세 이상","9","M19","연기, 불 및 화염에 노출","130"
"90세 이상","10","K59","기타 기능적 창자 장애","99"
"90세 이상","11","I63","뇌경색증","97"
"90세 이상","12","H90","전음성 및 감각신경성 청력소실","93"
"90세 이상","13","C61","전립선의 악성 신생물","85"
"90세 이상","14","M17","윤충증","83"
"90세 이상","15","N31","달리 분류되지 않은 방광의 신경근육기능장애","78"
"90세 이상","16","K29","위염 및 십이지장염","72"
"90세 이상","17","R42","현기 및 어지러움","68"
"90세 이상","18","M47","척추증","64"
"90세 이상","19","I67","기타 대뇌혈관 질환","63"
"90세 이상","20","L24","자극성 접촉피부염","61"
