연령대,순위,상병코드,상병명,건수
59세 이하,1,E30,달리 분류되지 않은 사춘기의 장애,15370
59세 이하,2,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,7993
59세 이하,3,U11,코로나-19에 대한 예방접종의 필요,4490
59세 이하,4,E34,기타 내분비장애,2038
59세 이하,5,J00,급성 코인두염 [감기],1660
59세 이하,6,I10,본태성(원발성) 고혈압,1608
59세 이하,7,E11,인슐린-비의존 당뇨병,1304
59세 이하,8,M48,기타 척추병증,1217
59세 이하,9,Z49,투석을 포함한 치료를 위하여 보건서비스와 접하고 있는 사람,1010
59세 이하,10,R52,달리 분류되지 않은 통증,984
59세 이하,11,K05,치은염(잇몸염)및 치주 질환,877
59세 이하,12,M75,어깨병변,833
59세 이하,13,M51,기타 추간판장애,805
59세 이하,14,I20,협심증,801
59세 이하,15,F32,우울증 에피소드,797
59세 이하,16,E23,뇌하수체의 기능저하증 및 기타 장애,725
59세 이하,17,K21,위-식도역류병,687
59세 이하,18,Z00,호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사,643
59세 이하,19,F41,기타 불안장애,628
59세 이하,20,R51,두통,621
60대,1,I10,본태성(원발성) 고혈압,2774
60대,2,M48,기타 척추병증,2628
60대,3,E11,인슐린-비의존 당뇨병,2366
60대,4,M17,윤충증,2206
60대,5,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,2137
60대,6,N40,전립선증식증,2136
60대,7,U11,코로나-19에 대한 예방접종의 필요,1960
60대,8,I20,협심증,1748
60대,9,K05,치은염(잇몸염)및 치주 질환,1500
60대,10,Z49,투석을 포함한 치료를 위하여 보건서비스와 접하고 있는 사람,1082
60대,11,K21,위-식도역류병,1054
60대,12,M79,달리 분류되지 않은 기타 연조직장애,879
60대,13,I63,뇌경색증,871
60대,14,M75,어깨병변,820
60대,15,E78,지질단백질대사장애 및 기타 지질증,787
60대,16,F32,우울증 에피소드,778
60대,17,K29,위염 및 십이지장염,746
60대,18,H25,노인성 백내장,620
60대,19,R51,두통,616
60대,20,M51,기타 추간판장애,589
70대,1,N40,전립선증식증,18535
70대,2,M48,기타 척추병증,14940
70대,3,E11,인슐린-비의존 당뇨병,12397
70대,4,I10,본태성(원발성) 고혈압,12185
70대,5,I20,협심증,11454
70대,6,M17,윤충증,9448
70대,7,K05,치은염(잇몸염)및 치주 질환,9153
70대,8,H25,노인성 백내장,9116
70대,9,K21,위-식도역류병,5848
70대,10,I63,뇌경색증,4540
70대,11,J44,기타 만성 폐쇄성 폐질환,4238
70대,12,K04,치수 및 치근단주위조직의 질환,3875
70대,13,M75,어깨병변,3850
70대,14,B35,피부사상균증,3667
70대,15,K02,치아우식증,3576
70대,16,R41,인지기능 및 자각에 관한 기타 증상 및 징후,3520
70대,17,R63,음식 및 수액섭취에 관계된 증상 및 징후,3455
70대,18,M51,기타 추간판장애,3036
70대,19,C61,전립선의 악성 신생물,3024
70대,20,D75,혈액 및 조혈기관의 기타 질환,3021
80대,1,N40,전립선증식증,3336
80대,2,M48,기타 척추병증,3002
80대,3,I10,본태성(원발성) 고혈압,2643
80대,4,F00,알츠하이머병에서의 치매(G30.-+),2451
80대,5,E11,인슐린-비의존 당뇨병,2116
80대,6,I20,협심증,1980
80대,7,M17,윤충증,1679
80대,8,I63,뇌경색증,1244
80대,9,K21,위-식도역류병,1187
80대,10,H25,노인성 백내장,1187
80대,11,Z49,투석을 포함한 치료를 위하여 보건서비스와 접하고 있는 사람,1128
80대,12,K05,치은염(잇몸염)및 치주 질환,1109
80대,13,R41,인지기능 및 자각에 관한 기타 증상 및 징후,949
80대,14,J44,기타 만성 폐쇄성 폐질환,908
80대,15,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,874
80대,16,C61,전립선의 악성 신생물,746
80대,17,R63,음식 및 수액섭취에 관계된 증상 및 징후,730
80대,18,N18,만성 콩팥(신장)기능상실,729
80대,19,I48,심방세동 및 조동,721
80대,20,F32,우울증 에피소드,683
90세 이상,1,N40,전립선증식증,1822
90세 이상,2,F00,알츠하이머병에서의 치매(G30.-+),1232
90세 이상,3,I10,본태성(원발성) 고혈압,954
90세 이상,4,M48,기타 척추병증,776
90세 이상,5,I63,뇌경색증,586
90세 이상,6,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,525
90세 이상,7,I20,협심증,514
90세 이상,8,M17,윤충증,511
90세 이상,9,E11,인슐린-비의존 당뇨병,482
90세 이상,10,J44,기타 만성 폐쇄성 폐질환,452
90세 이상,11,N18,만성 콩팥(신장)기능상실,404
90세 이상,12,K05,치은염(잇몸염)및 치주 질환,340
90세 이상,13,C61,전립선의 악성 신생물,318
90세 이상,14,H25,노인성 백내장,295
90세 이상,15,K21,위-식도역류병,288
90세 이상,16,R53,병감 및 피로,270
90세 이상,17,R63,음식 및 수액섭취에 관계된 증상 및 징후,269
90세 이상,18,M51,기타 추간판장애,266
90세 이상,19,R41,인지기능 및 자각에 관한 기타 증상 및 징후,262
90세 이상,20,I48,심방세동 및 조동,252
