연령대,순위,상병코드,상병명,건수
59세 이하,1,U07,U07의 응급사용,11358
59세 이하,2,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,4606
59세 이하,3,Z29,기타 예방적 조치의 필요,3716
59세 이하,4,K29,위염 및 십이지장염,1302
59세 이하,5,K05,치은염(잇몸염)및 치주 질환,1151
59세 이하,6,E11,인슐린-비의존 당뇨병,937
59세 이하,7,Z00,호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사,853
59세 이하,8,I10,본태성(일차성)고혈압,798
59세 이하,9,M54,배통,784
59세 이하,10,M51,기타 추간판장애,587
59세 이하,11,K63,창자의 기타 질환,561
59세 이하,12,N18,만성 콩팥(신장)기능상실,473
59세 이하,13,M75,어깨병변,457
59세 이하,14,M15,진균증,332
59세 이하,15,G81,편마비,297
59세 이하,16,M17,윤충증,296
59세 이하,17,B18,만성 바이러스간염,294
59세 이하,18,R51,두통,285
59세 이하,19,E78,지질단백질대사장애 및 기타 지질증,280
59세 이하,20,K02,치아우식증,259
60대,1,E11,인슐린-비의존 당뇨병,2466
60대,2,I10,본태성(일차성)고혈압,2033
60대,3,U07,U07의 응급사용,1975
60대,4,K05,치은염(잇몸염)및 치주 질환,1836
60대,5,N40,전립선증식증,1586
60대,6,K29,위염 및 십이지장염,1530
60대,7,K63,창자의 기타 질환,1386
60대,8,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,1171
60대,9,M54,배통,1136
60대,10,E86,체액용적고갈,1117
60대,11,M48,기타 척추병증,1022
60대,12,N18,만성 콩팥(신장)기능상실,930
60대,13,M17,윤충증,901
60대,14,M75,어깨병변,796
60대,15,E78,지질단백질대사장애 및 기타 지질증,653
60대,16,I69,대뇌혈관 질환의 후유증,586
60대,17,Z29,기타 예방적 조치의 필요,553
60대,18,M81,병적골절이 없는 골다공증,542
60대,19,R51,두통,504
60대,20,M15,진균증,495
70대,1,N40,전립선증식증,19229
70대,2,E11,인슐린-비의존 당뇨병,13941
70대,3,M48,기타 척추병증,11188
70대,4,I10,본태성(일차성)고혈압,9568
70대,5,K05,치은염(잇몸염)및 치주 질환,9512
70대,6,M54,배통,8928
70대,7,K63,창자의 기타 질환,7089
70대,8,I69,대뇌혈관 질환의 후유증,6140
70대,9,E86,체액용적고갈,5647
70대,10,M17,윤충증,5205
70대,11,K29,위염 및 십이지장염,4964
70대,12,L29,소양증,4283
70대,13,N18,만성 콩팥(신장)기능상실,3908
70대,14,M75,어깨병변,3599
70대,15,J44,기타 만성 폐쇄성 폐질환,3543
70대,16,F03,상세불명의 치매,3352
70대,17,K08,치아 및 지지구조의 기타 장애,3333
70대,18,I20,협심증,3200
70대,19,R42,현기 및 어지러움,3124
70대,20,B35,피부사상균증,2800
80대,1,N40,전립선증식증,3423
80대,2,E11,인슐린-비의존 당뇨병,2019
80대,3,I10,본태성(일차성)고혈압,1945
80대,4,F03,상세불명의 치매,1929
80대,5,M48,기타 척추병증,1807
80대,6,I69,대뇌혈관 질환의 후유증,1518
80대,7,M17,윤충증,1433
80대,8,M54,배통,1418
80대,9,E86,체액용적고갈,1275
80대,10,N18,만성 콩팥(신장)기능상실,1263
80대,11,K05,치은염(잇몸염)및 치주 질환,1100
80대,12,K63,창자의 기타 질환,851
80대,13,K29,위염 및 십이지장염,848
80대,14,R42,현기 및 어지러움,783
80대,15,L29,소양증,777
80대,16,J44,기타 만성 폐쇄성 폐질환,643
80대,17,K08,치아 및 지지구조의 기타 장애,550
80대,18,J98,기타 호흡장애,509
80대,19,U07,U07의 응급사용,494
80대,20,R51,두통,481
90세 이상,1,N40,전립선증식증,1689
90세 이상,2,F03,상세불명의 치매,1095
90세 이상,3,I10,본태성(일차성)고혈압,846
90세 이상,4,E11,인슐린-비의존 당뇨병,818
90세 이상,5,N18,만성 콩팥(신장)기능상실,695
90세 이상,6,M48,기타 척추병증,630
90세 이상,7,I69,대뇌혈관 질환의 후유증,535
90세 이상,8,E86,체액용적고갈,455
90세 이상,9,J44,기타 만성 폐쇄성 폐질환,361
90세 이상,10,M54,배통,342
90세 이상,11,R42,현기 및 어지러움,337
90세 이상,12,K05,치은염(잇몸염)및 치주 질환,264
90세 이상,13,K08,치아 및 지지구조의 기타 장애,254
90세 이상,14,L29,소양증,250
90세 이상,15,J98,기타 호흡장애,242
90세 이상,16,M17,윤충증,239
90세 이상,17,K59,기타 기능적 창자 장애,228
90세 이상,18,K29,위염 및 십이지장염,214
90세 이상,19,B35,피부사상균증,167
90세 이상,20,U07,U07의 응급사용,165
