"연령대","순위","상병코드","상병명","건수"
"59세 이하","1","E30","달리 분류되지 않은 사춘기의 장애","16491"
"59세 이하","2","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","5679"
"59세 이하","3","E34","기타 내분비장애","2132"
"59세 이하","4","R52","달리 분류되지 않은 통증","2023"
"59세 이하","5","J00","급성 코인두염 [감기]","1657"
"59세 이하","6","I10","본태성(원발성) 고혈압","1308"
"59세 이하","7","E11","인슐린-비의존 당뇨병","1127"
"59세 이하","8","Z49","투석을 포함한 치료를 위하여 보건서비스와 접하고 있는 사람","1070"
"59세 이하","9","M51","기타 추간판장애","960"
"59세 이하","10","Z11","감염성 및 기생충성 질환에 대한 특수선별검사","935"
"59세 이하","11","E23","뇌하수체의 기능저하증 및 기타 장애","887"
"59세 이하","12","M48","기타 척추병증","851"
"59세 이하","13","K05","치은염(잇몸염)및 치주 질환","757"
"59세 이하","14","F32","우울증 에피소드","668"
"59세 이하","15","N18","만성 콩팥(신장)기능상실","637"
"59세 이하","16","J98","기타 호흡장애","627"
"59세 이하","17","F41","기타 불안장애","623"
"59세 이하","18","Z00","호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사","615"
"59세 이하","19","R51","두통","600"
"59세 이하","20","K29","위염 및 십이지장염","594"
"60대","1","I10","본태성(원발성) 고혈압","2318"
"60대","2","E11","인슐린-비의존 당뇨병","2211"
"60대","3","M48","기타 척추병증","2033"
"60대","4","N40","전립선증식증","1945"
"60대","5","M17","윤충증","1555"
"60대","6","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","1503"
"60대","7","K05","치은염(잇몸염)및 치주 질환","1393"
"60대","8","I20","협심증","1359"
"60대","9","Z49","투석을 포함한 치료를 위하여 보건서비스와 접하고 있는 사람","860"
"60대","10","K21","위-식도역류병","785"
"60대","11","I63","뇌경색증","731"
"60대","12","M75","어깨병변","713"
"60대","13","F32","우울증 에피소드","699"
"60대","14","M79","달리 분류되지 않은 기타 연조직장애","678"
"60대","15","E78","지질단백질대사장애 및 기타 지질증","653"
"60대","16","Z11","감염성 및 기생충성 질환에 대한 특수선별검사","618"
"60대","17","M51","기타 추간판장애","529"
"60대","18","G82","하반신마비 및 사지마비","511"
"60대","19","R51","두통","494"
"60대","20","D75","혈액 및 조혈기관의 기타 질환","477"
"70대","1","N40","전립선증식증","16831"
"70대","2","E11","인슐린-비의존 당뇨병","10910"
"70대","3","M48","기타 척추병증","10906"
"70대","4","I10","본태성(원발성) 고혈압","10470"
"70대","5","I20","협심증","9495"
"70대","6","M17","윤충증","8994"
"70대","7","K05","치은염(잇몸염)및 치주 질환","7483"
"70대","8","K21","위-식도역류병","4733"
"70대","9","H25","노인성 백내장","4671"
"70대","10","I63","뇌경색증","4444"
"70대","11","M51","기타 추간판장애","3811"
"70대","12","M75","어깨병변","3744"
"70대","13","C61","전립선의 악성 신생물","3655"
"70대","14","R41","인지기능 및 자각에 관한 기타 증상 및 징후","3362"
"70대","15","K04","치수 및 치근단주위조직의 질환","3126"
"70대","16","B35","피부사상균증","3113"
"70대","17","R63","음식 및 수액섭취에 관계된 증상 및 징후","3091"
"70대","18","J44","기타 만성 폐쇄성 폐질환","2978"
"70대","19","D75","혈액 및 조혈기관의 기타 질환","2831"
"70대","20","K02","치아우식증","2765"
"80대","1","N40","전립선증식증","3579"
"80대","2","M48","기타 척추병증","2532"
"80대","3","F00","알츠하이머병에서의 치매(G30.-+)","2458"
"80대","4","I10","본태성(원발성) 고혈압","2446"
"80대","5","E11","인슐린-비의존 당뇨병","2264"
"80대","6","I20","협심증","2011"
"80대","7","M17","윤충증","1791"
"80대","8","I63","뇌경색증","1308"
"80대","9","K05","치은염(잇몸염)및 치주 질환","1285"
"80대","10","K21","위-식도역류병","1052"
"80대","11","R41","인지기능 및 자각에 관한 기타 증상 및 징후","1032"
"80대","12","N18","만성 콩팥(신장)기능상실","1010"
"80대","13","J44","기타 만성 폐쇄성 폐질환","967"
"80대","14","C61","전립선의 악성 신생물","959"
"80대","15","H25","노인성 백내장","832"
"80대","16","R63","음식 및 수액섭취에 관계된 증상 및 징후","820"
"80대","17","Z49","투석을 포함한 치료를 위하여 보건서비스와 접하고 있는 사람","813"
"80대","18","M75","어깨병변","688"
"80대","19","R53","병감 및 피로","667"
"80대","20","I48","심방세동 및 조동","626"
"90세 이상","1","N40","전립선증식증","1678"
"90세 이상","2","F00","알츠하이머병에서의 치매(G30.-+)","1630"
"90세 이상","3","I10","본태성(원발성) 고혈압","962"
"90세 이상","4","I63","뇌경색증","816"
"90세 이상","5","M48","기타 척추병증","634"
"90세 이상","6","M17","윤충증","542"
"90세 이상","7","E11","인슐린-비의존 당뇨병","507"
"90세 이상","8","I20","협심증","437"
"90세 이상","9","J44","기타 만성 폐쇄성 폐질환","397"
"90세 이상","10","R53","병감 및 피로","323"
"90세 이상","11","C61","전립선의 악성 신생물","322"
"90세 이상","12","R63","음식 및 수액섭취에 관계된 증상 및 징후","291"
"90세 이상","13","N18","만성 콩팥(신장)기능상실","286"
"90세 이상","14","I48","심방세동 및 조동","276"
"90세 이상","15","R41","인지기능 및 자각에 관한 기타 증상 및 징후","264"
"90세 이상","16","F03","상세불명의 치매","263"
"90세 이상","17","F51","비기질적 수면 장애","254"
"90세 이상","18","R42","현기 및 어지러움","214"
"90세 이상","19","D75","혈액 및 조혈기관의 기타 질환","209"
"90세 이상","20","K21","위-식도역류병","200"
