"연령대","순위","상병코드","상병명","건수"
"59세 이하","1","U07","U07의 응급사용","5620"
"59세 이하","2","Z11","감염성 및 기생충성 질환에 대한 특수선별검사","5414"
"59세 이하","3","K05","치은염(잇몸염)및 치주 질환","3618"
"59세 이하","4","E11","인슐린-비의존 당뇨병","2505"
"59세 이하","5","G82","하반신마비 및 사지마비","2331"
"59세 이하","6","G81","편마비","2308"
"59세 이하","7","Z00","호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사","2125"
"59세 이하","8","K08","치아 및 지지구조의 기타 장애","1816"
"59세 이하","9","K02","치아우식증","1812"
"59세 이하","10","I10","본태성(원발성) 고혈압","1689"
"59세 이하","11","F20","조현병","1542"
"59세 이하","12","M51","기타 추간판장애","1384"
"59세 이하","13","L30","기타 피부염","1322"
"59세 이하","14","M79","달리 분류되지 않은 기타 연조직장애","1247"
"59세 이하","15","R52","달리 분류되지 않은 통증","1168"
"59세 이하","16","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","1083"
"59세 이하","17","K04","치수 및 치근단주위조직의 질환","1028"
"59세 이하","18","N18","만성 콩팥(신장)기능상실","867"
"59세 이하","19","M75","어깨병변","716"
"59세 이하","20","R68","기타 전신 증상 및 징후","661"
"60대","1","K05","치은염(잇몸염)및 치주 질환","6589"
"60대","2","E11","인슐린-비의존 당뇨병","5521"
"60대","3","I10","본태성(원발성) 고혈압","4703"
"60대","4","K08","치아 및 지지구조의 기타 장애","3612"
"60대","5","N40","전립선증식증","3047"
"60대","6","Z11","감염성 및 기생충성 질환에 대한 특수선별검사","2497"
"60대","7","M48","기타 척추병증","1816"
"60대","8","L30","기타 피부염","1715"
"60대","9","U07","U07의 응급사용","1711"
"60대","10","G82","하반신마비 및 사지마비","1689"
"60대","11","E78","지질단백질대사장애 및 기타 지질증","1654"
"60대","12","M75","어깨병변","1642"
"60대","13","M17","윤충증","1635"
"60대","14","G81","편마비","1515"
"60대","15","K02","치아우식증","1435"
"60대","16","N18","만성 콩팥(신장)기능상실","1349"
"60대","17","R42","현기 및 어지러움","1335"
"60대","18","I20","협심증","1299"
"60대","19","K04","치수 및 치근단주위조직의 질환","1287"
"60대","20","M51","기타 추간판장애","1282"
"70대","1","N40","전립선증식증","38689"
"70대","2","E11","인슐린-비의존 당뇨병","35751"
"70대","3","K05","치은염(잇몸염)및 치주 질환","30967"
"70대","4","I10","본태성(원발성) 고혈압","28849"
"70대","5","K08","치아 및 지지구조의 기타 장애","26698"
"70대","6","L30","기타 피부염","18948"
"70대","7","I20","협심증","17605"
"70대","8","M48","기타 척추병증","15532"
"70대","9","I63","뇌경색증","13441"
"70대","10","M51","기타 추간판장애","11724"
"70대","11","H35","기타 망막장애","11466"
"70대","12","N18","만성 콩팥(신장)기능상실","11354"
"70대","13","C61","전립선의 악성 신생물","11089"
"70대","14","G81","편마비","10515"
"70대","15","R42","현기 및 어지러움","9393"
"70대","16","K04","치수 및 치근단주위조직의 질환","9317"
"70대","17","H42","달리 분류된 질환에서의 녹내장","9119"
"70대","18","M17","윤충증","8989"
"70대","19","K02","치아우식증","8511"
"70대","20","M75","어깨병변","7536"
"80대","1","N40","전립선증식증","11204"
"80대","2","E11","인슐린-비의존 당뇨병","9887"
"80대","3","I10","본태성(원발성) 고혈압","9172"
"80대","4","K05","치은염(잇몸염)및 치주 질환","6856"
"80대","5","K08","치아 및 지지구조의 기타 장애","6596"
"80대","6","I20","협심증","5364"
"80대","7","M48","기타 척추병증","5072"
"80대","8","I63","뇌경색증","4968"
"80대","9","N18","만성 콩팥(신장)기능상실","4947"
"80대","10","M51","기타 추간판장애","4738"
"80대","11","L30","기타 피부염","4439"
"80대","12","H35","기타 망막장애","3810"
"80대","13","C61","전립선의 악성 신생물","3723"
"80대","14","R42","현기 및 어지러움","3403"
"80대","15","H42","달리 분류된 질환에서의 녹내장","3154"
"80대","16","M17","윤충증","2753"
"80대","17","G81","편마비","2553"
"80대","18","H90","전음성 및 감각신경성 청력소실","2258"
"80대","19","R41","인지기능 및 자각에 관한 기타 증상 및 징후","2239"
"80대","20","K02","치아우식증","2192"
"90세 이상","1","N40","전립선증식증","4306"
"90세 이상","2","I10","본태성(원발성) 고혈압","3028"
"90세 이상","3","I63","뇌경색증","2211"
"90세 이상","4","E11","인슐린-비의존 당뇨병","2038"
"90세 이상","5","N18","만성 콩팥(신장)기능상실","1783"
"90세 이상","6","I20","협심증","1517"
"90세 이상","7","M48","기타 척추병증","1487"
"90세 이상","8","H35","기타 망막장애","1404"
"90세 이상","9","K08","치아 및 지지구조의 기타 장애","1391"
"90세 이상","10","F00","알츠하이머병에서의 치매(G30.-+)","1345"
"90세 이상","11","R42","현기 및 어지러움","1236"
"90세 이상","12","K05","치은염(잇몸염)및 치주 질환","1186"
"90세 이상","13","L30","기타 피부염","1071"
"90세 이상","14","F03","상세불명의 치매","1051"
"90세 이상","15","C61","전립선의 악성 신생물","897"
"90세 이상","16","H42","달리 분류된 질환에서의 녹내장","867"
"90세 이상","17","M17","윤충증","654"
"90세 이상","18","R52","달리 분류되지 않은 통증","644"
"90세 이상","19","R41","인지기능 및 자각에 관한 기타 증상 및 징후","640"
"90세 이상","20","H90","전음성 및 감각신경성 청력소실","605"
