연령대,순위,상병코드,상병명,건수
59세 이하,1,U07,U07의 응급사용,5269
59세 이하,2,Z29,기타 예방적 조치의 필요,4093
59세 이하,3,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,1626
59세 이하,4,K29,위염 및 십이지장염,1236
59세 이하,5,K05,치은염(잇몸염)및 치주 질환,1080
59세 이하,6,E11,인슐린-비의존 당뇨병,959
59세 이하,7,M54,배통,912
59세 이하,8,I10,본태성(일차성)고혈압,826
59세 이하,9,N18,만성 콩팥(신장)기능상실,738
59세 이하,10,M51,기타 추간판장애,578
59세 이하,11,K63,창자의 기타 질환,551
59세 이하,12,M75,어깨병변,467
59세 이하,13,M15,진균증,367
59세 이하,14,M17,윤충증,364
59세 이하,15,B18,만성 바이러스간염,314
59세 이하,16,J98,기타 호흡장애,310
59세 이하,17,K21,위-식도역류병,304
59세 이하,18,E78,지질단백질대사장애 및 기타 지질증,289
59세 이하,19,R51,두통,285
59세 이하,20,G81,편마비,283
60대,1,E11,인슐린-비의존 당뇨병,2273
60대,2,U07,U07의 응급사용,1990
60대,3,K05,치은염(잇몸염)및 치주 질환,1819
60대,4,I10,본태성(일차성)고혈압,1812
60대,5,K29,위염 및 십이지장염,1587
60대,6,N40,전립선증식증,1578
60대,7,K63,창자의 기타 질환,1293
60대,8,M17,윤충증,1039
60대,9,M54,배통,1028
60대,10,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,1024
60대,11,M48,기타 척추병증,1012
60대,12,E86,체액용적고갈,948
60대,13,N18,만성 콩팥(신장)기능상실,881
60대,14,Z29,기타 예방적 조치의 필요,819
60대,15,M75,어깨병변,753
60대,16,E78,지질단백질대사장애 및 기타 지질증,668
60대,17,I69,대뇌혈관 질환의 후유증,501
60대,18,M81,병적골절이 없는 골다공증,495
60대,19,M15,진균증,470
60대,20,R51,두통,461
70대,1,N40,전립선증식증,18560
70대,2,E11,인슐린-비의존 당뇨병,13630
70대,3,M48,기타 척추병증,10703
70대,4,K05,치은염(잇몸염)및 치주 질환,9122
70대,5,I10,본태성(일차성)고혈압,9067
70대,6,M54,배통,7715
70대,7,K63,창자의 기타 질환,7082
70대,8,E86,체액용적고갈,5974
70대,9,M17,윤충증,5628
70대,10,I69,대뇌혈관 질환의 후유증,5595
70대,11,K29,위염 및 십이지장염,4350
70대,12,N18,만성 콩팥(신장)기능상실,4125
70대,13,I20,협심증,3627
70대,14,M75,어깨병변,3580
70대,15,L29,소양증,3307
70대,16,F03,상세불명의 치매,3100
70대,17,Z29,기타 예방적 조치의 필요,3015
70대,18,R42,현기 및 어지러움,2984
70대,19,J44,기타 만성 폐쇄성 폐질환,2893
70대,20,U07,U07의 응급사용,2825
80대,1,N40,전립선증식증,4278
80대,2,E11,인슐린-비의존 당뇨병,2578
80대,3,M48,기타 척추병증,2367
80대,4,I10,본태성(일차성)고혈압,2131
80대,5,M54,배통,1954
80대,6,I69,대뇌혈관 질환의 후유증,1712
80대,7,F03,상세불명의 치매,1706
80대,8,M17,윤충증,1639
80대,9,K05,치은염(잇몸염)및 치주 질환,1606
80대,10,N18,만성 콩팥(신장)기능상실,1584
80대,11,E86,체액용적고갈,1555
80대,12,K63,창자의 기타 질환,1070
80대,13,R42,현기 및 어지러움,941
80대,14,K29,위염 및 십이지장염,898
80대,15,L29,소양증,786
80대,16,U07,U07의 응급사용,768
80대,17,J44,기타 만성 폐쇄성 폐질환,720
80대,18,I20,협심증,710
80대,19,M75,어깨병변,647
80대,20,Z29,기타 예방적 조치의 필요,639
90세 이상,1,N40,전립선증식증,1701
90세 이상,2,F03,상세불명의 치매,958
90세 이상,3,I10,본태성(일차성)고혈압,844
90세 이상,4,N18,만성 콩팥(신장)기능상실,823
90세 이상,5,M48,기타 척추병증,689
90세 이상,6,E11,인슐린-비의존 당뇨병,578
90세 이상,7,I69,대뇌혈관 질환의 후유증,532
90세 이상,8,E86,체액용적고갈,493
90세 이상,9,R42,현기 및 어지러움,329
90세 이상,10,M17,윤충증,276
90세 이상,11,K05,치은염(잇몸염)및 치주 질환,276
90세 이상,12,J44,기타 만성 폐쇄성 폐질환,250
90세 이상,13,U07,U07의 응급사용,232
90세 이상,14,M54,배통,228
90세 이상,15,C61,전립선의 악성 신생물,224
90세 이상,16,J98,기타 호흡장애,223
90세 이상,17,K59,기타 기능적 창자 장애,216
90세 이상,18,K29,위염 및 십이지장염,214
90세 이상,19,J18,상세불명 병원체의 폐렴,189
90세 이상,20,I48,심방세동 및 조동,175
