연령대,순위,상병코드,상병명,건수
59세 이하,1,E30,달리 분류되지 않은 사춘기의 장애,14933
59세 이하,2,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,4708
59세 이하,3,E34,기타 내분비장애,2223
59세 이하,4,J00,급성 코인두염 [감기],2154
59세 이하,5,E23,뇌하수체의 기능저하증 및 기타 장애,1484
59세 이하,6,I10,본태성(원발성) 고혈압,1434
59세 이하,7,N18,만성 콩팥(신장)기능상실,1434
59세 이하,8,J98,기타 호흡장애,1275
59세 이하,9,Z11,감염성 및 기생충성 질환에 대한 특수선별검사,1183
59세 이하,10,E11,인슐린-비의존 당뇨병,1097
59세 이하,11,F32,우울증 에피소드,758
59세 이하,12,M48,기타 척추병증,625
59세 이하,13,K05,치은염(잇몸염)및 치주 질환,599
59세 이하,14,M51,기타 추간판장애,586
59세 이하,15,N40,전립선증식증,537
59세 이하,16,M75,어깨병변,531
59세 이하,17,F41,기타 불안장애,527
59세 이하,18,K29,위염 및 십이지장염,516
59세 이하,19,I20,협심증,503
59세 이하,20,I63,뇌경색증,451
60대,1,I10,본태성(원발성) 고혈압,2257
60대,2,N40,전립선증식증,2052
60대,3,E11,인슐린-비의존 당뇨병,2003
60대,4,M48,기타 척추병증,1543
60대,5,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,1542
60대,6,I20,협심증,1378
60대,7,R52,달리 분류되지 않은 통증,1371
60대,8,N18,만성 콩팥(신장)기능상실,1302
60대,9,K05,치은염(잇몸염)및 치주 질환,1244
60대,10,M17,윤충증,990
60대,11,M51,기타 추간판장애,930
60대,12,K21,위-식도역류병,762
60대,13,I63,뇌경색증,649
60대,14,M75,어깨병변,628
60대,15,F32,우울증 에피소드,624
60대,16,M79,달리 분류되지 않은 기타 연조직장애,619
60대,17,E78,지질단백질대사장애 및 기타 지질증,583
60대,18,H25,노인성 백내장,500
60대,19,G82,하반신마비 및 사지마비,487
60대,20,K29,위염 및 십이지장염,448
70대,1,N40,전립선증식증,15335
70대,2,I10,본태성(원발성) 고혈압,10215
70대,3,E11,인슐린-비의존 당뇨병,9555
70대,4,I20,협심증,9441
70대,5,M48,기타 척추병증,8768
70대,6,K05,치은염(잇몸염)및 치주 질환,6774
70대,7,M17,윤충증,6581
70대,8,H25,노인성 백내장,6179
70대,9,K21,위-식도역류병,4326
70대,10,I63,뇌경색증,4020
70대,11,N18,만성 콩팥(신장)기능상실,3914
70대,12,C61,전립선의 악성 신생물,3831
70대,13,M51,기타 추간판장애,3790
70대,14,R41,인지기능 및 자각에 관한 기타 증상 및 징후,3315
70대,15,M75,어깨병변,3128
70대,16,B35,피부사상균증,2625
70대,17,K02,치아우식증,2578
70대,18,K04,치수 및 치근단주위조직의 질환,2577
70대,19,R63,음식 및 수액섭취에 관계된 증상 및 징후,2551
70대,20,J30,혈관운동성 및 앨러지성 비염,2242
80대,1,N40,전립선증식증,5084
80대,2,I10,본태성(원발성) 고혈압,3275
80대,3,M48,기타 척추병증,3268
80대,4,I20,협심증,3025
80대,5,E11,인슐린-비의존 당뇨병,2865
80대,6,F00,알츠하이머병에서의 치매(G30.-+),2281
80대,7,M17,윤충증,2137
80대,8,I63,뇌경색증,1961
80대,9,N18,만성 콩팥(신장)기능상실,1910
80대,10,H25,노인성 백내장,1786
80대,11,K05,치은염(잇몸염)및 치주 질환,1774
80대,12,M75,어깨병변,1469
80대,13,C61,전립선의 악성 신생물,1459
80대,14,K21,위-식도역류병,1376
80대,15,R41,인지기능 및 자각에 관한 기타 증상 및 징후,1185
80대,16,R53,병감 및 피로,1057
80대,17,R63,음식 및 수액섭취에 관계된 증상 및 징후,1022
80대,18,J30,혈관운동성 및 앨러지성 비염,851
80대,19,I48,심방세동 및 조동,809
80대,20,J44,기타 만성 폐쇄성 폐질환,789
90세 이상,1,F00,알츠하이머병에서의 치매(G30.-+),1914
90세 이상,2,N40,전립선증식증,1383
90세 이상,3,I10,본태성(원발성) 고혈압,926
90세 이상,4,I63,뇌경색증,570
90세 이상,5,M48,기타 척추병증,555
90세 이상,6,R53,병감 및 피로,523
90세 이상,7,I20,협심증,463
90세 이상,8,E11,인슐린-비의존 당뇨병,419
90세 이상,9,M17,윤충증,415
90세 이상,10,C61,전립선의 악성 신생물,325
90세 이상,11,I48,심방세동 및 조동,317
90세 이상,12,F03,상세불명의 치매,286
90세 이상,13,R42,현기 및 어지러움,241
90세 이상,14,H25,노인성 백내장,237
90세 이상,15,R63,음식 및 수액섭취에 관계된 증상 및 징후,235
90세 이상,16,N18,만성 콩팥(신장)기능상실,231
90세 이상,17,J44,기타 만성 폐쇄성 폐질환,227
90세 이상,18,K59,기타 기능적 창자 장애,223
90세 이상,19,R41,인지기능 및 자각에 관한 기타 증상 및 징후,222
90세 이상,20,F51,비기질적 수면 장애,211
