연령대,순위,상병코드,상병명,건수
59세 이하,1,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,2363
59세 이하,2,E11,인슐린-비의존 당뇨병,994
59세 이하,3,I10,본태성(일차성)고혈압,905
59세 이하,4,M51,기타 추간판장애,810
59세 이하,5,Z10,한정된 소인구집단에 대한 정례적인 일반 건강점검,626
59세 이하,6,N18,만성 콩팥(신장)기능상실,550
59세 이하,7,K05,치은염(잇몸염)및 치주 질환,499
59세 이하,8,K02,치아우식증,434
59세 이하,9,K04,치수 및 치근단주위조직의 질환,377
59세 이하,10,Z00,호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사,371
59세 이하,11,G80,유아성 뇌성마비,365
59세 이하,12,U07,U07의 응급사용,345
59세 이하,13,G82,하반신마비 및 사지마비,326
59세 이하,14,B18,만성 바이러스간염,316
59세 이하,15,E78,지질단백질대사장애 및 기타 지질증,303
59세 이하,16,R07,인후 및 흉곽의 동통,296
59세 이하,17,K08,치아 및 지지구조의 기타 장애,290
59세 이하,18,J34,코 및 코옆굴의 기타 장애,280
59세 이하,19,I20,협심증,276
59세 이하,20,Z11,감염성 및 기생충성 질환에 대한 특수선별검사,273
60대,1,E11,인슐린-비의존 당뇨병,2382
60대,2,I10,본태성(일차성)고혈압,2160
60대,3,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,1503
60대,4,N40,전립선증식증,1400
60대,5,N18,만성 콩팥(신장)기능상실,1364
60대,6,M51,기타 추간판장애,1297
60대,7,I20,협심증,945
60대,8,K05,치은염(잇몸염)및 치주 질환,834
60대,9,K08,치아 및 지지구조의 기타 장애,722
60대,10,E78,지질단백질대사장애 및 기타 지질증,702
60대,11,M48,기타 척추병증,702
60대,12,M81,병적골절이 없는 골다공증,694
60대,13,M17,윤충증,656
60대,14,M75,어깨병변,651
60대,15,M50,목뼈원판 장애,643
60대,16,I63,뇌경색증,613
60대,17,H25,노인성 백내장,457
60대,18,K21,위-식도역류병,423
60대,19,Z00,호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사,413
60대,20,K04,치수 및 치근단주위조직의 질환,372
70대,1,M51,기타 추간판장애,16176
70대,2,N40,전립선증식증,15966
70대,3,E11,인슐린-비의존 당뇨병,12629
70대,4,I10,본태성(일차성)고혈압,9956
70대,5,I20,협심증,8656
70대,6,M48,기타 척추병증,6626
70대,7,N18,만성 콩팥(신장)기능상실,6287
70대,8,I63,뇌경색증,5294
70대,9,K08,치아 및 지지구조의 기타 장애,5225
70대,10,H25,노인성 백내장,5063
70대,11,G62,기타 다발신경병증,4322
70대,12,M17,윤충증,4287
70대,13,K05,치은염(잇몸염)및 치주 질환,3995
70대,14,K04,치수 및 치근단주위조직의 질환,3386
70대,15,M75,어깨병변,3042
70대,16,M50,목뼈원판 장애,2954
70대,17,B35,피부사상균증,2899
70대,18,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,2792
70대,19,K21,위-식도역류병,2790
70대,20,I48,심방세동 및 조동,2771
80대,1,N40,전립선증식증,5410
80대,2,E11,인슐린-비의존 당뇨병,4337
80대,3,M51,기타 추간판장애,4003
80대,4,I10,본태성(일차성)고혈압,3673
80대,5,I20,협심증,2974
80대,6,M48,기타 척추병증,2850
80대,7,I63,뇌경색증,2502
80대,8,F00,알츠하이머병에서의 치매(G30.-+),2304
80대,9,N18,만성 콩팥(신장)기능상실,1887
80대,10,K08,치아 및 지지구조의 기타 장애,1727
80대,11,C61,전립선의 악성 신생물,1660
80대,12,H25,노인성 백내장,1590
80대,13,M17,윤충증,1255
80대,14,G62,기타 다발신경병증,1234
80대,15,I48,심방세동 및 조동,1063
80대,16,N31,달리 분류되지 않은 방광의 신경근육기능장애,1027
80대,17,R41,인지기능 및 자각에 관한 기타 증상 및 징후,923
80대,18,K04,치수 및 치근단주위조직의 질환,918
80대,19,H90,전음성 및 감각신경성 청력소실,906
80대,20,K05,치은염(잇몸염)및 치주 질환,902
90세 이상,1,N40,전립선증식증,1905
90세 이상,2,F00,알츠하이머병에서의 치매(G30.-+),1795
90세 이상,3,I10,본태성(일차성)고혈압,1295
90세 이상,4,I63,뇌경색증,1023
90세 이상,5,E11,인슐린-비의존 당뇨병,956
90세 이상,6,M48,기타 척추병증,875
90세 이상,7,N18,만성 콩팥(신장)기능상실,771
90세 이상,8,F03,상세불명의 치매,763
90세 이상,9,I20,협심증,556
90세 이상,10,M51,기타 추간판장애,493
90세 이상,11,C61,전립선의 악성 신생물,404
90세 이상,12,I48,심방세동 및 조동,366
90세 이상,13,J44,기타 만성 폐쇄성 폐질환,312
90세 이상,14,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,297
90세 이상,15,H25,노인성 백내장,285
90세 이상,16,N31,달리 분류되지 않은 방광의 신경근육기능장애,273
90세 이상,17,K08,치아 및 지지구조의 기타 장애,266
90세 이상,18,M17,윤충증,264
90세 이상,19,L29,소양증,244
90세 이상,20,R41,인지기능 및 자각에 관한 기타 증상 및 징후,234
