"연령대","순위","상병코드","상병명","건수"
"59세 이하","1","K05","치은염(잇몸염)및 치주 질환","3078"
"59세 이하","2","G82","하반신마비 및 사지마비","2312"
"59세 이하","3","K08","치아 및 지지구조의 기타 장애","2270"
"59세 이하","4","G81","편마비","2269"
"59세 이하","5","E11","인슐린-비의존 당뇨병","2266"
"59세 이하","6","K02","치아우식증","1862"
"59세 이하","7","Z00","호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사","1802"
"59세 이하","8","M51","기타 추간판장애","1699"
"59세 이하","9","F20","조현병","1363"
"59세 이하","10","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","1255"
"59세 이하","11","L30","기타 피부염","1238"
"59세 이하","12","K04","치수 및 치근단주위조직의 질환","1059"
"59세 이하","13","U07","U07의 응급사용","998"
"59세 이하","14","N18","만성 콩팥(신장)기능상실","986"
"59세 이하","15","R52","달리 분류되지 않은 통증","968"
"59세 이하","16","I10","본태성(원발성) 고혈압","892"
"59세 이하","17","M79","달리 분류되지 않은 기타 연조직장애","854"
"59세 이하","18","M50","목뼈원판 장애","839"
"59세 이하","19","M75","어깨병변","820"
"59세 이하","20","G90","자율신경계통의 장애","733"
"60대","1","K05","치은염(잇몸염)및 치주 질환","6263"
"60대","2","E11","인슐린-비의존 당뇨병","5146"
"60대","3","K08","치아 및 지지구조의 기타 장애","4565"
"60대","4","N40","전립선증식증","2956"
"60대","5","I10","본태성(원발성) 고혈압","2081"
"60대","6","M51","기타 추간판장애","1865"
"60대","7","G81","편마비","1814"
"60대","8","M75","어깨병변","1643"
"60대","9","L30","기타 피부염","1623"
"60대","10","K02","치아우식증","1581"
"60대","11","I11","고혈압성 심장병","1562"
"60대","12","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","1560"
"60대","13","K04","치수 및 치근단주위조직의 질환","1542"
"60대","14","G82","하반신마비 및 사지마비","1531"
"60대","15","R52","달리 분류되지 않은 통증","1463"
"60대","16","I20","협심증","1348"
"60대","17","R42","현기 및 어지러움","1339"
"60대","18","M19","연기, 불 및 화염에 노출","1251"
"60대","19","N18","만성 콩팥(신장)기능상실","1193"
"60대","20","M17","윤충증","1150"
"70대","1","N40","전립선증식증","35379"
"70대","2","E11","인슐린-비의존 당뇨병","32342"
"70대","3","K08","치아 및 지지구조의 기타 장애","27927"
"70대","4","K05","치은염(잇몸염)및 치주 질환","27675"
"70대","5","M51","기타 추간판장애","18613"
"70대","6","I20","협심증","18045"
"70대","7","L30","기타 피부염","16061"
"70대","8","I63","뇌경색증","12493"
"70대","9","I10","본태성(원발성) 고혈압","11952"
"70대","10","C61","전립선의 악성 신생물","11506"
"70대","11","N18","만성 콩팥(신장)기능상실","11080"
"70대","12","H35","기타 망막장애","10747"
"70대","13","R42","현기 및 어지러움","9844"
"70대","14","I11","고혈압성 심장병","9389"
"70대","15","G81","편마비","9356"
"70대","16","K04","치수 및 치근단주위조직의 질환","9262"
"70대","17","K02","치아우식증","8885"
"70대","18","M75","어깨병변","8593"
"70대","19","H42","달리 분류된 질환에서의 녹내장","7426"
"70대","20","C34","기관지 및 폐의 악성 신생물","7206"
"80대","1","N40","전립선증식증","15129"
"80대","2","E11","인슐린-비의존 당뇨병","12362"
"80대","3","K08","치아 및 지지구조의 기타 장애","10140"
"80대","4","K05","치은염(잇몸염)및 치주 질환","9482"
"80대","5","M51","기타 추간판장애","8384"
"80대","6","I20","협심증","8006"
"80대","7","N18","만성 콩팥(신장)기능상실","6949"
"80대","8","L30","기타 피부염","6328"
"80대","9","I63","뇌경색증","6250"
"80대","10","C61","전립선의 악성 신생물","5690"
"80대","11","I10","본태성(원발성) 고혈압","5178"
"80대","12","H35","기타 망막장애","4906"
"80대","13","R42","현기 및 어지러움","4578"
"80대","14","G81","편마비","4385"
"80대","15","H42","달리 분류된 질환에서의 녹내장","3697"
"80대","16","I11","고혈압성 심장병","3415"
"80대","17","K02","치아우식증","3354"
"80대","18","K04","치수 및 치근단주위조직의 질환","3209"
"80대","19","M75","어깨병변","3005"
"80대","20","J44","기타 만성 폐쇄성 폐질환","2916"
"90세 이상","1","N40","전립선증식증","3614"
"90세 이상","2","I63","뇌경색증","2051"
"90세 이상","3","E11","인슐린-비의존 당뇨병","2014"
"90세 이상","4","N18","만성 콩팥(신장)기능상실","1779"
"90세 이상","5","I20","협심증","1587"
"90세 이상","6","K08","치아 및 지지구조의 기타 장애","1496"
"90세 이상","7","I10","본태성(원발성) 고혈압","1445"
"90세 이상","8","F00","알츠하이머병에서의 치매(G30.-+)","1377"
"90세 이상","9","R42","현기 및 어지러움","1303"
"90세 이상","10","H35","기타 망막장애","1215"
"90세 이상","11","F03","상세불명의 치매","1130"
"90세 이상","12","M51","기타 추간판장애","1128"
"90세 이상","13","K05","치은염(잇몸염)및 치주 질환","1096"
"90세 이상","14","C61","전립선의 악성 신생물","991"
"90세 이상","15","L30","기타 피부염","862"
"90세 이상","16","H42","달리 분류된 질환에서의 녹내장","801"
"90세 이상","17","N31","달리 분류되지 않은 방광의 신경근육기능장애","785"
"90세 이상","18","H90","전음성 및 감각신경성 청력소실","685"
"90세 이상","19","R41","인지기능 및 자각에 관한 기타 증상 및 징후","685"
"90세 이상","20","I11","고혈압성 심장병","682"
