"연령대","순위","상병코드","상병명","건수"
"59세 이하","1","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","1482"
"59세 이하","2","K29","위염 및 십이지장염","1207"
"59세 이하","3","K05","치은염(잇몸염)및 치주 질환","1031"
"59세 이하","4","M54","배통","1030"
"59세 이하","5","Z29","기타 예방적 조치의 필요","990"
"59세 이하","6","E11","인슐린-비의존 당뇨병","987"
"59세 이하","7","I10","본태성(일차성)고혈압","809"
"59세 이하","8","N18","만성 콩팥(신장)기능상실","727"
"59세 이하","9","M51","기타 추간판장애","686"
"59세 이하","10","G81","편마비","636"
"59세 이하","11","K63","창자의 기타 질환","620"
"59세 이하","12","U07","U07의 응급사용","614"
"59세 이하","13","M75","어깨병변","590"
"59세 이하","14","K21","위-식도역류병","373"
"59세 이하","15","M17","윤충증","372"
"59세 이하","16","E78","지질단백질대사장애 및 기타 지질증","361"
"59세 이하","17","F43","심한 스트레스에 대한 반응 및 적응장애","317"
"59세 이하","18","J98","기타 호흡장애","308"
"59세 이하","19","E86","체액용적고갈","299"
"59세 이하","20","M15","진균증","291"
"60대","1","E11","인슐린-비의존 당뇨병","2228"
"60대","2","K05","치은염(잇몸염)및 치주 질환","1740"
"60대","3","K29","위염 및 십이지장염","1634"
"60대","4","N40","전립선증식증","1588"
"60대","5","I10","본태성(일차성)고혈압","1583"
"60대","6","K63","창자의 기타 질환","1504"
"60대","7","N18","만성 콩팥(신장)기능상실","1210"
"60대","8","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","1201"
"60대","9","M54","배통","1201"
"60대","10","E86","체액용적고갈","1158"
"60대","11","M17","윤충증","1024"
"60대","12","M48","기타 척추병증","838"
"60대","13","M75","어깨병변","798"
"60대","14","E78","지질단백질대사장애 및 기타 지질증","654"
"60대","15","Z29","기타 예방적 조치의 필요","629"
"60대","16","M51","기타 추간판장애","547"
"60대","17","J98","기타 호흡장애","523"
"60대","18","R51","두통","443"
"60대","19","I69","대뇌혈관 질환의 후유증","443"
"60대","20","M81","병적골절이 없는 골다공증","437"
"70대","1","N40","전립선증식증","17692"
"70대","2","E11","인슐린-비의존 당뇨병","13210"
"70대","3","M48","기타 척추병증","9543"
"70대","4","M54","배통","8625"
"70대","5","I10","본태성(일차성)고혈압","8168"
"70대","6","K05","치은염(잇몸염)및 치주 질환","8150"
"70대","7","K63","창자의 기타 질환","7416"
"70대","8","E86","체액용적고갈","6794"
"70대","9","I69","대뇌혈관 질환의 후유증","5360"
"70대","10","M17","윤충증","5258"
"70대","11","K29","위염 및 십이지장염","4459"
"70대","12","N18","만성 콩팥(신장)기능상실","4048"
"70대","13","M75","어깨병변","3396"
"70대","14","I20","협심증","3092"
"70대","15","L29","소양증","2895"
"70대","16","Z29","기타 예방적 조치의 필요","2749"
"70대","17","F03","상세불명의 치매","2747"
"70대","18","J44","기타 만성 폐쇄성 폐질환","2723"
"70대","19","R42","현기 및 어지러움","2717"
"70대","20","J98","기타 호흡장애","2592"
"80대","1","N40","전립선증식증","6225"
"80대","2","E11","인슐린-비의존 당뇨병","3488"
"80대","3","M48","기타 척추병증","3182"
"80대","4","I10","본태성(일차성)고혈압","2669"
"80대","5","E86","체액용적고갈","2539"
"80대","6","M54","배통","2440"
"80대","7","K05","치은염(잇몸염)및 치주 질환","2363"
"80대","8","N18","만성 콩팥(신장)기능상실","2212"
"80대","9","F03","상세불명의 치매","2150"
"80대","10","I69","대뇌혈관 질환의 후유증","2001"
"80대","11","M17","윤충증","1851"
"80대","12","K63","창자의 기타 질환","1778"
"80대","13","J44","기타 만성 폐쇄성 폐질환","1081"
"80대","14","K29","위염 및 십이지장염","1060"
"80대","15","R42","현기 및 어지러움","1041"
"80대","16","L29","소양증","1013"
"80대","17","I20","협심증","955"
"80대","18","J98","기타 호흡장애","936"
"80대","19","M75","어깨병변","920"
"80대","20","J30","혈관운동성 및 앨러지성 비염","815"
"90세 이상","1","N40","전립선증식증","1622"
"90세 이상","2","F03","상세불명의 치매","925"
"90세 이상","3","I10","본태성(일차성)고혈압","774"
"90세 이상","4","N18","만성 콩팥(신장)기능상실","769"
"90세 이상","5","M48","기타 척추병증","589"
"90세 이상","6","E86","체액용적고갈","565"
"90세 이상","7","I69","대뇌혈관 질환의 후유증","556"
"90세 이상","8","E11","인슐린-비의존 당뇨병","451"
"90세 이상","9","R42","현기 및 어지러움","339"
"90세 이상","10","M54","배통","313"
"90세 이상","11","J18","상세불명 병원체의 폐렴","295"
"90세 이상","12","J44","기타 만성 폐쇄성 폐질환","295"
"90세 이상","13","J98","기타 호흡장애","269"
"90세 이상","14","K05","치은염(잇몸염)및 치주 질환","269"
"90세 이상","15","M17","윤충증","267"
"90세 이상","16","S72","대퇴골의 골절","249"
"90세 이상","17","K59","기타 기능적 창자 장애","211"
"90세 이상","18","L29","소양증","185"
"90세 이상","19","I48","심방세동 및 조동","179"
"90세 이상","20","K29","위염 및 십이지장염","169"
