연령대,순위,상병코드,상병명,건수
59세 이하,1,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,1777
59세 이하,2,J18,상세불명 병원체의 폐렴,1108
59세 이하,3,Z11,감염성 및 기생충성 질환에 대한 특수선별검사,1035
59세 이하,4,L30,기타 피부염,875
59세 이하,5,J00,급성 코인두염 [감기],773
59세 이하,6,N18,만성 콩팥(신장)기능상실,762
59세 이하,7,M75,어깨병변,758
59세 이하,8,E11,인슐린-비의존 당뇨병,679
59세 이하,9,U07,U07의 응급사용,626
59세 이하,10,K05,치은염(잇몸염)및 치주 질환,593
59세 이하,11,Z20,전염성 질환에 접촉 및 노출,538
59세 이하,12,Z00,호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사,473
59세 이하,13,I10,본태성(원발성) 고혈압,457
59세 이하,14,K02,치아우식증,447
59세 이하,15,G82,하반신마비 및 사지마비,444
59세 이하,16,R52,달리 분류되지 않은 통증,423
59세 이하,17,M17,윤충증,406
59세 이하,18,J02,급성 인두염,402
59세 이하,19,R53,병감 및 피로,401
59세 이하,20,F41,기타 불안장애,368
60대,1,E11,인슐린-비의존 당뇨병,1668
60대,2,M17,윤충증,1596
60대,3,L30,기타 피부염,1242
60대,4,N40,전립선증식증,1169
60대,5,M48,기타 척추병증,1022
60대,6,K05,치은염(잇몸염)및 치주 질환,975
60대,7,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,898
60대,8,I10,본태성(원발성) 고혈압,858
60대,9,I20,협심증,806
60대,10,K08,치아 및 지지구조의 기타 장애,606
60대,11,K02,치아우식증,599
60대,12,M54,배통,577
60대,13,M75,어깨병변,560
60대,14,N18,만성 콩팥(신장)기능상실,510
60대,15,K21,위-식도역류병,505
60대,16,M51,기타 추간판장애,471
60대,17,N31,달리 분류되지 않은 방광의 신경근육기능장애,431
60대,18,G81,편마비,428
60대,19,M96,달리 분류되지 않은 처치후 근육골격 장애,368
60대,20,H36,달리 분류된 질환에서의 망막장애,361
70대,1,N40,전립선증식증,19256
70대,2,E11,인슐린-비의존 당뇨병,14857
70대,3,L30,기타 피부염,14344
70대,4,M17,윤충증,11802
70대,5,I20,협심증,11735
70대,6,M48,기타 척추병증,11269
70대,7,N18,만성 콩팥(신장)기능상실,8918
70대,8,K05,치은염(잇몸염)및 치주 질환,8247
70대,9,I10,본태성(원발성) 고혈압,7220
70대,10,K08,치아 및 지지구조의 기타 장애,5604
70대,11,M54,배통,5222
70대,12,F06,뇌손상. 뇌기능 이상 및 신체질환에 의한 기타 정신 장애,5117
70대,13,K02,치아우식증,5071
70대,14,H36,달리 분류된 질환에서의 망막장애,4975
70대,15,H35,기타 망막장애,4830
70대,16,C61,전립선의 악성 신생물,4768
70대,17,N31,달리 분류되지 않은 방광의 신경근육기능장애,4610
70대,18,I63,뇌경색증,4585
70대,19,M75,어깨병변,4519
70대,20,K21,위-식도역류병,4126
80대,1,N40,전립선증식증,7327
80대,2,L30,기타 피부염,5116
80대,3,E11,인슐린-비의존 당뇨병,4964
80대,4,M48,기타 척추병증,3974
80대,5,I20,협심증,3878
80대,6,M17,윤충증,3421
80대,7,N18,만성 콩팥(신장)기능상실,3137
80대,8,I10,본태성(원발성) 고혈압,2612
80대,9,K05,치은염(잇몸염)및 치주 질환,2353
80대,10,M54,배통,2029
80대,11,N31,달리 분류되지 않은 방광의 신경근육기능장애,1997
80대,12,K08,치아 및 지지구조의 기타 장애,1847
80대,13,I63,뇌경색증,1843
80대,14,F06,뇌손상. 뇌기능 이상 및 신체질환에 의한 기타 정신 장애,1822
80대,15,H35,기타 망막장애,1727
80대,16,C61,전립선의 악성 신생물,1641
80대,17,K02,치아우식증,1534
80대,18,R53,병감 및 피로,1521
80대,19,H36,달리 분류된 질환에서의 망막장애,1397
80대,20,J44,기타 만성 폐쇄성 폐질환,1393
90세 이상,1,N40,전립선증식증,1438
90세 이상,2,N18,만성 콩팥(신장)기능상실,626
90세 이상,3,L30,기타 피부염,590
90세 이상,4,E11,인슐린-비의존 당뇨병,570
90세 이상,5,I20,협심증,526
90세 이상,6,I10,본태성(원발성) 고혈압,501
90세 이상,7,F03,상세불명의 치매,430
90세 이상,8,M48,기타 척추병증,423
90세 이상,9,F00,알츠하이머병에서의 치매(G30.-+),368
90세 이상,10,M17,윤충증,337
90세 이상,11,K08,치아 및 지지구조의 기타 장애,333
90세 이상,12,I63,뇌경색증,326
90세 이상,13,I50,심장기능상실(심부전),315
90세 이상,14,N31,달리 분류되지 않은 방광의 신경근육기능장애,276
90세 이상,15,M54,배통,261
90세 이상,16,C61,전립선의 악성 신생물,252
90세 이상,17,K05,치은염(잇몸염)및 치주 질환,245
90세 이상,18,H35,기타 망막장애,223
90세 이상,19,K59,기타 기능적 창자 장애,202
90세 이상,20,F06,뇌손상. 뇌기능 이상 및 신체질환에 의한 기타 정신 장애,202
