"병원명","진료과","20대","30대","40대","50대","60대","70대","80대","90대"
"중앙보훈","가정의학과","3459","17637","6918","10377","24213","20925","13836","0"
"중앙보훈","순환기내과","0","0","0","62","134","713","0","0"
"중앙보훈","호흡기내과","0","0","0","0","0","486","0","0"
"부산보훈","가정의학과","0","0","0","6544","1875","2811","0","0"
"부산보훈","호흡기내과","0","0","0","1516","9732","32768","10612","0"
"부산보훈","정형외과","0","1909","7890","9355","19151","10759","11214","0"
"광주보훈","일반외과","0","4033","4033","0","0","0","0","0"
"대구보훈","가정의학과","0","0","0","0","5776","1444","0","0"
"대전보훈","일반내과","0","400","0","0","800","0","0","0"
"대구보훈","신경외과","755","2726","6403","2069","8178","5354","1314","0"
"대전보훈","내분비내과","0","1012","4048","3036","5060","7084","0","0"
"인천보훈","신경과","0","0","0","223","0","0","0","0"
"부산보훈","혈액종양내과","0","0","0","0","659","659","0","0"
"대구보훈","피부과","0","6793","6717","6755","0","24667","0","0"
"대구보훈","일반외과","1110","1110","2220","0","2313","4533","0","0"
"대구보훈","정형외과","0","2801","9280","11843","14100","15963","7764","0"
"대구보훈","소아청소년과","0","3933","0","0","0","0","0","0"
"대전보훈","신장내과","0","0","1762","881","0","881","0","0"
"대전보훈","혈액종양내과","0","0","0","3048","762","0","0","0"
"인천보훈","재활의학과","0","0","0","0","0","0","0","0"
"인천보훈","안과","0","0","0","82","82","164","0","0"
"부산보훈","내분비내과","0","0","2888","0","1444","8247","0","0"
"대구보훈","이비인후과","0","0","12129","6210","2070","7892","1973","0"
"대구보훈","신경과","0","0","3649","2126","25860","22354","8821","1966"
"대구보훈","비뇨기과","0","3636","2796","3912","13416","17064","840","1680"
"대전보훈","일반외과","0","0","0","0","740","3183","0","0"
"대전보훈","호흡기내과","0","0","0","1284","0","4710","0","0"
"대전보훈","신경외과","0","0","1974","5870","3896","5922","1974","1974"
"대전보훈","재활의학과","0","0","6456","0","2152","6456","0","0"
"인천보훈","피부과","0","0","0","1058","0","2116","0","4232"
"인천보훈","가정의학과","0","752","1504","0","752","1504","0","0"
"인천보훈","이비인후과","0","0","426","0","426","426","0","0"
"중앙보훈","감염내과","0","178","235","1599","1606","0","0","0"
"중앙보훈","신경과","0","0","190","603","2100","7000","944","0"
"중앙보훈","정형외과","96","1809","3019","4065","22150","19647","96","1301"
"중앙보훈","비뇨기과","0","0","0","0","1456","668","334","0"
"부산보훈","순환기내과","0","0","4623","9155","5470","31547","4422","627"
"부산보훈","신장내과","0","0","0","0","0","2853","0","0"
"대구보훈","마취통증의학과","0","0","590","1746","1156","0","0","0"
"대구보훈","안과","0","2327","3012","4589","5475","24711","2463","0"
"대전보훈","이비인후과","0","5631","1877","0","0","5631","0","0"
"대전보훈","정형외과","2334","1438","4794","2917","5299","6534","0","0"
"인천보훈","정형외과","0","140","404","0","622","117","0","0"
"대구보훈","신장내과","0","1560","802","0","802","6350","0","0"
"중앙보훈","내분비내과","0","1225","4382","3900","8207","10250","1300","0"
"중앙보훈","정신과","0","0","0","180","540","1340","360","0"
"부산보훈","일반외과","0","2542","0","0","2542","10747","0","0"
"부산보훈","신경외과","0","1043","4870","4233","5883","30184","2377","753"
"광주보훈","재활의학과","0","10140","0","0","0","10140","0","0"
"대전보훈","가정의학과","0","0","0","0","4750","2375","0","0"
"대전보훈","소화기내과","0","2324","1723","6718","5618","12009","496","0"
"대전보훈","한방진료과","0","0","0","0","0","7134","0","0"
"대구보훈","소화기내과","0","665","5985","665","5485","1995","0","0"
"중앙보훈","이비인후과","0","2866","6038","9994","12689","34945","7085","0"
"부산보훈","피부과","0","0","6328","2051","2051","20685","0","0"
"부산보훈","이비인후과","0","2307","4653","2307","21036","41838","0","2307"
"부산보훈","비뇨기과","0","0","3643","13881","38502","50122","2818","0"
"대구보훈","재활의학과","0","0","4356","3180","906","7344","2544","0"
"대전보훈","피부과","0","0","5593","5593","5593","0","0","0"
"대전보훈","순환기내과","0","172","912","0","3648","2736","912","0"
"대전보훈","안과","0","0","0","878","3512","5268","878","878"
"대전보훈","비뇨기과","0","0","0","3361","10240","20861","0","0"
"인천보훈","비뇨기과","0","0","863","0","5178","0","863","0"
"대구보훈","순환기내과","1550","1534","2297","8445","15715","21699","4126","2301"
"대구보훈","내분비내과","0","628","628","3626","628","4242","0","0"
"중앙보훈","흉부외과","0","0","0","921","1615","9223","921","0"
"중앙보훈","신장내과","0","1904","4428","3324","2036","8779","1904","0"
"중앙보훈","혈액종양내과","0","1179","0","0","0","1617","0","0"
"중앙보훈","산부인과","141","17412","40576","48105","17130","3426","3426","0"
"중앙보훈","재활의학과","4233","11517","2942","4450","2828","1857","4192","1121"
"부산보훈","신경과","0","0","0","4676","2338","11690","4676","4676"
"대구보훈","정신과","0","6472","6472","3236","0","6472","9708","0"
"대전보훈","정신과","10575","10575","7050","0","0","0","7050","0"
"대구보훈","산부인과","0","0","0","0","900","0","0","0"
"중앙보훈","일반외과","0","2075","762","0","6030","3381","0","3703"
"중앙보훈","신경외과","0","4062","6335","3569","7872","12369","5640","0"
"부산보훈","소화기내과","0","2657","18382","6104","11296","50301","5817","0"
"부산보훈","재활의학과","0","709","2581","3999","0","10324","0","0"
"대구보훈","핵의학과","0","802","1604","0","0","0","0","0"
"대전보훈","신경과","0","0","0","0","7094","51385","10930","0"
"인천보훈","일반내과","0","0","1518","0","506","0","0","0"
