"진료과","순위","상명코드","상병명","건수"
"가정의학과","1","R53","병감 및 피로","6289"
"가정의학과","2","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","3981"
"가정의학과","3","J30","혈관운동성 및 앨러지성 비염","3744"
"가정의학과","4","J00","급성 코인두염 [감기]","3394"
"가정의학과","5","F48","기타 신경성 장애","1508"
"가정의학과","6","I10","본태성(원발성) 고혈압","1382"
"가정의학과","7","Z00","호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사","813"
"가정의학과","8","R05","기침","764"
"가정의학과","9","E78","지질단백질대사장애 및 기타 지질증","627"
"가정의학과","10","K59","기타 기능적 창자 장애","522"
"가정의학과","11","E11","인슐린-비의존 당뇨병","327"
"가정의학과","12","J06","다발성 및 상세불명 부위의 급성 상기도감염","259"
"가정의학과","13","B35","피부사상균증","240"
"가정의학과","14","K29","위염 및 십이지장염","233"
"가정의학과","15","K50","크론병[국한성 장염]","207"
"가정의학과","16","K52","기타 비감염성 위장염 및 대장염(큰창자염)","198"
"가정의학과","17","C22","간 및 간내담관의 악성 신생물","193"
"가정의학과","18","J31","만성비염. 비인두염 및 인두염","178"
"가정의학과","19","J02","급성 인두염","176"
"가정의학과","20","M79","달리 분류되지 않은 기타 연조직장애","164"
"감염내과","1","R50","원인 미상의 열","86"
"감염내과","2","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","63"
"감염내과","3","T14","상세불명의 신체부위의 손상","54"
"감염내과","4","L03","혈액 및 조혈기관의 질환과 면역기전을 침범한 특정 장애","37"
"감염내과","5","Z00","호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사","21"
"감염내과","6","N10","급성 세뇨관-사이질성 신염","16"
"감염내과","7","N39","비뇨기계통의 기타 장애","16"
"감염내과","8","J03","급성 편도염","15"
"감염내과","9","N30","방광염","12"
"감염내과","10","M46","기타 염증성 척추병증","12"
"감염내과","11","A41","기타 패혈증","11"
"감염내과","12","K75","기타 염증성 간질환","9"
"감염내과","13","R59","림프절비대","9"
"감염내과","14","A52","만기매독","8"
"감염내과","15","J18","상세불명 병원체의 폐렴","8"
"감염내과","16","A09","감염성 및 상세불명 기원의 기타 위장염 및 결장염","7"
"감염내과","17","B66","기타 흡충감염","7"
"감염내과","18","J02","급성 인두염","7"
"감염내과","19","A77","홍반열[진드기매개 리케차병]","7"
"감염내과","20","C34","기관지 및 폐의 악성 신생물","6"
"내분비내과","1","E11","인슐린-비의존 당뇨병","18772"
