"진료과","순위","상명코드","상병명","건수"
"가정의학과","1","I10","본태성(일차성)고혈압","6357"
"가정의학과","2","J00","급성 코인두염[감기]","3404"
"가정의학과","3","E11","인슐린-비의존 당뇨병","2719"
"가정의학과","4","E78","지질단백질대사장애 및 기타 지질증","1153"
"가정의학과","5","J30","혈관운동성 및 앨러지성 비염","932"
"가정의학과","6","R53","병감 및 피로","572"
"가정의학과","7","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","373"
"가정의학과","8","M79","달리 분류되지 않은 기타 연조직장애","314"
"가정의학과","9","C34","기관지 및 폐의 악성 신생물","209"
"가정의학과","10","A09","감염성 및 상세불명 기원의 기타 위장염 및 대장염","206"
"가정의학과","11","K59","기타 기능적 창자 장애","191"
"가정의학과","12","C18","결장의 악성 신생물","169"
"가정의학과","13","J40","급성인지 만성인지 명시되지 않은 기관지염","156"
"가정의학과","14","K30","소화불량","147"
"가정의학과","15","C16","위의 악성 신생물","116"
"가정의학과","16","C22","간 및 간내담관의 악성 신생물","113"
"가정의학과","17","R69","미상 및 상세불명의 병인","110"
"가정의학과","18","J03","급성 편도염","106"
"가정의학과","19","C25","췌장의 악성신생물","84"
"가정의학과","20","E14","상세불명의 당뇨병","74"
"내분비내과","1","E11","인슐린-비의존 당뇨병","16632"
"내분비내과","2","I10","본태성(일차성)고혈압","1427"
"내분비내과","3","E03","기타 갑상선기능저하증","1266"
"내분비내과","4","E04","기타 비중독성 갑상선종","912"
"내분비내과","5","E78","지질단백질대사장애 및 기타 지질증","622"
"내분비내과","6","R73","혈당치상승","314"
"내분비내과","7","E05","갑상선독증[갑상선기능항진증]","280"
"내분비내과","8","E06","갑상선염","270"
"내분비내과","9","D35","기타 및 상세불명의 내분비선의 양성 신생물","263"
"내분비내과","10","Z08","추적치료 및 회복기(Z42-Z51, Z54.-)","133"
"내분비내과","11","Z00","호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사","78"
"내분비내과","12","C73","갑상선의 악성 신생물","62"
"내분비내과","13","E14","상세불명의 당뇨병","60"
"내분비내과","14","E27","부신의 기타 장애","54"
"내분비내과","15","E10","인슐린-의존 당뇨병","51"
"내분비내과","16","M81","병적골절이 없는 골다공증","44"
"내분비내과","17","E89","달리 분류되지 않은 처치후의 내분비및 대사장애","29"
"내분비내과","18","K29","위염 및 십이지장염","28"
"내분비내과","19","E22","뇌하수체의 기능항진증","27"
"내분비내과","20","E23","뇌하수체의 기능저하증 및 기타 장애","24"
"비뇨의학과","1","N40","전립선증식증","41756"
"비뇨의학과","2","C61","전립선의 악성 신생물","6679"
"비뇨의학과","3","N31","달리 분류되지 않은 방광의 신경근육기능장애","2409"
"비뇨의학과","4","R31","상세불명의 혈뇨","1987"
"비뇨의학과","5","C67","방광의 악성 신생물","1142"
"비뇨의학과","6","N20","콩팥(신장)및 요관의 결석","633"
"비뇨의학과","7","C64","콩팥깔때기를  제외한 콩팥(신장)의 악성 신생물","596"
"비뇨의학과","8","N41","전립선의 염증성 질환","356"
"비뇨의학과","9","Q61","낭성 콩팥(신장)병","349"
"비뇨의학과","10","N39","비뇨기계통의 기타 장애","300"
"비뇨의학과","11","N30","방광염","233"
"비뇨의학과","12","N13","폐쇄성 및 역류성 요로병증","213"
"비뇨의학과","13","N45","고환염 및 부고환염","191"
"비뇨의학과","14","N35","요도협착","163"
"비뇨의학과","15","R32","상세불명의 요실금","155"
"비뇨의학과","16","D30","비뇨기관의 양성 신생물","148"
"비뇨의학과","17","R33","요폐","138"
"비뇨의학과","18","N43","음낭수종 및 정액류","123"
"비뇨의학과","19","N10","급성 세뇨관-사이질성 신염","106"
"비뇨의학과","20","D41","비뇨기관의 행동양식 불명 또는 미상의 신생물","98"
"산부인과","1","N95","폐경기 및 기타 폐경기전후 장애","644"
"산부인과","2","M81","병적골절이 없는 골다공증","431"
"산부인과","3","Z01","호소증상 또는 보고된 진단명이 없는 사람의 기타 특수 검사 및 조사","336"
"산부인과","4","D25","자궁의 평활근종","130"
"산부인과","5","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","121"
"산부인과","6","N76","질 및 외음부의 기타 염증","98"
"산부인과","7","B37","칸디다증","85"
"산부인과","8","N30","방광염","78"
"산부인과","9","N64","유방의 기타 장애","64"
"산부인과","10","N83","난소. 난관 및 광 인대의 비염증성 장애","53"
"산부인과","11","N92","과다. 빈발 및 불규칙 월경","50"
"산부인과","12","N31","달리 분류되지 않은 방광의 신경근육기능장애","33"
"산부인과","13","R10","복부 및 골반통증","32"
"산부인과","14","N91","무월경. 소량 및 희발 월경","17"
"산부인과","15","Z34","정상임신의 관리","16"
"산부인과","16","N94","여성생식기관 및 월경주기와 관련된 통증 및 기타 병태","13"
"산부인과","17","N84","여성생식관의 폴립","11"
"산부인과","18","N63","유방의 상세불명의 소괴","11"
"산부인과","19","N81","여성생식기탈출","9"
"산부인과","20","N80","자궁내막증","9"
"소아청소년과","1","J18","상세불명 병원체의 폐렴","2383"
"소아청소년과","2","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","1149"
"소아청소년과","3","J02","급성 인두염","778"
"소아청소년과","4","J00","급성 코인두염[감기]","599"
"소아청소년과","5","Z00","호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사","323"
