"진료과","순위","상명코드","상병명","건수"
"가정의학과","1","I10","본태성(일차성)고혈압","4483"
"가정의학과","2","E11","인슐린-비의존 당뇨병","2207"
"가정의학과","3","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","1301"
"가정의학과","4","F00","알츠하이머병에서의 치매(G30.-+)","878"
"가정의학과","5","J40","급성인지 만성인지 명시되지 않은 기관지염, 알레르기 NOS(J45.0-), 호흡기 감염 NOS","553"
"가정의학과","6","E78","지질단백질대사장애 및 기타 지질증","539"
"가정의학과","7","E46","상세불명의 단백칼로리 영양실조","518"
"가정의학과","8","G47","수면장애","436"
"가정의학과","9","M81","병적골절이 없는 골다공증","283"
"가정의학과","10","J00","급성 코인두염[감기]","250"
"가정의학과","11","Z00","호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사","246"
"가정의학과","12","J02","급성 인두염","228"
"가정의학과","13","E14","상세불명의 당뇨병","217"
"가정의학과","14","J44","기타 만성 폐쇄성 폐질환","196"
"가정의학과","15","F06","뇌손상. 뇌기능 이상 및 신체질환에 의한 기타 정신 장애","189"
"가정의학과","16","I63","뇌경색증","175"
"가정의학과","17","J20","급성 기관지염","174"
"가정의학과","18","J30","혈관운동성 및 앨러지성 비염","153"
"가정의학과","19","R42","현기 및 어지러움","132"
"가정의학과","20","E03","기타 갑상선기능저하증","99"
"내과","1","I10","본태성(일차성)고혈압","3019"
"내과","2","E11","인슐린-비의존 당뇨병","1869"
"내과","3","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","938"
"내과","4","K29","위염 및 십이지장염","824"
"내과","5","J21","급성 세기관지염","653"
"내과","6","K21","위-식도역류병","552"
"내과","7","K59","기타 기능적 창자 장애","378"
"내과","8","I20","협심증","324"
"내과","9","K30","소화불량","306"
"내과","10","Z00","호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사","305"
"내과","11","K58","자극성 장증후군","278"
"내과","12","J44","기타 만성 폐쇄성 폐질환","266"
"내과","13","J45","천식","245"
"내과","14","E78","지질단백질대사장애 및 기타 지질증","240"
"내과","15","J06","다발성 및 상세불명 부위의 급성 상기도감염, 제외; 호흡기 감염 NOS","173"
"내과","16","A09","감염성 및 상세불명 기원의 기타 위장염 및 대장염","166"
"내과","17","K25","위궤양","117"
"내과","18","K63","창자의 기타 질환","86"
"내과","19","B18","만성 바이러스간염.   주: 다음의 5단위 세분류는 면역관용기 여부를 표기하기 위해 B18.0-B18.1에 사용한다.","75"
"내과","20","K70","알콜성 간질환","73"
"마취통증의학과","1","M48","기타 척추병증","244"
"마취통증의학과","2","M54","배통","80"
"마취통증의학과","3","M75","어깨병변","73"
"마취통증의학과","4","G53","달리 분류된 질환에서의 뇌신경장애","70"
"마취통증의학과","5","M51","기타 추간판장애","41"
"마취통증의학과","6","M13","추 락","33"
"마취통증의학과","7","M79","달리 분류되지 않은 기타 연조직장애","32"
"마취통증의학과","8","M17","윤충증","21"
"마취통증의학과","9","M50","목뼈원판 장애","21"
"마취통증의학과","10","S99","발목 및 발의 기타 및 상세불명의 손상","19"
"마취통증의학과","11","S46","어깨 및 팔죽지 부위에서의 근육 및 힘줄의 손상","13"
"마취통증의학과","12","R52","달리 분류되지 않은 통증","10"
"마취통증의학과","13","M19","연기, 불 및 화염에 노출","4"
"마취통증의학과","14","M89","뼈의 기타 장애","3"
"마취통증의학과","15","M77","기타 골부착부병증","2"
"마취통증의학과","16","M25","달리 분류되지 않은 기타 관절장애","1"
"마취통증의학과","17","R53","병감 및 피로, 무력증,   전신쇠약, 허로(虛勞) (Consumptive disease disorder)","1"
"마취통증의학과","18","S33","허리뼈 및 골반의 관절 및 인대의 탈구, 염좌 및 긴장","1"
"비뇨의학과","1","N40","전립선증식증","14066"
"비뇨의학과","2","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","3479"
"비뇨의학과","3","N31","달리 분류되지 않은 방광의 신경근육기능장애","968"
"비뇨의학과","4","C61","전립선의 악성 신생물","608"
"비뇨의학과","5","C67","방광의 악성 신생물","493"
"비뇨의학과","6","L29","소양증","135"
"비뇨의학과","7","N30","방광염","133"
"비뇨의학과","8","N20","콩팥(신장)및 요관의 결석","120"
"비뇨의학과","9","R31","상세불명의 혈뇨","107"
"비뇨의학과","10","N45","고환염 및 부고환염","96"
"비뇨의학과","11","N34","요도염 및 요도증후군","80"
"비뇨의학과","12","B35","피부사상균증","58"
"비뇨의학과","13","L50","두드러기","45"
"비뇨의학과","14","N41","전립선의 염증성 질환","42"
"비뇨의학과","15","L40","건선","23"
"비뇨의학과","16","N21","하부요로의 결석","23"
"비뇨의학과","17","N48","음경의 기타 장애","23"
"비뇨의학과","18","B02","대상포진","23"
"비뇨의학과","19","L21","지루피부염","22"
"비뇨의학과","20","L84","티눈 및 굳은살","17"
"소화기내과","1","I10","본태성(일차성)고혈압","2259"
"소화기내과","2","E11","인슐린-비의존 당뇨병","1576"
