"진료과","순위","상명코드","상병명","건수"
"가정의학과","1","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","7442"
"가정의학과","2","J00","급성 코인두염[감기]","742"
"가정의학과","3","I10","본태성(일차성)고혈압","332"
"가정의학과","4","K21","위-식도역류병","316"
"가정의학과","5","K29","위염 및 십이지장염","308"
"가정의학과","6","F00","알츠하이머병에서의 치매(G30.-+)","271"
"가정의학과","7","C34","기관지 및 폐의 악성 신생물","252"
"가정의학과","8","Z00","호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사","162"
"가정의학과","9","E11","인슐린-비의존 당뇨병","141"
"가정의학과","10","C18","결장의 악성 신생물","123"
"가정의학과","11","T65","기타 및 상세불명 물질의 중독작용","115"
"가정의학과","12","E66","비만","101"
"가정의학과","13","C22","간 및 간내담관의 악성 신생물","99"
"가정의학과","14","E78","지질단백질대사장애 및 기타 지질증","85"
"가정의학과","15","C16","위의 악성 신생물","81"
"가정의학과","16","R94","기능검사의 이상결과","73"
"가정의학과","17","F03","상세불명의 치매","71"
"가정의학과","18","C25","췌장의 악성신생물","68"
"가정의학과","19","K27","상세불명 부위의 소화성 궤양","66"
"가정의학과","20","I63","뇌경색증","53"
"내과","1","I10","본태성(일차성)고혈압","17607"
"내과","2","E11","인슐린-비의존 당뇨병","15461"
"내과","3","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","10850"
"내과","4","I20","협심증","10450"
"내과","5","N18","만성 콩팥(신장)기능상실","7365"
"내과","6","K21","위-식도역류병","4277"
"내과","7","K29","위염 및 십이지장염","3591"
"내과","8","R07","인후 및 흉곽의 동통","3023"
"내과","9","E78","지질단백질대사장애 및 기타 지질증","2765"
"내과","10","I48","심방세동 및 조동","2349"
"내과","11","J44","기타 만성 폐쇄성 폐질환","2048"
"내과","12","R05","기침","1526"
"내과","13","A09","감염성 및 상세불명 기원의 기타 위장염 및 대장염","1498"
"내과","14","J42","상세불명의 만성 기관지염","1492"
"내과","15","E10","인슐린-의존 당뇨병","1468"
"내과","16","D13","기타 및 부위불명의 소화계통의 양성 신생물","1270"
"내과","17","J18","상세불명 병원체의 폐렴","1218"
"내과","18","B18","만성 바이러스간염","1147"
"내과","19","T97","출처가 주로 비의약품인 물질의 독성효과의 후유증","1140"
"내과","20","J40","급성인지 만성인지 명시되지 않은 기관지염","1131"
"마취통증의학과","1","M48","기타 척추병증","844"
"마취통증의학과","2","M51","기타 추간판장애","659"
"마취통증의학과","3","S43","팔이음뼈의 관절 및 인대의 탈구, 염좌 및 긴장","285"
"마취통증의학과","4","M50","목뼈원판 장애","235"
"마취통증의학과","5","M54","배통","231"
"마취통증의학과","6","M17","윤충증","147"
"마취통증의학과","7","M75","어깨병변","107"
"마취통증의학과","8","M79","달리 분류되지 않은 기타 연조직장애","50"
"마취통증의학과","9","G44","기타 두통증후군","37"
"마취통증의학과","10","M77","기타 골부착부병증","30"
"마취통증의학과","11","G53","달리 분류된 질환에서의 뇌신경장애","26"
"마취통증의학과","12","B02","대상포진","6"
"마취통증의학과","13","E14","상세불명의 당뇨병","2"
"마취통증의학과","14","G56","팔의 단일신경병증","2"
"마취통증의학과","15","M96","달리 분류되지 않은 처치후 근육골격 장애","1"
"비뇨의학과","1","N40","전립선증식증","35008"
"비뇨의학과","2","C61","전립선의 악성 신생물","4717"
"비뇨의학과","3","N31","달리 분류되지 않은 방광의 신경근육기능장애","1919"
"비뇨의학과","4","N39","비뇨기계통의 기타 장애","1266"
"비뇨의학과","5","C67","방광의 악성 신생물","1016"
"비뇨의학과","6","R31","상세불명의 혈뇨","596"
"비뇨의학과","7","N20","콩팥(신장)및 요관의 결석","404"
"비뇨의학과","8","N35","요도협착","299"
"비뇨의학과","9","N30","방광염","237"
"비뇨의학과","10","N32","방광의 기타 장애","219"
"비뇨의학과","11","N45","고환염 및 부고환염","179"
"비뇨의학과","12","N28","달리 분류되지 않은 콩팥(신장)및 요관의 기타 장애","135"
"비뇨의학과","13","C64","콩팥깔때기를  제외한 콩팥(신장)의 악성 신생물","119"
"비뇨의학과","14","N43","음낭수종 및 정액류","115"
"비뇨의학과","15","N21","하부요로의 결석","109"
"비뇨의학과","16","N48","음경의 기타 장애","81"
"비뇨의학과","17","N13","폐쇄성 및 역류성 요로병증","58"
"비뇨의학과","18","R35","다뇨증","55"
"비뇨의학과","19","N10","급성 세뇨관-사이질성 신염","43"
"비뇨의학과","20","D17","양성 지방종성 신생물","41"
"산부인과","1","M81","병적골절이 없는 골다공증","1949"
"산부인과","2","N95","폐경기 및 기타 폐경기전후 장애","526"
"산부인과","3","E11","인슐린-비의존 당뇨병","260"
"산부인과","4","N64","유방의 기타 장애","204"
"산부인과","5","I10","본태성(일차성)고혈압","187"
"산부인과","6","I20","협심증","137"
"산부인과","7","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","118"
"산부인과","8","N30","방광염","67"
"산부인과","9","D25","자궁의 평활근종","50"
"산부인과","10","N71","자궁목을 제외한 자궁의 염증성 질환","47"
"산부인과","11","Z01","호소증상 또는 보고된 진단명이 없는 사람의 기타 특수 검사 및 조사","36"
"산부인과","12","N83","난소. 난관 및 광 인대의 비염증성 장애","29"
"산부인과","13","Z10","한정된 소인구집단에 대한 정례적인 일반 건강점검","24"
"산부인과","14","N32","방광의 기타 장애","23"
"산부인과","15","E78","지질단백질대사장애 및 기타 지질증","21"
"산부인과","16","N31","달리 분류되지 않은 방광의 신경근육기능장애","21"
"산부인과","17","N76","질 및 외음부의 기타 염증","17"
"산부인과","18","N94","여성생식기관 및 월경주기와 관련된 통증 및 기타 병태","14"
"산부인과","19","I70","죽상경화증","11"
"산부인과","20","E03","기타 갑상선기능저하증","8"
"소아청소년과","1","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","540"
"소아청소년과","2","E30","달리 분류되지 않은 사춘기의 장애","234"
"소아청소년과","3","J30","혈관운동성 및 앨러지성 비염","107"
"소아청소년과","4","J20","급성 기관지염","87"
"소아청소년과","5","J00","급성 코인두염[감기]","35"
"소아청소년과","6","K76","간의 기타 질환","32"
"소아청소년과","7","A09","감염성 및 상세불명 기원의 기타 위장염 및 대장염","20"
"소아청소년과","8","D50","철결핍성 빈혈","13"
"소아청소년과","9","E66","비만","12"
"소아청소년과","10","L20","질병이환 및 사망의 외인","12"
"소아청소년과","11","K59","기타 기능적 창자 장애","11"
"소아청소년과","12","N32","방광의 기타 장애","6"
"소아청소년과","13","J02","급성 인두염","6"
"소아청소년과","14","J45","천식","6"
"소아청소년과","15","K29","위염 및 십이지장염","6"
"소아청소년과","16","J32","만성 부비동염","5"
"소아청소년과","17","I88","비특정 림프절염","4"
"소아청소년과","18","R50","원인 미상의 열","4"
"소아청소년과","19","J11","바이러스가 확인되지 않은 인플루엔자","4"
"소아청소년과","20","I67","기타 대뇌혈관 질환","4"
"순환기내과","1","I20","협심증","1819"
"순환기내과","2","I10","본태성(일차성)고혈압","1730"
"순환기내과","3","I48","심방세동 및 조동","765"
"순환기내과","4","E11","인슐린-비의존 당뇨병","448"
"순환기내과","5","I50","심장기능상실(심부전)","199"
"순환기내과","6","R07","인후 및 흉곽의 동통","167"
"순환기내과","7","I25","만성 허혈심장병","167"
"순환기내과","8","I70","죽상경화증","137"
"순환기내과","9","E78","지질단백질대사장애 및 기타 지질증","129"
"순환기내과","10","I49","기타 심장성 부정맥","121"
"순환기내과","11","I71","대동맥류 및 박리","77"
"순환기내과","12","I21","급성 심근경색증","74"
"순환기내과","13","I73","기타 말초혈관질환","58"
"순환기내과","14","I35","비류마티스성 대동맥판장애","55"
"순환기내과","15","J44","기타 만성 폐쇄성 폐질환","49"
"순환기내과","16","R00","심장박동의 이상","45"
"순환기내과","17","I42","심장근육병증","39"
"순환기내과","18","I47","발작성 빠른맥","37"
"순환기내과","19","Z00","호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사","37"
"순환기내과","20","I44","심방실 차단 및 좌각 차단","33"
"신경과","1","I63","뇌경색증","8809"
"신경과","2","F00","알츠하이머병에서의 치매(G30.-+)","3278"
"신경과","3","R41","인지기능 및 자각에 관한 기타 증상 및 징후","2120"
"신경과","4","R51","두통","1981"
"신경과","5","R42","현기 및 어지러움","1378"
"신경과","6","I65","대뇌경색증을 유발하지 않은 뇌전동맥의 폐색 및 협착","1071"
"신경과","7","G20","파킨슨병","840"
"신경과","8","G25","기타 추체외로 및 운동 장애","752"
"신경과","9","G63","달리 분류된 질환에서의 다발신경병증","689"
"신경과","10","R25","이상적 불수의적 운동","564"
"신경과","11","G45","일과성 대뇌허혈발작 및 관련 증후군","497"
"신경과","12","R44","일반적 감각 및 지각에 관한 기타 증상 및 징후","362"
"신경과","13","E14","상세불명의 당뇨병","329"
"신경과","14","F03","상세불명의 치매","306"
"신경과","15","G62","기타 다발신경병증","271"
"신경과","16","G40","뇌전증","265"
"신경과","17","H81","전정기능의 장애","257"
"신경과","18","G56","팔의 단일신경병증","214"
"신경과","19","T97","출처가 주로 비의약품인 물질의 독성효과의 후유증","206"
"신경과","20","F51","비기질적 수면 장애","189"
"신경외과","1","M48","기타 척추병증","7247"
"신경외과","2","M51","기타 추간판장애","4339"
"신경외과","3","S33","허리뼈 및 골반의 관절 및 인대의 탈구, 염좌 및 긴장","2324"
"신경외과","4","M54","배통","2261"
"신경외과","5","S32","허리뼈 및 골반의 골절","1123"
"신경외과","6","M50","목뼈원판 장애","992"
"신경외과","7","I63","뇌경색증","765"
"신경외과","8","S13","목부위의 관절 및 인대의 탈구, 염좌 및 긴장","708"
"신경외과","9","M43","기타 변형성 배병증","541"
"신경외과","10","I69","대뇌혈관 질환의 후유증","504"
"신경외과","11","M96","달리 분류되지 않은 처치후 근육골격 장애","397"
"신경외과","12","S22","늑골. 흉골 및 흉추골의 골절","389"
"신경외과","13","S06","머리내 손상","389"
"신경외과","14","R51","두통","325"
"신경외과","15","I67","기타 대뇌혈관 질환","255"
"신경외과","16","R42","현기 및 어지러움","224"
"신경외과","17","I61","뇌내출혈","222"
"신경외과","18","G62","기타 다발신경병증","150"
"신경외과","19","G83","기타 마비증후군","149"
"신경외과","20","D35","기타 및 상세불명의 내분비선의 양성 신생물","106"
"안과","1","H25","노인성 백내장","8707"
"안과","2","H04","눈물기관의 장애","3191"
"안과","3","H40","녹내장","2649"
"안과","4","H36","달리 분류된 질환에서의 망막장애","1757"
"안과","5","H35","기타 망막장애","1611"
"안과","6","H19","달리 분류된 질환에서의 공막 및 각막의 장애","1130"
"안과","7","H26","기타 백내장","499"
"안과","8","H02","안검의 기타 장애","431"
"안과","9","T97","출처가 주로 비의약품인 물질의 독성효과의 후유증","323"
"안과","10","H34","망막혈관폐쇄","313"
"안과","11","Z96","기타 기능적 삽입물의 존재","299"
"안과","12","H43","초자체의 장애","186"
"안과","13","H11","결막의 기타 장애","167"
"안과","14","H10","결막염","143"
"안과","15","H16","각막염","108"
"안과","16","H52","굴절 및 조절의 장애","105"
"안과","17","H33","망막박리 및 망막이단(離斷)","64"
"안과","18","H00","맥립종 및 콩다래끼","63"
"안과","19","H05","안와의 장애","59"
"안과","20","H27","수정체의 기타 장애","55"
"외과","1","K80","담석증","816"
"외과","2","K64","치핵 및 항문주위정맥혈전증","565"
"외과","3","I83","하지의 정맥류","422"
"외과","4","K29","위염 및 십이지장염","370"
"외과","5","I70","죽상경화증","325"
"외과","6","K40","서혜헤르니아","294"
"외과","7","L72","피부 및 피하조직의 모낭성 낭","264"
"외과","8","C16","위의 악성 신생물","241"
"외과","9","K82","쓸개(담낭)의 기타 질환","208"
"외과","10","D13","기타 및 부위불명의 소화계통의 양성 신생물","199"
"외과","11","S22","늑골. 흉골 및 흉추골의 골절","197"
"외과","12","L02","피부의 농양, 종기 및 큰종기","194"
"외과","13","L89","욕창성 및 압박부위 궤양","173"
"외과","14","S20","흉부의 표재성 손상","167"
"외과","15","C18","결장의 악성 신생물","121"
"외과","16","I87","정맥의 기타 장애","120"
"외과","17","N62","유방의 비대","114"
"외과","18","D17","양성 지방종성 신생물","103"
"외과","19","I77","동맥 및 소동맥의 기타장애","101"
"외과","20","K59","기타 기능적 창자 장애","100"
"응급실","1","R52","달리 분류되지 않은 통증","3229"
"응급실","2","M79","달리 분류되지 않은 기타 연조직장애","2292"
"응급실","3","M25","달리 분류되지 않은 기타 관절장애","1839"
"응급실","4","T14","상세불명의 신체부위의 손상","326"
"응급실","5","A09","감염성 및 상세불명 기원의 기타 위장염 및 대장염","312"
"응급실","6","K29","위염 및 십이지장염","228"
"응급실","7","L50","두드러기","173"
"응급실","8","R53","병감 및 피로","136"
"응급실","9","R42","현기 및 어지러움","132"
"응급실","10","J18","상세불명 병원체의 폐렴","131"
"응급실","11","R51","두통","115"
"응급실","12","S01","머리의 열린상처","113"
"응급실","13","R10","복부 및 골반통증","113"
"응급실","14","J00","급성 코인두염[감기]","111"
"응급실","15","M48","기타 척추병증","103"
"응급실","16","M54","배통","100"
"응급실","17","K59","기타 기능적 창자 장애","98"
"응급실","18","R07","인후 및 흉곽의 동통","95"
"응급실","19","M50","목뼈원판 장애","91"
"응급실","20","M51","기타 추간판장애","88"
"이비인후과","1","H93","달리 분류되지 않은 귀의 기타 장애","3535"
"이비인후과","2","J30","혈관운동성 및 앨러지성 비염","1955"
"이비인후과","3","J38","달리 분류되지 않은 성대및 후두의 질환","1904"
"이비인후과","4","J34","코 및 코옆굴의 기타 장애","1806"
"이비인후과","5","H90","전음성 및 감각신경성 청력소실","1192"
"이비인후과","6","J37","만성후두염 및 후두기관염","780"
"이비인후과","7","R42","현기 및 어지러움","375"
"이비인후과","8","J33","코폴립","341"
"이비인후과","9","J32","만성 부비동염","303"
"이비인후과","10","H60","외이염","265"
"이비인후과","11","H66","화농성 및 상세불명의 중이염","247"
"이비인후과","12","H61","외이의 기타장애","235"
"이비인후과","13","K12","입안염 및 관련 병터","234"
"이비인후과","14","R07","인후 및 흉곽의 동통","193"
"이비인후과","15","K14","혀의 질환","189"
"이비인후과","16","J31","만성비염. 비인두염 및 인두염","183"
"이비인후과","17","H65","비화농성 중이염","176"
"이비인후과","18","J04","급성 후두염 및 기관염","149"
"이비인후과","19","R04","호흡기도 출혈","132"
"이비인후과","20","R05","기침","93"
