"진료과","순위","상병코드","상병명","건수"
"DM","1","M79","달리 분류되지 않은 기타 연조직장애","1247"
"DM","2","M96","달리 분류되지 않은 처치후 근육골격 장애","601"
"DM","3","R52","달리 분류되지 않은 통증","572"
"가정의학과","1","I10","본태성(원발성) 고혈압","11352"
"가정의학과","2","E11","인슐린-비의존 당뇨병","5736"
"가정의학과","3","J00","급성 코인두염 [감기]","5547"
"가정의학과","4","E78","지질단백질대사장애 및 기타 지질증","3197"
"가정의학과","5","J06","다발성 및 상세불명 부위의 급성 상기도감염","3109"
"가정의학과","6","R53","병감 및 피로","2375"
"가정의학과","7","M81","병적골절이 없는 골다공증","2317"
"가정의학과","8","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","2177"
"가정의학과","9","R42","현기 및 어지러움","1761"
"가정의학과","10","E14","상세불명의 당뇨병","1624"
"가정의학과","11","K59","기타 기능적 창자 장애","1190"
"가정의학과","12","K29","위염 및 십이지장염","732"
"가정의학과","13","K30","소화불량","732"
"가정의학과","14","K21","위-식도역류병","510"
"가정의학과","15","R05","기침","414"
"가정의학과","16","G47","수면장애","369"
"가정의학과","17","N40","전립선증식증","367"
"가정의학과","18","J30","혈관운동성 및 앨러지성 비염","345"
"가정의학과","19","E03","기타 갑상선기능저하증","322"
"가정의학과","20","J44","기타 만성 폐쇄성 폐질환","316"
"감염내과","1","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","3275"
"감염내과","2","Z11","감염성 및 기생충성 질환에 대한 특수선별검사","2512"
"감염내과","3","R76","혈청의 기타 면역학적 이상소견","411"
"감염내과","4","U07","U07의 응급사용","342"
"감염내과","5","J00","급성 코인두염 [감기]","242"
"감염내과","6","Z20","전염성 질환에 접촉 및 노출","206"
"감염내과","7","L03","혈액 및 조혈기관의 질환과 면역기전을 침범한 특정 장애","142"
"감염내과","8","N39","비뇨기계통의 기타 장애","106"
"감염내과","9","J18","상세불명 병원체의 폐렴","84"
"감염내과","10","R50","원인 미상의 열","76"
"감염내과","11","B24","상세불명의 인체면역결핍바이러스병","41"
