진료과,순위,상명코드,상병명,건수
가정의학과,1,R63,음식 및 수액섭취에 관계된 증상 및 징후,4818
가정의학과,2,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,3885
가정의학과,3,J30,혈관운동성 및 앨러지성 비염,1942
가정의학과,4,U11,코로나-19에 대한 예방접종의 필요,1465
가정의학과,5,J00,급성 코인두염 [감기],1134
가정의학과,6,R53,병감 및 피로,1053
가정의학과,7,I10,본태성(원발성) 고혈압,928
가정의학과,8,E78,지질단백질대사장애 및 기타 지질증,687
가정의학과,9,Z00,호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사,591
가정의학과,10,R05,기침,574
가정의학과,11,K59,기타 기능적 창자 장애,382
가정의학과,12,E11,인슐린-비의존 당뇨병,291
가정의학과,13,F48,기타 신경성 장애,259
가정의학과,14,C34,기관지 및 폐의 악성 신생물,254
가정의학과,15,M79,달리 분류되지 않은 기타 연조직장애,227
가정의학과,16,J31,만성비염. 비인두염 및 인두염,175
가정의학과,17,F03,상세불명의 치매,172
가정의학과,18,K50,크론병[국한성 장염],149
가정의학과,19,B35,피부사상균증,134
가정의학과,20,K29,위염 및 십이지장염,130
감염내과,1,U07,U07의 응급사용,293
감염내과,2,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,91
감염내과,3,U11,코로나-19에 대한 예방접종의 필요,24
감염내과,4,T14,상세불명의 신체부위의 손상,24
감염내과,5,N39,비뇨기계통의 기타 장애,22
감염내과,6,R50,원인 미상의 열,17
감염내과,7,Z00,호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사,17
감염내과,8,A49,상세불명 부위의 세균성 감염,15
감염내과,9,J00,급성 코인두염 [감기],14
감염내과,10,L03,혈액 및 조혈기관의 질환과 면역기전을 침범한 특정 장애,13
감염내과,11,R07,인후 및 흉곽의 동통,12
감염내과,12,R52,달리 분류되지 않은 통증,10
감염내과,13,R59,림프절비대,9
감염내과,14,M79,달리 분류되지 않은 기타 연조직장애,8
감염내과,15,R51,두통,6
감염내과,16,U09,코로나-19 이후 병태,6
감염내과,17,R53,병감 및 피로,6
감염내과,18,U12,치료용으로 사용시 유해작용을 나타내는 코로나-19 백신,5
감염내과,19,L20,질병이환 및 사망의 외인,5
감염내과,20,N10,급성 세뇨관-사이질성 신염,5
내분비내과,1,E11,인슐린-비의존 당뇨병,14041
내분비내과,2,E03,기타 갑상선기능저하증,1062
내분비내과,3,E14,상세불명의 당뇨병,594
내분비내과,4,E04,기타 비중독성 갑상선종,584
내분비내과,5,E78,지질단백질대사장애 및 기타 지질증,452
내분비내과,6,E05,갑상선독증[갑상선기능항진증],225
내분비내과,7,E06,갑상선염,204
내분비내과,8,I10,본태성(원발성) 고혈압,173
내분비내과,9,E10,인슐린-의존 당뇨병,161
내분비내과,10,M81,병적골절이 없는 골다공증,68
내분비내과,11,D35,기타 및 상세불명의 내분비선의 양성 신생물,60
내분비내과,12,E23,뇌하수체의 기능저하증 및 기타 장애,47
내분비내과,13,E13,기타 명시된 당뇨병,33
내분비내과,14,R73,혈당치상승,33
내분비내과,15,G63,달리 분류된 질환에서의 다발신경병증,28
내분비내과,16,Z00,호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사,24
내분비내과,17,E27,부신의 기타 장애,24
내분비내과,18,E22,뇌하수체의 기능항진증,17
내분비내과,19,K29,위염 및 십이지장염,17
내분비내과,20,I11,고혈압성 심장병,16
비뇨의학과,1,N40,전립선증식증,26564
비뇨의학과,2,C61,전립선의 악성 신생물,4142
비뇨의학과,3,C67,방광의 악성 신생물,1133
비뇨의학과,4,N31,달리 분류되지 않은 방광의 신경근육기능장애,1050
비뇨의학과,5,N20,콩팥(신장)및 요관의 결석,993
비뇨의학과,6,N30,방광염,765
비뇨의학과,7,N39,비뇨기계통의 기타 장애,412
비뇨의학과,8,R31,상세불명의 혈뇨,256
비뇨의학과,9,N41,전립선의 염증성 질환,250
비뇨의학과,10,N32,방광의 기타 장애,243
비뇨의학과,11,N35,요도협착,206
비뇨의학과,12,N45,고환염 및 부고환염,186
비뇨의학과,13,C64,콩팥깔때기를  제외한 콩팥(신장)의 악성 신생물,183
비뇨의학과,14,N43,음낭수종 및 정액류,130
비뇨의학과,15,N28,달리 분류되지 않은 콩팥(신장)및 요관의 기타 장애,105
비뇨의학과,16,N21,하부요로의 결석,100
비뇨의학과,17,N10,급성 세뇨관-사이질성 신염,64
비뇨의학과,18,C65,콩팥깔때기의 악성 신생물,58
비뇨의학과,19,N48,음경의 기타 장애,56
비뇨의학과,20,U11,코로나-19에 대한 예방접종의 필요,56
산부인과,1,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,5116
산부인과,2,E30,달리 분류되지 않은 사춘기의 장애,442
산부인과,3,U11,코로나-19에 대한 예방접종의 필요,334
산부인과,4,N95,폐경기 및 기타 폐경기전후 장애,292
산부인과,5,N76,질 및 외음부의 기타 염증,163
산부인과,6,N30,방광염,55
산부인과,7,D25,자궁의 평활근종,35
산부인과,8,R87,여성생식기관 검사물의 이상소견,31
산부인과,9,N64,유방의 기타 장애,30
산부인과,10,Z01,호소증상 또는 보고된 진단명이 없는 사람의 기타 특수 검사 및 조사,30
산부인과,11,N83,난소. 난관 및 광 인대의 비염증성 장애,29
산부인과,12,B37,칸디다증,29
산부인과,13,L24,자극성 접촉피부염,23
산부인과,14,M81,병적골절이 없는 골다공증,22
산부인과,15,N80,자궁내막증,19
산부인과,16,N94,여성생식기관 및 월경주기와 관련된 통증 및 기타 병태,19
산부인과,17,R92,유방의 진단적 영상이상소견,17
산부인과,18,N91,무월경. 소량 및 희발 월경,17
산부인과,19,N93,기타 이상 자궁 및 질 출혈,15
산부인과,20,R68,기타 전신 증상 및 징후,12
소아청소년과,1,E30,달리 분류되지 않은 사춘기의 장애,14931
소아청소년과,2,E34,기타 내분비장애,2042
소아청소년과,3,J00,급성 코인두염 [감기],1346
소아청소년과,4,E23,뇌하수체의 기능저하증 및 기타 장애,712
소아청소년과,5,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,467
소아청소년과,6,J30,혈관운동성 및 앨러지성 비염,396
소아청소년과,7,U11,코로나-19에 대한 예방접종의 필요,349
소아청소년과,8,J20,급성 기관지염,332
소아청소년과,9,L20,질병이환 및 사망의 외인,285
소아청소년과,10,P05,태아성장지연 및 태아영양실조,243
