진료과,순위,상명코드,상병명,건수
가정의학과,1,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,5392
가정의학과,2,J00,급성 코인두염[감기],524
가정의학과,3,F00,알츠하이머병에서의 치매(G30.-+),367
가정의학과,4,I10,본태성(일차성)고혈압,307
가정의학과,5,Z00,호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사,301
가정의학과,6,K21,위-식도역류병,286
가정의학과,7,K29,위염 및 십이지장염,253
가정의학과,8,E11,인슐린-비의존 당뇨병,183
가정의학과,9,C34,기관지 및 폐의 악성 신생물,173
가정의학과,10,F03,상세불명의 치매,163
가정의학과,11,T65,기타 및 상세불명 물질의 중독작용,144
가정의학과,12,C25,췌장의 악성신생물,128
가정의학과,13,C18,결장의 악성 신생물,123
가정의학과,14,E78,지질단백질대사장애 및 기타 지질증,123
가정의학과,15,E66,비만,104
가정의학과,16,R94,기능검사의 이상결과,86
가정의학과,17,C22,간 및 간내담관의 악성 신생물,67
가정의학과,18,C16,위의 악성 신생물,66
가정의학과,19,R92,유방의 진단적 영상이상소견,64
가정의학과,20,K27,상세불명 부위의 소화성 궤양,64
감염내과,1,U07,U07의 응급사용,3694
감염내과,2,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,541
감염내과,3,Z11,감염성 및 기생충성 질환에 대한 특수선별검사,180
감염내과,4,Z10,한정된 소인구집단에 대한 정례적인 일반 건강점검,178
감염내과,5,Z20,전염성 질환에 접촉 및 노출,28
감염내과,6,Z22,감염성 질환의 보균자,25
감염내과,7,R50,원인 미상의 열,24
감염내과,8,J44,기타 만성 폐쇄성 폐질환,18
감염내과,9,Z24,특정한 단일 바이러스질환에 대한 예방접종의 필요,18
감염내과,10,T14,상세불명의 신체부위의 손상,17
감염내과,11,R05,기침,13
감염내과,12,N39,비뇨기계통의 기타 장애,13
감염내과,13,R91,폐의 진단적 영상상 이상소견,10
감염내과,14,J06,다발성 및 상세불명 부위의 급성 상기도감염,9
감염내과,15,E11,인슐린-비의존 당뇨병,9
감염내과,16,R09,순환기계통 및 호흡기계통을 침습한 기타 증상 및 징후,6
감염내과,17,I10,본태성(일차성)고혈압,6
감염내과,18,J30,혈관운동성 및 앨러지성 비염,6
감염내과,19,M17,윤충증,6
감염내과,20,R51,두통,4
내과,1,E11,인슐린-비의존 당뇨병,4485
내과,2,I10,본태성(일차성)고혈압,3739
내과,3,N18,만성 콩팥(신장)기능상실,2308
내과,4,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,1872
내과,5,K21,위-식도역류병,1264
내과,6,I20,협심증,1005
내과,7,K29,위염 및 십이지장염,931
