"진료과","순위","상명코드","상병명","건수"
"DM","1","M79","달리 분류되지 않은 기타 연조직장애","726"
"DM","2","R52","달리 분류되지 않은 통증","610"
"DM","3","M96","달리 분류되지 않은 처치후 근육골격 장애","375"
"가정의학과","1","I10","본태성(원발성) 고혈압","11687"
"가정의학과","2","E11","인슐린-비의존 당뇨병","6081"
"가정의학과","3","J00","급성 코인두염 [감기]","4778"
"가정의학과","4","E78","지질단백질대사장애 및 기타 지질증","3733"
"가정의학과","5","J06","다발성 및 상세불명 부위의 급성 상기도감염","2483"
"가정의학과","6","R53","병감 및 피로","2393"
"가정의학과","7","M81","병적골절이 없는 골다공증","2181"
"가정의학과","8","R42","현기 및 어지러움","2086"
"가정의학과","9","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","1631"
"가정의학과","10","E14","상세불명의 당뇨병","1390"
"가정의학과","11","K59","기타 기능적 창자 장애","1223"
"가정의학과","12","K30","소화불량","739"
"가정의학과","13","K29","위염 및 십이지장염","711"
"가정의학과","14","K21","위-식도역류병","537"
"가정의학과","15","E03","기타 갑상선기능저하증","489"
"가정의학과","16","J44","기타 만성 폐쇄성 폐질환","397"
"가정의학과","17","N40","전립선증식증","373"
"가정의학과","18","R05","기침","365"
"가정의학과","19","G47","수면장애","354"
"가정의학과","20","A09","감염성 및 상세불명 기원의 기타 위장염 및 결장염","345"
"감염내과","1","U07","U07의 응급사용","5456"
"감염내과","2","Z11","감염성 및 기생충성 질환에 대한 특수선별검사","2201"
"감염내과","3","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","1483"
"감염내과","4","Z22","감염성 질환의 보균자","229"
"감염내과","5","Z20","전염성 질환에 접촉 및 노출","223"
"감염내과","6","J00","급성 코인두염 [감기]","222"
"감염내과","7","L03","혈액 및 조혈기관의 질환과 면역기전을 침범한 특정 장애","105"
"감염내과","8","N39","비뇨기계통의 기타 장애","59"
"감염내과","9","T14","상세불명의 신체부위의 손상","58"
"감염내과","10","B24","상세불명의 인체면역결핍바이러스병","41"
"감염내과","11","R50","원인 미상의 열","41"
"감염내과","12","J11","바이러스가 확인되지 않은 인플루엔자","31"
"감염내과","13","J18","상세불명 병원체의 폐렴","31"
"감염내과","14","Z00","호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사","29"
"감염내과","15","B02","대상포진","25"
"감염내과","16","A52","만기매독","22"
"감염내과","17","Z24","특정한 단일 바이러스질환에 대한 예방접종의 필요","21"
"감염내과","18","J40","급성인지 만성인지 명시되지 않은 기관지염","19"
"감염내과","19","J03","급성 편도염","16"
"감염내과","20","A18","기타 장기의 결핵","15"
"감염병전담의학과","1","U07","U07의 응급사용","30"
"감염병전담의학과","2","U09","코로나-19 이후 병태","3"
"감염병전담의학과","3","B34","상세불명 부위의 바이러스감염","1"
"내과","1","A09","감염성 및 상세불명 기원의 기타 위장염 및 결장염","4"
"내과","2","K30","소화불량","2"
