"진료과","순위","상명코드","상병명","건수"
"가정의학과","1","R63","음식 및 수액섭취에 관계된 증상 및 징후","4444"
"가정의학과","2","J30","혈관운동성 및 앨러지성 비염","2275"
"가정의학과","3","J00","급성 코인두염 [감기]","1971"
"가정의학과","4","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","1582"
"가정의학과","5","B35","피부사상균증","726"
"가정의학과","6","I10","본태성(원발성) 고혈압","692"
"가정의학과","7","R05","기침","588"
"가정의학과","8","R53","병감 및 피로","588"
"가정의학과","9","E78","지질단백질대사장애 및 기타 지질증","564"
"가정의학과","10","Z11","감염성 및 기생충성 질환에 대한 특수선별검사","539"
"가정의학과","11","Z00","호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사","470"
"가정의학과","12","K59","기타 기능적 창자 장애","380"
"가정의학과","13","L21","지루피부염","289"
"가정의학과","14","F48","기타 신경성 장애","259"
"가정의학과","15","J31","만성비염. 비인두염 및 인두염","183"
"가정의학과","16","M79","달리 분류되지 않은 기타 연조직장애","164"
"가정의학과","17","K29","위염 및 십이지장염","159"
"가정의학과","18","Z01","호소증상 또는 보고된 진단명이 없는 사람의 기타 특수 검사 및 조사","143"
"가정의학과","19","J40","급성인지 만성인지 명시되지 않은 기관지염","140"
"가정의학과","20","L20","질병이환 및 사망의 외인","139"
"감염내과","1","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","773"
"감염내과","2","U07","U07의 응급사용","135"
"감염내과","3","E11","인슐린-비의존 당뇨병","86"
"감염내과","4","U09","코로나-19 이후 병태","32"
"감염내과","5","R50","원인 미상의 열","30"
"감염내과","6","A49","상세불명 부위의 세균성 감염","26"
"감염내과","7","B34","상세불명 부위의 바이러스감염","16"
"감염내과","8","N39","비뇨기계통의 기타 장애","16"
"감염내과","9","L03","혈액 및 조혈기관의 질환과 면역기전을 침범한 특정 장애","16"
"감염내과","10","B02","대상포진","14"
"감염내과","11","J03","급성 편도염","10"
"감염내과","12","T14","상세불명의 신체부위의 손상","10"
"감염내과","13","R89","기타 기관. 계 및 조직으로부터의 검사재료의 이상 소견","8"
"감염내과","14","N10","급성 세뇨관-사이질성 신염","8"
"감염내과","15","N30","방광염","7"
"감염내과","16","J20","급성 기관지염","6"
"감염내과","17","A53","기타 및 상세불명의 매독","6"
"감염내과","18","J15","달리 분류되지 않은 세균폐렴","6"
"감염내과","19","B00","헤르페스바이러스[단순헤르페스] 감염","5"
"감염내과","20","A09","감염성 및 상세불명 기원의 기타 위장염 및 결장염","4"
"내분비내과","1","E11","인슐린-비의존 당뇨병","12675"
"내분비내과","2","E03","기타 갑상선기능저하증","1035"
"내분비내과","3","E04","기타 비중독성 갑상선종","522"
"내분비내과","4","E14","상세불명의 당뇨병","447"
"내분비내과","5","E78","지질단백질대사장애 및 기타 지질증","410"
"내분비내과","6","E05","갑상선독증[갑상선기능항진증]","174"
"내분비내과","7","E06","갑상선염","150"
