"진료과","순위","상명코드","상병명","건수"
"가정의학과","1","E86","체액용적고갈","11353"
"가정의학과","2","Z29","기타 예방적 조치의 필요","4292"
"가정의학과","3","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","4289"
"가정의학과","4","I10","본태성(일차성)고혈압","1701"
"가정의학과","5","U07","U07의 응급사용","1167"
"가정의학과","6","J30","혈관운동성 및 앨러지성 비염","1028"
"가정의학과","7","E78","지질단백질대사장애 및 기타 지질증","757"
"가정의학과","8","J02","급성 인두염","632"
"가정의학과","9","J00","급성 코인두염[감기]","543"
"가정의학과","10","E11","인슐린-비의존 당뇨병","496"
"가정의학과","11","J06","다발성 및 상세불명 부위의 급성 상기도감염","457"
"가정의학과","12","M81","병적골절이 없는 골다공증","317"
"가정의학과","13","K29","위염 및 십이지장염","311"
"가정의학과","14","J20","급성 기관지염","186"
"가정의학과","15","K59","기타 기능적 창자 장애","179"
"가정의학과","16","Z00","호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사","150"
"가정의학과","17","C25","췌장의 악성신생물","149"
"가정의학과","18","K21","위-식도역류병","129"
"가정의학과","19","R63","음식 및 수액섭취에 관계된 증상 및 징후","99"
"가정의학과","20","G47","수면장애","98"
"내과","1","I10","본태성(일차성)고혈압","1903"
"내과","2","E11","인슐린-비의존 당뇨병","1421"
"내과","3","N18","만성 콩팥(신장)기능상실","1359"
"내과","4","E78","지질단백질대사장애 및 기타 지질증","438"
"내과","5","E87","수분. 전해질 및 산-염기균형의 기타장애","203"
"내과","6","R60","달리 분류되지 않은 부종","183"
"내과","7","K29","위염 및 십이지장염","148"
"내과","8","I20","협심증","136"
"내과","9","R80","고립성 단백뇨증","90"
"내과","10","E12","영양실조와 관련된 당뇨병","81"
"내과","11","K21","위-식도역류병","59"
"내과","12","E14","상세불명의 당뇨병","38"
"내과","13","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","38"
"내과","14","N10","급성 세뇨관-사이질성 신염","31"
"내과","15","E10","인슐린-의존 당뇨병","31"
"내과","16","N17","급성 콩팥(신장)기능상실","30"
"내과","17","E03","기타 갑상선기능저하증","30"
"내과","18","E79","퓨린 및 피리미딘의 대사장애","29"
"내과","19","J44","기타 만성 폐쇄성 폐질환","28"
"내과","20","N39","비뇨기계통의 기타 장애","26"
"내분비내과","1","E11","인슐린-비의존 당뇨병","6790"
"내분비내과","2","I10","본태성(일차성)고혈압","656"
"내분비내과","3","E03","기타 갑상선기능저하증","495"
"내분비내과","4","E78","지질단백질대사장애 및 기타 지질증","386"
"내분비내과","5","E05","갑상선독증[갑상선기능항진증]","228"
"내분비내과","6","M81","병적골절이 없는 골다공증","133"
"내분비내과","7","R73","혈당치상승","129"
"내분비내과","8","D35","기타 및 상세불명의 내분비선의 양성 신생물","78"
"내분비내과","9","E10","인슐린-의존 당뇨병","46"
"내분비내과","10","E04","기타 비중독성 갑상선종","38"
"내분비내과","11","E27","부신의 기타 장애","38"
"내분비내과","12","M85","뼈 밀도 및 구조의 기타 장애","29"
"내분비내과","13","Z00","호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사","26"
"내분비내과","14","E23","뇌하수체의 기능저하증 및 기타 장애","25"
"내분비내과","15","K21","위-식도역류병","18"
"내분비내과","16","C73","갑상선의 악성 신생물","13"
"내분비내과","17","R61","다한증","13"
"내분비내과","18","K29","위염 및 십이지장염","13"
"내분비내과","19","K59","기타 기능적 창자 장애","12"
"내분비내과","20","E16","췌장성 내분비의 기타 장애","10"
"류마티스내과","1","E11","인슐린-비의존 당뇨병","1536"
"류마티스내과","2","I10","본태성(일차성)고혈압","1033"
"류마티스내과","3","M10","활막 및 건 장애","435"
"류마티스내과","4","M15","진균증","291"
"류마티스내과","5","M05","흑색종 및 피부의 기타 악성 신생물","236"
"류마티스내과","6","M19","연기, 불 및 화염에 노출","227"
"류마티스내과","7","E78","지질단백질대사장애 및 기타 지질증","128"
"류마티스내과","8","M35","달리 분류된 질환 및 사망원인과 관련된 보조 요인","101"
"류마티스내과","9","Z95","심장 및 혈관 삽입물 및 이식편의 존재","85"
"류마티스내과","10","I20","협심증","73"
"류마티스내과","11","I48","심방세동 및 조동","60"
"류마티스내과","12","E79","퓨린 및 피리미딘의 대사장애","56"
"류마티스내과","13","M45","강직척추염","48"
"류마티스내과","14","M79","달리 분류되지 않은 기타 연조직장애","45"
