진료과,순위,상명코드,상병명,건수
가정의학과,1,I10,본태성(원발성) 고혈압,4329
가정의학과,2,E11,인슐린-비의존 당뇨병,4005
가정의학과,3,R53,병감 및 피로,3387
가정의학과,4,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,1799
가정의학과,5,R03,진단명 없는 혈압수치이상,1486
가정의학과,6,E78,지질단백질대사장애 및 기타 지질증,1357
가정의학과,7,J00,급성 코인두염 [감기],1048
가정의학과,8,R05,기침,996
가정의학과,9,J42,상세불명의 만성 기관지염,531
가정의학과,10,J30,혈관운동성 및 앨러지성 비염,314
가정의학과,11,K59,기타 기능적 창자 장애,194
가정의학과,12,K30,소화불량,173
가정의학과,13,U28,소화계통의 질환,167
가정의학과,14,C34,기관지 및 폐의 악성 신생물,125
가정의학과,15,Z00,호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사,117
가정의학과,16,R69,미상 및 상세불명의 병인,115
가정의학과,17,U07,U07의 응급사용,113
가정의학과,18,E03,기타 갑상선기능저하증,90
가정의학과,19,C18,결장의 악성 신생물,89
가정의학과,20,C25,췌장의 악성신생물,87
내분비내과,1,E11,인슐린-비의존 당뇨병,12421
내분비내과,2,E03,기타 갑상선기능저하증,875
내분비내과,3,R73,혈당치상승,531
내분비내과,4,E04,기타 비중독성 갑상선종,479
내분비내과,5,E06,갑상선염,273
내분비내과,6,I10,본태성(원발성) 고혈압,237
내분비내과,7,E05,갑상선독증[갑상선기능항진증],179
내분비내과,8,E78,지질단백질대사장애 및 기타 지질증,172
내분비내과,9,D35,기타 및 상세불명의 내분비선의 양성 신생물,111
내분비내과,10,Z08,악성신생물의 치료후 추후검사,69
내분비내과,11,E10,인슐린-의존 당뇨병,59
내분비내과,12,E14,상세불명의 당뇨병,59
내분비내과,13,I11,고혈압성 심장병,49
내분비내과,14,E27,부신의 기타 장애,38
내분비내과,15,M80,병적 골절을 동반한 골다공증,30
내분비내과,16,C73,갑상선의 악성 신생물,26
내분비내과,17,M81,병적골절이 없는 골다공증,22
내분비내과,18,M85,뼈 밀도 및 구조의 기타 장애,19
내분비내과,19,R53,병감 및 피로,19
내분비내과,20,E23,뇌하수체의 기능저하증 및 기타 장애,18
류마티스내과,1,M15,진균증,1628
류마티스내과,2,M10,활막 및 건 장애,1556
류마티스내과,3,M05,흑색종 및 피부의 기타 악성 신생물,585
류마티스내과,4,M81,병적골절이 없는 골다공증,262
류마티스내과,5,M06,피부 및 피하조직의 방사선 관련성 장애,252
류마티스내과,6,M45,강직척추염,159
류마티스내과,7,M35,달리 분류된 질환 및 사망원인과 관련된 보조 요인,112
류마티스내과,8,G54,신경뿌리 및 신경총 장애,48
류마티스내과,9,M32,진단 및 치료에 이용되는 의료장치에 의한 부작용,43
류마티스내과,10,M34,질환과 사망의 외인의 후유증,30
류마티스내과,11,M46,기타 염증성 척추병증,28
류마티스내과,12,M79,달리 분류되지 않은 기타 연조직장애,25
류마티스내과,13,M19,"연기, 불 및 화염에 노출",22
류마티스내과,14,I73,기타 말초혈관질환,14
류마티스내과,15,M85,뼈 밀도 및 구조의 기타 장애,12
류마티스내과,16,M62,기타 근장애,11
류마티스내과,17,M48,기타 척추병증,10
류마티스내과,18,K12,입안염 및 관련 병터,10
류마티스내과,19,G56,팔의 단일신경병증,9
류마티스내과,20,M94,연골의 기타 장애,8
비뇨의학과,1,N40,전립선증식증,29449
비뇨의학과,2,N31,달리 분류되지 않은 방광의 신경근육기능장애,7543
비뇨의학과,3,C61,전립선의 악성 신생물,6618
