"진료과","순위","상명코드","상병명","건수"
"DM","1","M79","달리 분류되지 않은 기타 연조직장애","847"
"DM","2","R52","달리 분류되지 않은 통증","645"
"DM","3","M96","달리 분류되지 않은 처치후 근육골격 장애","365"
"가정의학과","1","E11","인슐린-비의존 당뇨병","6109"
"가정의학과","2","I10","본태성(원발성) 고혈압","5493"
"가정의학과","3","R05","기침","3377"
"가정의학과","4","R42","현기 및 어지러움","3287"
"가정의학과","5","E78","지질단백질대사장애 및 기타 지질증","2190"
"가정의학과","6","R53","병감 및 피로","1782"
"가정의학과","7","J00","급성 코인두염 [감기]","1594"
"가정의학과","8","R63","음식 및 수액섭취에 관계된 증상 및 징후","1340"
"가정의학과","9","M81","병적골절이 없는 골다공증","1229"
"가정의학과","10","R73","혈당치상승","1094"
"가정의학과","11","I70","죽상경화증","1065"
"가정의학과","12","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","867"
"가정의학과","13","G47","수면장애","820"
"가정의학과","14","R12","속쓰림","762"
"가정의학과","15","E03","기타 갑상선기능저하증","726"
"가정의학과","16","J06","다발성 및 상세불명 부위의 급성 상기도감염","699"
"가정의학과","17","R19","소화기계통 및 복부에 침습한 기타 증상 및 징후","578"
"가정의학과","18","J44","기타 만성 폐쇄성 폐질환","574"
"가정의학과","19","K59","기타 기능적 창자 장애","510"
"가정의학과","20","E14","상세불명의 당뇨병","406"
"감염내과","1","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","5672"
"감염내과","2","U07","U07의 응급사용","1096"
"감염내과","3","Z11","감염성 및 기생충성 질환에 대한 특수선별검사","959"
"감염내과","4","Z20","전염성 질환에 접촉 및 노출","542"
"감염내과","5","Z22","감염성 질환의 보균자","454"
"감염내과","6","J00","급성 코인두염 [감기]","211"
"감염내과","7","J18","상세불명 병원체의 폐렴","90"
"감염내과","8","N41","전립선의 염증성 질환","81"
"감염내과","9","N39","비뇨기계통의 기타 장애","58"
"감염내과","10","L03","혈액 및 조혈기관의 질환과 면역기전을 침범한 특정 장애","58"
"감염내과","11","Z00","호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사","53"
"감염내과","12","T14","상세불명의 신체부위의 손상","51"
"감염내과","13","A41","기타 패혈증","46"
"감염내과","14","U09","코로나-19 이후 병태","34"
"감염내과","15","B24","상세불명의 인체면역결핍바이러스병","32"
"감염내과","16","R50","원인 미상의 열","28"
"감염내과","17","J11","바이러스가 확인되지 않은 인플루엔자","26"
"감염내과","18","J20","급성 기관지염","24"
"감염내과","19","J40","급성인지 만성인지 명시되지 않은 기관지염","23"
"감염내과","20","A52","만기매독","22"
"구강내과","1","K07","치아얼굴이상[부정교합포함]","100"
"구강내과","2","K08","치아 및 지지구조의 기타 장애","26"
"구강내과","3","K11","타액선의 질환","12"
"구강내과","4","K12","입안염 및 관련 병터","12"
"구강내과","5","K13","입술 및 구강점막의 기타 질환","7"
"구강내과","6","F45","신체형장애","5"
"구강내과","7","M19","연기, 불 및 화염에 노출","4"
"구강내과","8","K05","치은염(잇몸염)및 치주 질환","3"
"구강내과","9","K02","치아우식증","3"
"구강내과","10","K03","치아경조직의 기타 질환","3"
"구강내과","11","B37","칸디다증","3"
"구강내과","12","G51","얼굴신경 장애","2"
"구강내과","13","D18","모든 부위의 혈관종 및 림프관종","2"
"구강내과","14","L28","만성 단순태선 및 양진","2"
"구강내과","15","K04","치수 및 치근단주위조직의 질환","1"
"구강내과","16","D16","뼈 및 관절연골의 양성 신생물","1"
"구강악안면외과","1","K08","치아 및 지지구조의 기타 장애","153"
"구강악안면외과","2","K02","치아우식증","20"
"구강악안면외과","3","K05","치은염(잇몸염)및 치주 질환","11"
"구강악안면외과","4","S02","머리뼈 및 얼굴뼈의 골절","1"
"내분비내과","1","E11","인슐린-비의존 당뇨병","41355"
"내분비내과","2","E03","기타 갑상선기능저하증","3618"
"내분비내과","3","E04","기타 비중독성 갑상선종","1932"
"내분비내과","4","C73","갑상선의 악성 신생물","1319"
"내분비내과","5","E78","지질단백질대사장애 및 기타 지질증","1222"
"내분비내과","6","E07","갑상선의 기타 장애","1073"
"내분비내과","7","E05","갑상선독증[갑상선기능항진증]","764"
"내분비내과","8","M81","병적골절이 없는 골다공증","757"
"내분비내과","9","D35","기타 및 상세불명의 내분비선의 양성 신생물","464"
"내분비내과","10","R73","혈당치상승","238"
"내분비내과","11","E10","인슐린-의존 당뇨병","236"
"내분비내과","12","I10","본태성(원발성) 고혈압","233"
"내분비내과","13","E27","부신의 기타 장애","187"
"내분비내과","14","E89","달리 분류되지 않은 처치후의 내분비및 대사장애","149"
"내분비내과","15","E55","비타민D결핍","132"
"내분비내과","16","E23","뇌하수체의 기능저하증 및 기타 장애","118"
"내분비내과","17","E21","부갑상선기능항진증 및 부갑상선의 기타장애","82"
"내분비내과","18","M80","병적 골절을 동반한 골다공증","61"
"내분비내과","19","E14","상세불명의 당뇨병","60"
"내분비내과","20","E06","갑상선염","58"
"류마티스내과","1","M10","활막 및 건 장애","4019"
"류마티스내과","2","M05","흑색종 및 피부의 기타 악성 신생물","2042"
"류마티스내과","3","M19","연기, 불 및 화염에 노출","1588"
"류마티스내과","4","M79","달리 분류되지 않은 기타 연조직장애","1571"
"류마티스내과","5","M06","피부 및 피하조직의 방사선 관련성 장애","822"
"류마티스내과","6","M13","추 락","730"
"류마티스내과","7","M45","강직척추염","457"
"류마티스내과","8","M35","달리 분류된 질환 및 사망원인과 관련된 보조 요인","388"
"류마티스내과","9","M12","체간, 사지 또는 신체부위의 상세불명 부분의 손상","163"
"류마티스내과","10","I73","기타 말초혈관질환","157"
"류마티스내과","11","E79","퓨린 및 피리미딘의 대사장애","151"
"류마티스내과","12","R68","기타 전신 증상 및 징후","83"
"류마티스내과","13","K12","입안염 및 관련 병터","74"
"류마티스내과","14","D89","달리 분류되지 않은 면역메커니즘을 침범한 기타 장애","74"
"류마티스내과","15","M07","피부 부속기의 장애","38"
"류마티스내과","16","M32","진단 및 치료에 이용되는 의료장치에 의한 부작용","25"
"류마티스내과","17","M48","기타 척추병증","24"
"류마티스내과","18","Z00","호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사","23"
"류마티스내과","19","M31","외관적 및 내과적 치료중 환자의 재난","23"
"류마티스내과","20","M25","달리 분류되지 않은 기타 관절장애","20"
"방사선종양학과","1","C61","전립선의 악성 신생물","3730"
"방사선종양학과","2","C34","기관지 및 폐의 악성 신생물","1895"
"방사선종양학과","3","C32","후두의 악성 신생물","332"
"방사선종양학과","4","C22","간 및 간내담관의 악성 신생물","309"
"방사선종양학과","5","C50","유방의 악성 신생물","292"
"방사선종양학과","6","C20","직장의 악성 신생물","207"
"방사선종양학과","7","C67","방광의 악성 신생물","175"
"방사선종양학과","8","C25","췌장의 악성신생물","143"
"방사선종양학과","9","C79","기타 부위의 속발성 악성 신생물","90"
"방사선종양학과","10","C08","기타 및 상세불명의 주타액선의 악성 신생물","83"
"방사선종양학과","11","C09","편도의 악성 신생물","63"
"방사선종양학과","12","C24","담도의 기타 및 상세불명 부분의 악성 신생물","63"
"방사선종양학과","13","C13","하인두의 악성 신생물","61"
"방사선종양학과","14","C83","비소포성 림프종(94쪽 세분류 참조)","52"
"방사선종양학과","15","C77","림프절의 이차성 및 상세불명의 악성 신생물","46"
"방사선종양학과","16","C78","호흡기 및 소화기관의 속발성 악성 신생물","39"
"방사선종양학과","17","C06","입의 기타 및 상세불명 부분의 악성 신생물","34"
"방사선종양학과","18","C23","쓸개(담낭)의 악성 신생물","33"
"방사선종양학과","19","C44","피부의 기타 악성 신생물","32"
"방사선종양학과","20","C11","코인두의 악성 신생물","31"
"비뇨의학과","1","N40","전립선증식증","57256"
"비뇨의학과","2","C61","전립선의 악성 신생물","13957"
"비뇨의학과","3","N31","달리 분류되지 않은 방광의 신경근육기능장애","5364"
"비뇨의학과","4","C67","방광의 악성 신생물","2461"
"비뇨의학과","5","N20","콩팥(신장)및 요관의 결석","1618"
"비뇨의학과","6","N39","비뇨기계통의 기타 장애","1139"
"비뇨의학과","7","R31","상세불명의 혈뇨","1053"
"비뇨의학과","8","C64","콩팥깔때기를  제외한 콩팥(신장)의 악성 신생물","682"
"비뇨의학과","9","N30","방광염","564"
"비뇨의학과","10","N32","방광의 기타 장애","513"
"비뇨의학과","11","N41","전립선의 염증성 질환","498"
"비뇨의학과","12","R35","다뇨증","439"
"비뇨의학과","13","N28","달리 분류되지 않은 콩팥(신장)및 요관의 기타 장애","394"
"비뇨의학과","14","N48","음경의 기타 장애","373"
"비뇨의학과","15","N35","요도협착","328"
"비뇨의학과","16","D09","기타 및 상세불명 부위의 제자리암종","320"
"비뇨의학과","17","N21","하부요로의 결석","307"
"비뇨의학과","18","U07","U07의 응급사용","246"
"비뇨의학과","19","F52","기질적 장애나 질병에 의하지 않은 성기능 이상","242"
"비뇨의학과","20","N13","폐쇄성 및 역류성 요로병증","205"
"산부인과","1","D25","자궁의 평활근종","2732"
"산부인과","2","N60","양성 유방형성이상","2044"
"산부인과","3","N39","비뇨기계통의 기타 장애","1837"
"산부인과","4","M81","병적골절이 없는 골다공증","1653"
"산부인과","5","N95","폐경기 및 기타 폐경기전후 장애","1190"
"산부인과","6","N84","여성생식관의 폴립","713"
"산부인과","7","N85","자궁경부를 제외한 자궁의 기타 비염증성 장애","685"
"산부인과","8","N83","난소. 난관 및 광 인대의 비염증성 장애","602"
"산부인과","9","N31","달리 분류되지 않은 방광의 신경근육기능장애","564"
"산부인과","10","R68","기타 전신 증상 및 징후","509"
"산부인과","11","R87","여성생식기관 검사물의 이상소견","466"
"산부인과","12","N81","여성생식기탈출","455"
"산부인과","13","N30","방광염","359"
"산부인과","14","R35","다뇨증","317"
"산부인과","15","N87","자궁목의 형성이상","278"
"산부인과","16","N72","자궁목의 염증성 질환","269"
"산부인과","17","N93","기타 이상 자궁 및 질 출혈","238"
"산부인과","18","D27","난소의 양성 신생물","191"
"산부인과","19","N80","자궁내막증","173"
"산부인과","20","R32","상세불명의 요실금","168"
"성형외과","1","L89","욕창성 및 압박부위 궤양","1188"
"성형외과","2","R22","피부 및 피하조직의 국한적 종창. 종괴 및 소괴","1187"
"성형외과","3","C44","피부의 기타 악성 신생물","193"
"성형외과","4","E14","상세불명의 당뇨병","126"
"성형외과","5","T24","발목 및 발을 제외한 엉덩이 및 다리의 화상 및 부식","97"
"성형외과","6","D04","피부의 제자리암종","92"
"성형외과","7","C49","기타 결합조직 및 연조직의 악성 신생물","59"
"성형외과","8","T22","손목 및 손을 제외한 어깨팔의 화상 및 부식","55"
"성형외과","9","L90","피부의 위축장애","43"
"성형외과","10","S81","아래다리의 열린상처","42"
"성형외과","11","T25","발목 및 발의 화상 및 부식","34"
"성형외과","12","T14","상세불명의 신체부위의 손상","33"
"성형외과","13","L98","달리 분류되지 않은 피부 및 피하조직의 기타 장애","33"
"성형외과","14","D22","색소 세포성 모반","28"
"성형외과","15","T21","체간의 화상 및 부식","26"
"성형외과","16","Z41","건강상태개선 이외의 목적으로 이루어진 처치를 위하여 보건서비스와 접하고 있는 사람","25"
"성형외과","17","S01","머리의 열린상처","25"
"성형외과","18","D17","양성 지방종성 신생물","23"
"성형외과","19","L91","피부의 비대성 장애","19"
"성형외과","20","C00","입술의 악성신생물","19"
"소아청소년과","1","Z00","호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사","384"
"소아청소년과","2","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","208"
"소아청소년과","3","E22","뇌하수체의 기능항진증","94"
"소아청소년과","4","J18","상세불명 병원체의 폐렴","54"
"소아청소년과","5","E34","기타 내분비장애","49"
"소아청소년과","6","E30","달리 분류되지 않은 사춘기의 장애","47"
"소아청소년과","7","E66","비만","45"
"소아청소년과","8","J30","혈관운동성 및 앨러지성 비염","39"
"소아청소년과","9","J00","급성 코인두염 [감기]","38"
"소아청소년과","10","R68","기타 전신 증상 및 징후","34"
"소아청소년과","11","J31","만성비염. 비인두염 및 인두염","31"
"소아청소년과","12","J02","급성 인두염","22"
"소아청소년과","13","J40","급성인지 만성인지 명시되지 않은 기관지염","21"
"소아청소년과","14","J06","다발성 및 상세불명 부위의 급성 상기도감염","20"
"소아청소년과","15","H66","화농성 및 상세불명의 중이염","18"
"소아청소년과","16","U07","U07의 응급사용","18"
"소아청소년과","17","J11","바이러스가 확인되지 않은 인플루엔자","14"
"소아청소년과","18","J20","급성 기관지염","13"
"소아청소년과","19","J01","급성 부비동염","13"
"소아청소년과","20","I10","본태성(원발성) 고혈압","11"
"소화기내과","1","K21","위-식도역류병","5716"
"소화기내과","2","K59","기타 기능적 창자 장애","3569"
"소화기내과","3","K29","위염 및 십이지장염","2803"
"소화기내과","4","K63","창자의 기타 질환","2445"
"소화기내과","5","D13","기타 및 부위불명의 소화계통의 양성 신생물","2425"
"소화기내과","6","K20","식도염","2330"
"소화기내과","7","C16","위의 악성 신생물","2084"
"소화기내과","8","K80","담석증","2022"
"소화기내과","9","K74","간의 섬유증 및 경화증","2018"
"소화기내과","10","B18","만성 바이러스간염","1809"
"소화기내과","11","K73","달리 분류되지 않은 만성 간염","1474"
"소화기내과","12","C22","간 및 간내담관의 악성 신생물","1348"
"소화기내과","13","D12","결장. 직장. 항문 및 항문관의 양성 신생물","1252"
"소화기내과","14","K30","소화불량","1133"
"소화기내과","15","K76","간의 기타 질환","982"
"소화기내과","16","D37","구강 및 소화기관의 행동양식 불명 또는 미상의 신생물","850"
"소화기내과","17","K25","위궤양","628"
"소화기내과","18","R94","기능검사의 이상결과","611"
"소화기내과","19","K86","췌장의 기타 질환","589"
"소화기내과","20","E11","인슐린-비의존 당뇨병","563"
"수면다원검사과","1","G47","수면장애","319"
"수면다원검사과","2","F51","비기질적 수면 장애","36"
"수면다원검사과","3","R06","호흡의 이상","20"
