진료과,순위,상명코드,상병명,건수
가정의학과,1,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,3543
가정의학과,2,J00,급성 코인두염[감기],990
가정의학과,3,F00,알츠하이머병에서의 치매(G30.-+),612
가정의학과,4,F03,상세불명의 치매,478
가정의학과,5,I10,본태성(일차성)고혈압,334
가정의학과,6,C34,기관지 및 폐의 악성 신생물,264
가정의학과,7,K29,위염 및 십이지장염,256
가정의학과,8,Z00,호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사,233
가정의학과,9,K21,위-식도역류병,210
가정의학과,10,C16,위의 악성 신생물,186
가정의학과,11,R53,병감 및 피로,185
가정의학과,12,E11,인슐린-비의존 당뇨병,155
가정의학과,13,I63,뇌경색증,121
가정의학과,14,E78,지질단백질대사장애 및 기타 지질증,115
가정의학과,15,C20,직장의 악성 신생물,106
가정의학과,16,T65,기타 및 상세불명 물질의 중독작용,95
가정의학과,17,D24,유방의 양성 신생물,94
가정의학과,18,C18,결장의 악성 신생물,88
가정의학과,19,K59,기타 기능적 창자 장애,77
가정의학과,20,R94,기능검사의 이상결과,76
감염내과,1,Z10,한정된 소인구집단에 대한 정례적인 일반 건강점검,629
감염내과,2,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,300
감염내과,3,U07,U07의 응급사용,189
감염내과,4,Z11,감염성 및 기생충성 질환에 대한 특수선별검사,154
감염내과,5,R50,원인 미상의 열,50
감염내과,6,T14,상세불명의 신체부위의 손상,44
감염내과,7,Z24,특정한 단일 바이러스질환에 대한 예방접종의 필요,27
감염내과,8,R09,순환기계통 및 호흡기계통을 침습한 기타 증상 및 징후,22
감염내과,9,R91,폐의 진단적 영상상 이상소견,20
감염내과,10,A15,세균학적 및 조직학적으로 확인된 호흡기결핵,19
감염내과,11,N39,비뇨기계통의 기타 장애,17
감염내과,12,E11,인슐린-비의존 당뇨병,17
감염내과,13,R05,기침,15
감염내과,14,Z22,감염성 질환의 보균자,14
감염내과,15,Z00,호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사,13
감염내과,16,I10,본태성(일차성)고혈압,11
감염내과,17,L03,혈액 및 조혈기관의 질환과 면역기전을 침범한 특정 장애,11
감염내과,18,J44,기타 만성 폐쇄성 폐질환,10
감염내과,19,N10,급성 세뇨관-사이질성 신염,10
감염내과,20,J06,다발성 및 상세불명 부위의 급성 상기도감염,8
내과,1,I50,심장기능상실(심부전),1
내과,2,D13,기타 및 부위불명의 소화계통의 양성 신생물,1
내과,3,K21,위-식도역류병,1
내분비내과,1,E11,인슐린-비의존 당뇨병,7157
내분비내과,2,I10,본태성(일차성)고혈압,834
내분비내과,3,E78,지질단백질대사장애 및 기타 지질증,649
내분비내과,4,E03,기타 갑상선기능저하증,317
내분비내과,5,R73,혈당치상승,225
내분비내과,6,J44,기타 만성 폐쇄성 폐질환,134
내분비내과,7,E05,갑상선독증[갑상선기능항진증],109
내분비내과,8,D35,기타 및 상세불명의 내분비선의 양성 신생물,101
내분비내과,9,Z00,호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사,85
내분비내과,10,J45,천식,81
내분비내과,11,J98,기타 호흡장애,75
내분비내과,12,M81,병적골절이 없는 골다공증,64
내분비내과,13,J69,고체 및 액체에 의한 폐염,46
내분비내과,14,E07,갑상선의 기타 장애,46
내분비내과,15,N18,만성 콩팥(신장)기능상실,45
내분비내과,16,E04,기타 비중독성 갑상선종,36
내분비내과,17,E27,부신의 기타 장애,35
내분비내과,18,J18,상세불명 병원체의 폐렴,34
내분비내과,19,R53,병감 및 피로,29
내분비내과,20,C34,기관지 및 폐의 악성 신생물,27
마취통증의학과,1,M48,기타 척추병증,1070
마취통증의학과,2,M51,기타 추간판장애,645
마취통증의학과,3,S43,"팔이음뼈의 관절 및 인대의 탈구, 염좌 및 긴장",288
마취통증의학과,4,M54,배통,213
마취통증의학과,5,M50,목뼈원판 장애,162
마취통증의학과,6,M17,윤충증,125
마취통증의학과,7,M75,어깨병변,95
마취통증의학과,8,M79,달리 분류되지 않은 기타 연조직장애,50
마취통증의학과,9,G53,달리 분류된 질환에서의 뇌신경장애,35
마취통증의학과,10,H91,기타 청력소실,17
마취통증의학과,11,G44,기타 두통증후군,17
마취통증의학과,12,B02,대상포진,13
마취통증의학과,13,M77,기타 골부착부병증,8
마취통증의학과,14,S72,대퇴골의 골절,3
마취통증의학과,15,M96,달리 분류되지 않은 처치후 근육골격 장애,3
마취통증의학과,16,M45,강직척추염,2
비뇨의학과,1,N40,전립선증식증,24945
비뇨의학과,2,C61,전립선의 악성 신생물,4798
비뇨의학과,3,N31,달리 분류되지 않은 방광의 신경근육기능장애,3455
비뇨의학과,4,R35,다뇨증,2122
비뇨의학과,5,N39,비뇨기계통의 기타 장애,751
비뇨의학과,6,N32,방광의 기타 장애,710
비뇨의학과,7,C67,방광의 악성 신생물,695
비뇨의학과,8,R31,상세불명의 혈뇨,565
비뇨의학과,9,N30,방광염,484
비뇨의학과,10,N20,콩팥(신장)및 요관의 결석,449
비뇨의학과,11,Q61,낭성 콩팥(신장)병,351
비뇨의학과,12,N35,요도협착,261
비뇨의학과,13,N45,고환염 및 부고환염,153
비뇨의학과,14,N28,달리 분류되지 않은 콩팥(신장)및 요관의 기타 장애,131
비뇨의학과,15,N41,전립선의 염증성 질환,125
비뇨의학과,16,C64,콩팥깔때기를  제외한 콩팥(신장)의 악성 신생물,124
비뇨의학과,17,N43,음낭수종 및 정액류,113
비뇨의학과,18,N21,하부요로의 결석,69
비뇨의학과,19,N48,음경의 기타 장애,66
비뇨의학과,20,D17,양성 지방종성 신생물,62
산부인과,1,M81,병적골절이 없는 골다공증,2151
산부인과,2,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,1113
산부인과,3,T97,출처가 주로 비의약품인 물질의 독성효과의 후유증,768
산부인과,4,N95,폐경기 및 기타 폐경기전후 장애,456
산부인과,5,N64,유방의 기타 장애,190
산부인과,6,N30,방광염,100
산부인과,7,D25,자궁의 평활근종,93
산부인과,8,N83,난소. 난관 및 광 인대의 비염증성 장애,50
산부인과,9,R82,요의 기타 이상소견,40
산부인과,10,N94,여성생식기관 및 월경주기와 관련된 통증 및 기타 병태,39
산부인과,11,N76,질 및 외음부의 기타 염증,30
산부인과,12,N71,자궁목을 제외한 자궁의 염증성 질환,25
산부인과,13,N32,방광의 기타 장애,14
산부인과,14,N89,질의 기타 비염증성 장애,7
산부인과,15,Z01,호소증상 또는 보고된 진단명이 없는 사람의 기타 특수 검사 및 조사,6
산부인과,16,N90,외음부 및 회음부의 기타 비염증성 장애,5
산부인과,17,A63,달리 분류되지 않은 주로 성행위로 전파되는 기타 질환,4
산부인과,18,N31,달리 분류되지 않은 방광의 신경근육기능장애,3
산부인과,19,N81,여성생식기탈출,3
산부인과,20,B37,칸디다증,2
소아청소년과,1,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,450
소아청소년과,2,J20,급성 기관지염,246
소아청소년과,3,E30,달리 분류되지 않은 사춘기의 장애,185
소아청소년과,4,J18,상세불명 병원체의 폐렴,74
소아청소년과,5,E55,비타민D결핍,58
소아청소년과,6,J01,급성 부비동염,48
소아청소년과,7,J30,혈관운동성 및 앨러지성 비염,47
소아청소년과,8,E66,비만,24
소아청소년과,9,J00,급성 코인두염[감기],22
소아청소년과,10,E34,기타 내분비장애,21
소아청소년과,11,J40,급성인지 만성인지 명시되지 않은 기관지염,18
소아청소년과,12,K59,기타 기능적 창자 장애,18
소아청소년과,13,J02,급성 인두염,11
소아청소년과,14,L20,질병이환 및 사망의 외인,10
소아청소년과,15,D50,철결핍성 빈혈,10
소아청소년과,16,J45,천식,7
소아청소년과,17,J03,급성 편도염,7
소아청소년과,18,Z02,행정적 목적을 위한 검사,6
소아청소년과,19,K29,위염 및 십이지장염,6
소아청소년과,20,J32,만성 부비동염,6
소화기내과,1,E11,인슐린-비의존 당뇨병,4434
소화기내과,2,I10,본태성(일차성)고혈압,4113
소화기내과,3,K21,위-식도역류병,3953
소화기내과,4,K63,창자의 기타 질환,2209
소화기내과,5,E78,지질단백질대사장애 및 기타 지질증,1427
소화기내과,6,K59,기타 기능적 창자 장애,1387
소화기내과,7,J44,기타 만성 폐쇄성 폐질환,1256
소화기내과,8,B18,만성 바이러스간염,1224
소화기내과,9,T97,출처가 주로 비의약품인 물질의 독성효과의 후유증,934
소화기내과,10,K30,소화불량,838
소화기내과,11,D13,기타 및 부위불명의 소화계통의 양성 신생물,775
소화기내과,12,K29,위염 및 십이지장염,668
소화기내과,13,R10,복부 및 골반통증,623
소화기내과,14,D12,결장. 직장. 항문 및 항문관의 양성 신생물,607
소화기내과,15,K58,자극성 장증후군,605
소화기내과,16,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,581
소화기내과,17,F03,상세불명의 치매,493
소화기내과,18,K75,기타 염증성 간질환,488
소화기내과,19,A09,감염성 및 상세불명 기원의 기타 위장염 및 대장염,457
소화기내과,20,J42,상세불명의 만성 기관지염,403
순환기내과,1,I20,협심증,13195
