"월","퇴원과","퇴원결과","건수"
"2022-01","내분비내과","호전","12"
"2022-01","외과","경쾌","20"
"2022-01","신장내과","경쾌","6"
"2022-01","재활의학과","경쾌","5"
"2022-01","외과","불변(호전안됨)","1"
"2022-01","순환기내과","48시간 후 사망","1"
"2022-02","소화기내과","불변(호전안됨)","9"
"2022-02","외과","경쾌","15"
"2022-02","안과","호전","47"
"2022-02","생활치료센터","호전","138"
"2022-02","생활치료센터","불변(호전안됨)","4"
"2022-03","순환기내과","호전","147"
"2022-03","순환기내과","경쾌","48"
"2022-03","순환기내과","불변(호전안됨)","5"
"2022-03","신장내과","48시간 후 사망","2"
"2022-03","생활치료센터","불변(호전안됨)","4"
"2022-03","안과","불변(호전안됨)","2"
"2022-04","내분비내과","48시간 후 사망","1"
"2022-04","안과","경쾌","1"
"2022-04","신장내과","48시간 전 사망","1"
"2022-05","신경외과","경쾌","6"
"2022-05","신경과","호전","2"
"2022-05","소화기내과","48시간 후 사망","2"
"2022-06","신경외과","경쾌","6"
"2022-07","가정의학과","불변(호전안됨)","2"
"2022-08","재활의학과","호전","24"
"2022-08","가정의학과","불변(호전안됨)","2"
"2022-09","순환기내과","경쾌","61"
"2022-09","신경외과","불변(호전안됨)","2"
"2022-09","순환기내과","48시간 후 사망","4"
"2022-09","신장내과","진단만실시","1"
"2022-09","신경과","불변(호전안됨)","1"
"2022-10","신장내과","호전","6"
"2022-10","순환기내과","경쾌","48"
"2022-10","소화기내과","경쾌","8"
"2022-10","신경과","경쾌","1"
"2022-11","소화기내과","호전","39"
"2022-11","재활의학과","호전","27"
"2022-11","비뇨의학과","호전","19"
"2022-11","신경외과","경쾌","14"
"2022-11","정형외과","불변(호전안됨)","2"
"2022-11","비뇨의학과","진단만실시","4"
"2022-11","비뇨의학과","불변(호전안됨)","1"
"2022-11","소화기내과","48시간 후 사망","1"
"2022-12","외과","경쾌","20"
"2022-12","신경외과","호전","23"
"2022-12","외과","호전","1"
"2022-01","정형외과","호전","94"
"2022-01","정형외과","치료안함","1"
"2022-02","신경과","경쾌","41"
"2022-02","정형외과","호전","46"
"2022-02","순환기내과","경쾌","21"
"2022-02","순환기내과","진단만실시","2"
"2022-02","소화기내과","48시간 후 사망","2"
"2022-03","생활치료센터","호전","437"
"2022-03","내분비내과","호전","29"
"2022-03","신장내과","경쾌","6"
"2022-03","신경과","호전","2"
"2022-03","재활의학과","진단만실시","1"
"2022-03","생활치료센터","진단만실시","2"
"2022-03","순환기내과","치료안함","1"
"2022-03","신경외과","불변(호전안됨)","2"
"2022-04","순환기내과","호전","119"
"2022-04","소화기내과","경쾌","56"
"2022-04","신경과","경쾌","21"
"2022-04","신경외과","호전","39"
"2022-04","정형외과","호전","52"
"2022-04","외과","호전","1"
"2022-04","신장내과","경쾌","5"
"2022-04","가정의학과","48시간 후 사망","12"
"2022-04","순환기내과","불변(호전안됨)","4"
"2022-04","순환기내과","치료안함","1"
"2022-05","순환기내과","48시간 전 사망","1"
"2022-05","가정의학과","불변(호전안됨)","2"
"2022-05","소화기내과","진단만실시","1"
"2022-05","내분비내과","경쾌","1"
"2022-05","순환기내과","48시간 후 사망","3"
"2022-05","가정의학과","48시간 전 사망","1"
"2022-06","신장내과","호전","8"
"2022-06","비뇨의학과","진단만실시","6"
"2022-06","신경과","불변(호전안됨)","1"
"2022-07","신장내과","진단만실시","3"
"2022-07","순환기내과","경쾌","49"
"2022-07","내분비내과","경쾌","5"
"2022-07","비뇨의학과","불변(호전안됨)","1"
"2022-07","피부과","호전","1"
