월,진료과,퇴원결과,주상병코드,주상병명,건수
2023-01,신경외과,경쾌,S32,요추 및 골반의 골절,3
2023-02,순환기내과,경쾌,I77,동맥 및 세동맥의 기타 장애,2
2023-02,순환기내과,호전,I25,만성 허혈심장병,4
2023-05,재활의학과,호전,Z50,재활처치를 포함한 치료를 위하여 보건서비스와 접하고 있는 사람,9
2023-05,순환기내과,경쾌,I20,협심증,38
2023-02,소화기내과,호전,K59,기타 기능성 장장애,2
2023-03,정형외과,호전,S82,발목을 포함한 아래다리의 골절,3
2023-05,가정의학과,48시간 후 사망,Z51,기타 의학적 관리를 위하여 보건서비스와 접하고 있는 사람,17
2023-05,소화기내과,호전,A04,기타 세균성 장감염,1
2023-03,정형외과,호전,S83,"무릎의 관절 및 인대의 탈구, 염좌 및 긴장",1
2023-03,소화기내과,경쾌,J93,기흉,1
2023-01,재활의학과,호전,M48,기타 척추병증,4
2023-02,재활의학과,경쾌,M50,경추간판장애,1
2023-03,내분비내과,경쾌,E11,2형 당뇨병,3
2023-03,순환기내과,호전,J44,기타 만성 폐쇄성 폐질환,1
2023-02,신경외과,호전,M51,기타 추간판장애,2
2023-03,순환기내과,경쾌,I48,심방세동 및 조동,9
2023-02,순환기내과,경쾌,I35,비류마티스성 대동맥판장애,2
2023-03,신장내과,호전,N18,만성 신장병,3
2023-03,정형외과,호전,S32,요추 및 골반의 골절,2
2023-04,정형외과,호전,S52,아래팔의 골절,2
2023-04,소화기내과,치료안함,D13,기타 및 부위불명의 소화계통의 양성 신생물,1
2023-01,소화기내과,호전,R53,병감 및 피로,3
2023-02,재활의학과,호전,M50,경추간판장애,1
2023-03,신경외과,호전,S32,요추 및 골반의 골절,4
2023-03,신경외과,경쾌,S22,"늑골, 흉골 및 흉추의 골절",5
2023-04,신경외과,호전,M51,기타 추간판장애,3
2023-04,순환기내과,진단만실시,I48,심방세동 및 조동,1
2023-03,내분비내과,48시간 후 사망,N39,비뇨계통의 기타 장애,1
2023-04,신장내과,경쾌,N18,만성 신장병,5
2023-04,신경외과,호전,S22,"늑골, 흉골 및 흉추의 골절",1
2023-02,소화기내과,호전,Z08,악성 신생물에 대한 치료후 추적검사,1
2023-02,정형외과,호전,M67,윤활막 및 힘줄의 기타 장애,1
2023-04,정형외과,호전,M86,골수염,2
2023-04,소화기내과,경쾌,K70,알코올성 간질환,1
2023-04,순환기내과,경쾌,N39,비뇨계통의 기타 장애,1
2023-01,신경외과,경쾌,M96,달리 분류되지 않은 처치후 근골격장애,2
2023-04,소화기내과,호전,J42,상세불명의 만성 기관지염,1
2023-02,외과,경쾌,K64,치핵 및 항문주위정맥혈전증,3
2023-04,재활의학과,호전,T84,"내부 정형외과적 인공삽입장치, 삽입물 및 이식편의 합병증",1
2023-01,소화기내과,불변(호전안됨),K74,간의 섬유증 및 경변증,1
2023-03,소화기내과,경쾌,K85,급성 췌장염,1
