월,진료과,퇴원결과,주상병코드,주상병명,건수
2023-01,내과,호전,N18,만성 신장병,1
2023-04,정형외과,호전,M96,달리 분류되지 않은 처치후 근골격장애,13
2023-03,신장내과,호전,N18,만성 신장병,7
2023-04,소화기내과,경쾌,K29,위염 및 십이지장염,3
2023-01,소화기내과,경쾌,K63,장의 기타 질환,27
2023-01,혈액종양내과,호전,D70,무과립구증,1
2023-01,정형외과,호전,S32,요추 및 골반의 골절,6
2023-02,정형외과,호전,M43,기타 변형성 등병증,5
2023-02,심장내과,진단만실시,I20,협심증,11
2023-02,소화기내과,경쾌,K63,장의 기타 질환,22
2023-04,외과,호전,Z51,기타 의학적 관리를 위하여 보건서비스와 접하고 있는 사람,3
2023-03,소화기내과,48시간 후 사망,J18,상세불명 병원체의 폐렴,1
2023-04,신경외과,호전,M51,기타 추간판장애,1
2023-04,정형외과,호전,S52,아래팔의 골절,3
2023-01,혈액종양내과,호전,C25,췌장의 악성 신생물,2
2023-03,정형외과,호전,M96,달리 분류되지 않은 처치후 근골격장애,10
2023-03,정형외과,호전,M51,기타 추간판장애,17
2023-02,재활의학과,경쾌,M50,경추간판장애,1
2023-02,심장내과,호전,I50,심부전,2
2023-04,심장내과,호전,I25,만성 허혈심장병,1
2023-04,신장내과,호전,N17,급성 신부전,1
2023-01,소화기내과,호전,K63,장의 기타 질환,8
2023-04,호흡기내과,진단만실시,C34,기관지 및 폐의 악성 신생물,1
2023-04,이비인후과,경쾌,J32,만성 부비동염,1
2023-03,정형외과,호전,S32,요추 및 골반의 골절,8
2023-03,정형외과,호전,S82,발목을 포함한 아래다리의 골절,5
2023-02,소화기내과,경쾌,K62,항문 및 직장의 기타 질환,1
2023-03,소화기내과,경쾌,K21,위-식도역류병,2
2023-03,외과,호전,I83,하지의 정맥류,3
2023-04,외과,호전,K40,사타구니탈장,6
2023-04,소화기내과,호전,U07,U07의 응급사용,2
2023-01,외과,호전,K59,기타 기능성 장장애,1
2023-04,소화기내과,진단만실시,K63,장의 기타 질환,1
2023-04,혈액종양내과,48시간 후 사망,Z51,기타 의학적 관리를 위하여 보건서비스와 접하고 있는 사람,6
2023-04,소화기내과,치료안함,R57,달리 분류되지 않은 쇼크,1
2023-03,혈액종양내과,호전,Z51,기타 의학적 관리를 위하여 보건서비스와 접하고 있는 사람,9
2023-04,정형외과,호전,M54,등통증,1
2023-04,정형외과,치료안함,S72,대퇴골의 골절,1
2023-01,안과,불변(호전안됨),H25,노년백내장,1
2023-03,신장내과,호전,N39,비뇨계통의 기타 장애,1
2023-04,정형외과,호전,M86,골수염,1
2023-04,류마티스내과,호전,E11,2형 당뇨병,1
2023-02,심장내과,진단만실시,R06,호흡의 이상,1
2023-02,정형외과,호전,S46,어깨 및 위팔 부위의 근육 및 힘줄의 손상,4
2023-02,신경과,호전,R42,어지럼증 및 어지럼,1
2023-03,외과,호전,K63,장의 기타 질환,2
2023-01,소화기내과,불변(호전안됨),K74,간의 섬유증 및 경변증,1
2023-01,호흡기내과,불변(호전안됨),K81,담낭염,1
2023-02,소화기내과,48시간 후 사망,K72,달리 분류되지 않은 간부전,1
2023-02,재활의학과,경쾌,G62,기타 다발신경병증,1
2023-03,신장내과,호전,R50,기타 및 원인미상의 열,1
2023-01,가정의학과,호전,Z00,호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사,1
2023-01,정형외과,호전,G95,척수의 기타 질환,1
2023-01,이비인후과,경쾌,J32,만성 부비동염,1
2023-02,비뇨의학과,호전,N35,요도협착,1
2023-02,재활의학과,불변(호전안됨),G82,하반신마비 및 사지마비,1
2023-03,가정의학과,호전,G44,기타 두통증후군,1
2023-03,내과,호전,N17,급성 신부전,2
2023-05,호흡기내과,호전,J18,상세불명 병원체의 폐렴,2
2023-03,신장내과,48시간 후 사망,N18,만성 신장병,2
2023-05,정형외과,호전,M48,기타 척추병증,45
2023-05,소화기내과,호전,K63,장의 기타 질환,11
2023-05,심장내과,호전,I20,협심증,3
2023-05,내분비내과,불변(호전안됨),J82,달리 분류되지 않은 폐호산구증가,1
2023-05,소화기내과,호전,D37,구강 및 소화기관의 행동양식 불명 또는 미상의 신생물,1
2023-03,이비인후과,경쾌,J32,만성 부비동염,1
2023-03,심장내과,진단만실시,R55,실신 및 허탈,1
2023-05,혈액종양내과,불변(호전안됨),Z51,기타 의학적 관리를 위하여 보건서비스와 접하고 있는 사람,1
2023-05,재활의학과,경쾌,M51,기타 추간판장애,2
2023-05,외과,48시간 후 사망,J18,상세불명 병원체의 폐렴,1
2023-05,이비인후과,경쾌,J34,코 및 비동의 기타 장애,2
2023-05,외과,호전,K80,담석증,1
2023-05,이비인후과,경쾌,J32,만성 부비동염,2
2023-05,외과,호전,N18,만성 신장병,4
2023-03,소화기내과,경쾌,K85,급성 췌장염,1
2023-01,혈액종양내과,48시간 전 사망,Z51,기타 의학적 관리를 위하여 보건서비스와 접하고 있는 사람,1
2023-02,외과,호전,T14,상세불명의 신체부위의 손상,1
2023-03,정형외과,호전,S83,"무릎의 관절 및 인대의 탈구, 염좌 및 긴장",2
2023-02,혈액종양내과,호전,A09,감염성 및 상세불명 기원의 기타 위장염 및 결장염,1
2023-02,외과,호전,K60,항문 및 직장부의 열창 및 누공,1
2023-02,외과,호전,K35,급성 충수염,1
2023-03,외과,호전,K80,담석증,1
2023-01,류마티스내과,경쾌,A09,감염성 및 상세불명 기원의 기타 위장염 및 결장염,1
2023-04,이비인후과,호전,J34,코 및 비동의 기타 장애,1
2023-02,소화기내과,경쾌,J18,상세불명 병원체의 폐렴,1
