"월","퇴원과","퇴원결과","건수"
"2022-01","외과","경쾌","11"
"2022-01","호흡기내과","불변(호전안됨)","4"
"2022-01","재활의학과","경쾌","1"
"2022-01","순환기내과","48시간 후 사망","1"
"2022-01","신장내과","경쾌","1"
"2022-02","소화기내과","불변(호전안됨)","5"
"2022-02","외과","경쾌","3"
"2022-02","호흡기내과","진단만실시","1"
"2022-03","호흡기내과","호전","216"
"2022-03","호흡기내과","48시간 후 사망","8"
"2022-03","순환기내과","호전","45"
"2022-03","순환기내과","경쾌","14"
"2022-03","신장내과","48시간 후 사망","1"
"2022-04","신경외과","치료안함","5"
"2022-04","신장내과","48시간 전 사망","1"
"2022-04","혈액종양내과","경쾌","3"
"2022-05","신경과","호전","4"
"2022-06","이비인후과","호전","1"
"2022-06","신경과","호전","2"
"2022-07","가정의학과","48시간 전 사망","1"
"2022-07","가정의학과","불변(호전안됨)","1"
"2022-08","재활의학과","호전","5"
"2022-08","가정의학과","불변(호전안됨)","1"
"2022-08","비뇨의학과","불변(호전안됨)","1"
"2022-09","신경외과","불변(호전안됨)","7"
"2022-10","소화기내과","경쾌","4"
"2022-10","신장내과","호전","6"
"2022-10","순환기내과","경쾌","1"
"2022-10","호흡기내과","48시간 후 사망","2"
"2022-11","소화기내과","호전","66"
"2022-11","정형외과","진단만실시","2"
"2022-11","비뇨의학과","호전","12"
"2022-11","비뇨의학과","진단만실시","13"
"2022-11","소화기내과","48시간 후 사망","1"
"2022-11","재활의학과","호전","1"
"2022-12","신경외과","호전","45"
"2022-12","외과","경쾌","6"
"2022-12","외과","호전","6"
"2022-12","호흡기내과","치료안함","1"
"2022-01","호흡기내과","호전","72"
"2022-01","정형외과","호전","33"
"2022-02","정형외과","호전","74"
"2022-02","순환기내과","진단만실시","2"
"2022-02","소화기내과","48시간 후 사망","3"
"2022-02","순환기내과","경쾌","3"
"2022-03","신경과","호전","2"
"2022-03","신경외과","불변(호전안됨)","3"
"2022-03","소화기내과","치료안함","1"
"2022-04","가정의학과","48시간 후 사망","16"
"2022-04","순환기내과","호전","101"
"2022-04","호흡기내과","경쾌","5"
"2022-04","신경외과","호전","33"
"2022-04","정형외과","호전","54"
"2022-04","소화기내과","경쾌","6"
"2022-04","혈액종양내과","48시간 후 사망","2"
"2022-04","정형외과","치료안함","3"
"2022-04","외과","호전","1"
"2022-05","가정의학과","불변(호전안됨)","3"
"2022-05","소화기내과","진단만실시","1"
