"월","퇴원과","퇴원결과","건수"
"2022-02","내과","호전","9"
"2022-05","내과","불변(호전안됨)","1"
"2022-05","가정의학과","호전","1"
"2022-05","신경과","호전","1"
"2022-06","내과","호전","20"
"2022-06","신경외과","경쾌","3"
"2022-06","정형외과","치료안함","1"
"2022-07","가정의학과","불변(호전안됨)","2"
"2022-07","가정의학과","호전","1"
"2022-07","내과","불변(호전안됨)","1"
"2022-07","재활의학과","불변(호전안됨)","1"
"2022-08","재활의학과","호전","4"
"2022-09","신경외과","불변(호전안됨)","11"
"2022-10","내과","불변(호전안됨)","2"
"2022-11","신경외과","경쾌","10"
"2022-11","비뇨의학과","호전","31"
"2022-11","재활의학과","호전","1"
"2022-11","비뇨의학과","진단만실시","1"
"2022-11","정형외과","불변(호전안됨)","1"
"2022-11","비뇨의학과","불변(호전안됨)","1"
"2022-12","외과","호전","4"
"2022-12","내과","불변(호전안됨)","3"
"2022-12","신경외과","호전","1"
"2022-12","외과","경쾌","1"
"2022-04","외과","호전","1"
"2022-05","치과","호전","1"
"2022-06","내과","불변(호전안됨)","3"
"2022-06","외과","호전","4"
"2022-07","내과","경쾌","3"
"2022-09","이비인후과","호전","2"
"2022-10","내과","호전","12"
"2022-10","정형외과","호전","2"
"2022-10","외과","경쾌","1"
"2022-10","신경외과","치료안함","1"
"2022-10","외과","호전","2"
"2022-11","신경외과","호전","2"
"2022-11","비뇨의학과","48시간 후 사망","1"
"2022-05","재활의학과","호전","2"
"2022-06","내과","진단만실시","1"
"2022-06","신경외과","호전","1"
"2022-07","신경외과","경쾌","10"
"2022-07","소화기내과","호전","6"
"2022-07","소화기내과","경쾌","1"
"2022-08","비뇨의학과","호전","27"
"2022-08","소화기내과","호전","5"
"2022-09","신경외과","경쾌","8"
"2022-09","비뇨의학과","호전","29"
"2022-09","재활의학과","호전","3"
"2022-09","신경외과","치료안함","3"
"2022-10","신경외과","진단만실시","1"
"2022-10","재활의학과","불변(호전안됨)","2"
"2022-11","정형외과","경쾌","3"
"2022-12","비뇨의학과","48시간 후 사망","1"
"2022-02","외과","호전","4"
"2022-03","외과","호전","5"
"2022-03","내과","호전","13"
"2022-05","정형외과","호전","1"
"2022-06","비뇨의학과","호전","29"
"2022-06","소화기내과","호전","4"
"2022-06","정형외과","호전","14"
"2022-06","가정의학과","호전","3"
"2022-06","신경외과","불변(호전안됨)","1"
"2022-07","정형외과","호전","18"
"2022-07","내과","호전","21"
"2022-08","가정의학과","호전","1"
"2022-09","외과","호전","4"
"2022-09","소화기내과","불변(호전안됨)","1"
"2022-09","신경과","호전","1"
"2022-10","신경외과","불변(호전안됨)","5"
"2022-11","내과","호전","6"
"2022-11","외과","호전","3"
"2022-11","가정의학과","호전","2"
"2022-11","신경과","경쾌","1"
"2022-11","정형외과","호전","1"
"2022-12","내과","호전","9"
"2022-12","정형외과","호전","5"
"2022-12","비뇨의학과","치료안함","2"
"2022-12","가정의학과","경쾌","1"
"2022-01","비뇨의학과","호전","4"
"2022-02","가정의학과","호전","2"
"2022-03","비뇨의학과","호전","10"
"2022-03","소화기내과","호전","4"
"2022-05","소화기내과","경쾌","1"
"2022-06","재활의학과","호전","5"
"2022-06","외과","경쾌","2"
"2022-06","소화기내과","진단만실시","3"
"2022-06","안과","호전","5"
"2022-08","외과","호전","3"
"2022-08","내과","호전","9"
"2022-08","내과","불변(호전안됨)","1"
"2022-09","정형외과","호전","4"
"2022-09","재활의학과","불변(호전안됨)","4"
"2022-10","신경외과","경쾌","7"
"2022-11","내과","불변(호전안됨)","2"
"2022-12","신경외과","경쾌","12"
"2022-12","재활의학과","호전","7"
"2022-03","소화기내과","불변(호전안됨)","1"
"2022-05","내과","진단만실시","2"
"2022-05","안과","호전","3"
"2022-05","내과","치료안함","1"
"2022-05","신경외과","호전","1"
"2022-07","신경외과","불변(호전안됨)","10"
"2022-07","비뇨의학과","진단만실시","1"
"2022-07","재활의학과","호전","8"
"2022-08","소화기내과","경쾌","3"
"2022-08","신경외과","경쾌","8"
"2022-08","신경과","경쾌","1"
"2022-08","신경외과","호전","1"
"2022-09","가정의학과","호전","3"
"2022-09","내과","호전","8"
"2022-09","신경외과","진단만실시","2"
"2022-10","내과","경쾌","2"
"2022-10","비뇨의학과","호전","15"
"2022-10","이비인후과","호전","1"
"2022-12","신경외과","불변(호전안됨)","10"
"2022-12","가정의학과","호전","4"
"2022-12","비뇨의학과","호전","28"
"2022-12","재활의학과","불변(호전안됨)","1"
"2022-02","소화기내과","호전","4"
"2022-03","외과","48시간 전 사망","1"
"2022-04","소화기내과","호전","1"
"2022-05","비뇨의학과","호전","11"
"2022-05","이비인후과","불변(호전안됨)","1"
"2022-06","소화기내과","불변(호전안됨)","3"
"2022-06","내과","경쾌","2"
"2022-06","소화기내과","경쾌","1"
"2022-06","외과","불변(호전안됨)","1"
"2022-07","비뇨의학과","호전","20"
"2022-07","소화기내과","불변(호전안됨)","1"
"2022-07","외과","호전","2"
"2022-07","신경외과","치료안함","1"
"2022-08","신경외과","불변(호전안됨)","7"
"2022-08","이비인후과","불변(호전안됨)","1"
"2022-08","외과","경쾌","1"
"2022-09","비뇨의학과","48시간 후 사망","2"
"2022-09","내과","치료안함","1"
"2022-10","내과","48시간 후 사망","1"
"2022-11","내과","경쾌","2"
"2022-11","재활의학과","불변(호전안됨)","2"
"2022-02","비뇨의학과","호전","5"
"2022-04","내과","호전","1"
"2022-05","내과","호전","20"
"2022-05","소화기내과","호전","2"
"2022-05","신경외과","불변(호전안됨)","1"
"2022-06","소화기내과","치료안함","1"
"2022-07","신경과","호전","1"
"2022-08","재활의학과","불변(호전안됨)","1"
"2022-08","정형외과","호전","13"
"2022-08","신경외과","진단만실시","1"
"2022-10","가정의학과","호전","3"
"2022-10","재활의학과","호전","4"
"2022-11","신경외과","불변(호전안됨)","7"
"2022-11","내과","48시간 후 사망","1"
"2022-11","외과","경쾌","1"
