"월","진료과","퇴원결과","주상병코드","주상병명","건수"
"2023-01","호스피스완화의료센터","48시간 전 사망","C34","기관지 및 폐의 악성 신생물","3"
"2023-01","순환기내과","48시간 전 사망","S06","두개내손상","1"
"2023-01","신장내과","호전","N10","급성 세뇨관-간질신장염","1"
"2023-01","호흡기알레르기내과","호전","J18","상세불명 병원체의 폐렴","7"
"2023-01","신경외과","치료안함","I65","뇌경색증을 유발하지 않은 뇌전동맥의 폐쇄 및 협착","5"
"2023-01","입원전담의학과","호전","N39","비뇨계통의 기타 장애","2"
"2023-01","순환기내과","호전","C00","입술의 악성 신생물","1"
"2023-01","안과","호전","H35","기타 망막장애","9"
"2023-01","비뇨의학과","치료안함","C61","전립선의 악성 신생물","4"
"2023-01","비뇨의학과","호전","Z43","인공개구에 대한 관리를 위하여 보건서비스와 접하고 있는 사람","1"
"2023-01","심장혈관흉부외과","호전","I25","만성 허혈심장병","4"
"2023-01","안과","불변(호전안됨)","H25","노년백내장","3"
"2023-01","이비인후과","호전","C73","갑상선의 악성 신생물","2"
"2023-01","외과","호전","K57","장의 게실병","2"
"2023-01","소화기내과","호전","K85","급성 췌장염","2"
"2023-01","혈액종양내과","호전","D59","후천성 용혈성 빈혈","1"
"2023-01","호흡기알레르기내과","48시간 전 사망","J96","달리 분류되지 않은 호흡부전","3"
"2023-01","신경과","호전","H49","마비성 사시","2"
"2023-01","신경외과","호전","I67","기타 뇌혈관질환","5"
"2023-01","정형외과","호전","S32","요추 및 골반의 골절","3"
"2023-01","소화기내과","호전","C17","소장의 악성 신생물","1"
"2023-01","이비인후과","호전","J35","편도 및 아데노이드의 만성 질환","2"
"2023-01","호흡기알레르기내과","호전","J12","달리 분류되지 않은 바이러스폐렴","1"
"2023-01","외과","호전","R91","폐의 진단영상검사상 이상소견","1"
"2023-01","소화기내과","호전","K63","장의 기타 질환","1"
"2023-01","소화기내과","호전","R10","복부 및 골반 통증","1"
"2023-01","혈액종양내과","48시간 전 사망","D61","기타 무형성빈혈","1"
"2023-01","치과","호전","Z48","기타 외과적 추적치료를 위하여 보건서비스와 접하고 있는 사람","2"
"2023-01","외과","호전","C78","호흡 및 소화기관의 이차성 악성 신생물","1"
"2023-01","신경과","경쾌","G11","유전성 운동실조","1"
"2023-01","신경과","호전","R25","이상불수의운동","1"
"2023-01","혈액종양내과","호전","C25","췌장의 악성 신생물","1"
"2023-01","외과","호전","K45","기타 복부탈장","1"
"2023-01","소화기내과","호전","K52","기타 비감염성 위장염 및 결장염","1"
"2023-01","입원전담의학과","호전","E87","수분, 전해질 및 산-염기균형의 기타 장애","1"
"2023-01","입원전담의학과","호전","J40","급성인지 만성인지 명시되지 않은 기관지염","1"
"2023-01","호흡기알레르기내과","치료안함","J98","기타 호흡장애","1"
"2023-01","신경외과","48시간 전 사망","I61","뇌내출혈","1"
"2023-01","순환기내과","호전","I83","하지의 정맥류","1"
"2023-01","순환기내과","호전","T82","심장 및 혈관 인공삽입장치, 삽입물 및 이식편의 합병증","1"
"2023-01","소화기내과","호전","K80","담석증","1"
"2023-01","신장내과","경쾌","I77","동맥 및 세동맥의 기타 장애","1"
"2023-01","혈액종양내과","호전","C30","비강 및 중이의 악성 신생물","2"
"2023-01","외과","호전","C23","담낭의 악성 신생물","2"
"2023-01","심장혈관흉부외과","호전","I48","심방세동 및 조동","1"
"2023-01","이비인후과","호전","C77","림프절의 이차성 및 상세불명의 악성 신생물","1"
"2023-01","정형외과","호전","M89","뼈의 기타 장애","1"
"2023-01","혈액종양내과","경쾌","D68","기타 응고결함","1"
"2023-01","재활의학과","호전","J96","달리 분류되지 않은 호흡부전","1"
"2023-01","심장혈관흉부외과","불변(호전안됨)","I65","뇌경색증을 유발하지 않은 뇌전동맥의 폐쇄 및 협착","1"
"2023-01","이비인후과","치료안함","C82","소포성 림프종","1"
"2023-01","입원전담의학과","48시간 전 사망","J69","고체 및 액체에 의한 폐렴","1"
"2023-01","입원전담의학과","호전","N10","급성 세뇨관-간질신장염","1"
"2023-02","가정의학과","호전","N41","전립선의 염증성 질환","1"
"2023-02","순환기내과","호전","I25","만성 허혈심장병","29"
"2023-02","호흡기알레르기내과","치료안함","J98","기타 호흡장애","6"
"2023-02","비뇨의학과","치료안함","C61","전립선의 악성 신생물","3"
"2023-02","가정의학과","치료안함","Z03","의심되는 질병 및 병태를 위한 의학적 관찰 및 평가, 배제된","1"
"2023-02","외과","호전","K35","급성 충수염","6"
"2023-02","소화기내과","치료안함","Q45","소화계통의 기타 선천기형","1"
"2023-02","혈액종양내과","치료안함","C37","흉선의 악성 신생물","1"
"2023-02","호흡기알레르기내과","치료안함","C34","기관지 및 폐의 악성 신생물","9"
"2023-02","정형외과","호전","M46","기타 염증성 척추병증","2"
"2023-02","재활의학과","호전","G23","기저핵의 기타 퇴행성 질환","1"
"2023-02","순환기내과","호전","I83","하지의 정맥류","2"
"2023-02","소화기내과","치료안함","D13","기타 및 부위불명의 소화계통의 양성 신생물","1"
"2023-02","신장내과","호전","N17","급성 신부전","4"
"2023-02","재활의학과","호전","G81","편마비","15"
"2023-02","신경외과","호전","M51","기타 추간판장애","5"
"2023-02","소화기내과","호전","K29","위염 및 십이지장염","4"
"2023-02","심장혈관흉부외과","48시간 전 사망","I71","대동맥동맥류 및 박리","1"
"2023-02","외과","호전","K91","달리 분류되지 않은 소화계통의 처치후 장애","6"
"2023-02","외과","호전","D01","기타 및 상세불명의 소화기관의 제자리암종","3"
"2023-02","혈액종양내과","치료안함","C34","기관지 및 폐의 악성 신생물","1"
"2023-02","신경과","치료안함","H49","마비성 사시","1"
"2023-02","신경과","호전","G30","알츠하이머병","1"
"2023-02","신경외과","호전","M47","척추증","1"
"2023-02","이비인후과","호전","K11","침샘의 질환","1"
"2023-02","외과","경쾌","T81","달리 분류되지 않은 처치의 합병증","1"
"2023-02","소화기내과","호전","K62","항문 및 직장의 기타 질환","1"
